name	x	y	z	size	type	manufacturer
1	-38.2367221940641	42.990911138808	32.1161296015272	4	surface	AdTech
2	-44.2194574996872	32.4059267443744	34.9093893722805	4	surface	AdTech
3	-45.3146068927623	22.1149696942306	37.7026491430338	4	surface	AdTech
4	-48.1644508473764	11.2359579555071	40.2018815694973	4	surface	AdTech
5	-54.1210880393637	0.945000905363287	42.9951413402506	4	surface	AdTech
6	-58.0921795006886	-9.34595614478052	44.7593054059896	4	surface	AdTech
7	-59.2176238975853	-20.9600362442285	46.5234694717285	4	surface	AdTech
8	-58.9170951982896	-32.7211300158214	46.9645104881632	4	surface	AdTech
9	-42.207813655389	42.990911138808	24.3244049778469	4	surface	AdTech
10	-47.2650416075486	33.1409951050989	27.1176647486002	4	surface	AdTech
11	-50.2812627511651	11.5299852997969	31.6750885850924	4	surface	AdTech
12	-59.5552938799054	0.209932544638733	33.4392526508314	4	surface	AdTech
13	-62.0632709620136	-10.6690791940847	35.2034167165703	4	surface	AdTech
14	-62.8426469386542	-21.4010772606633	36.2325124215847	4	surface	AdTech
15	-62.7314772071897	-32.7211300158214	36.9675807823092	4	surface	AdTech
16	-44.5623092590473	43.4319521552427	15.0625436327174	4	surface	AdTech
17	-50.1499965780388	33.1409951050989	16.8267076984564	4	surface	AdTech
18	-54.3764598636909	22.5560107106653	19.3259401249199	4	surface	AdTech
19	-57.4751573921124	11.2359579555071	21.3841315349486	4	surface	AdTech
20	-62.4379087544954	0.209932544638733	23.8833639614121	4	surface	AdTech
21	-64.048816692676	-11.1101202105195	25.3535006828612	4	surface	AdTech
22	-64.1481677418387	-22.4301729656776	26.8236374043103	4	surface	AdTech
23	-63.8379480970353	-33.3091847044011	28.8818288143391	4	surface	AdTech
24	-49.5048558901748	41.9618154337936	4.18353189399399	4	surface	AdTech
25	-53.4247297248478	31.37683103936	6.53575064831256	4	surface	AdTech
26	-55.063090883949	20.0567782842018	8.44692838619642	4	surface	AdTech
27	-58	9.47179388976816	10.2110924519354	4	surface	AdTech
28	-62.0632709620136	-1.11319050466547	12.5633112062539	4	surface	AdTech
29	-63.4599110591607	-11.845188571244	14.3274752719929	4	surface	AdTech
30	-64.1967844736459	-23.7532960149818	15.797611993442	4	surface	AdTech
31	-64.2083800360757	-34.0442530651256	17.2677487148911	4	surface	AdTech
32	-51.5600900443177	38.7275146466055	-5.37235679542526	4	surface	AdTech
33	-51.4620787856092	28.1425302521719	-3.60819272968632	4	surface	AdTech
34	-50.1499965780388	17.8515732020281	-1.8440286639474	4	surface	AdTech
35	-54.1210880393637	8.00165716831904	-0.520905614643183	4	surface	AdTech
36	-60.0777252313511	-2.58332722611458	1.97832681182031	4	surface	AdTech
37	-63.8285060407783	-13.9033799812728	3.74249087755925	4	surface	AdTech
38	-66.0343624233385	-24.9294053921411	4.77158658257363	4	surface	AdTech
39	-65.5564585403141	-36.837512835879	6.53575064831256	4	surface	AdTech
40	-48.1644508473764	34.1700908101133	-13.8991497798301	4	surface	AdTech
41	-45.1520519543304	24.9082294649839	-14.19317712412	4	surface	AdTech
42	-44.1933593860515	15.7933817919994	-13.6051224355403	4	surface	AdTech
43	-58.0921795006886	5.50242474185555	-12.1349857140912	4	surface	AdTech
44	-62.0632709620136	-5.08255965257808	-9.34172594333788	4	surface	AdTech
45	-65.5266968304315	-15.6675440470117	-7.57756187759894	4	surface	AdTech
46	-65.3884156096926	-27.2816241464597	-5.37235679542526	4	surface	AdTech
47	-63	-38.6016769016179	-4.34326109041089	4	surface	AdTech
