name	x	y	z	size	type	manufacturer
1	47.45	71	-25	4	surface	AdTech
2	54.2	65	-25	4	surface	AdTech
3	64.32	55	-26	4	surface	AdTech
4	69	45	-27.7777777777778	4	surface	AdTech
5	71.52	36	-28	4	surface	AdTech
6	71	15.6	-31	4	surface	AdTech
7	70.52	6	-31	4	surface	AdTech
8	48	69	-14	4	surface	AdTech
9	56.0952380952381	64	-14	4	surface	AdTech
10	63.76	54	-17	4	surface	AdTech
11	70	44	-18	4	surface	AdTech
12	70.72	34	-18	4	surface	AdTech
13	71.56	24	-20	4	surface	AdTech
14	74.16	15	-21	4	surface	AdTech
15	71.88	5	-23	4	surface	AdTech
16	58.08	68	-4	4	surface	AdTech
17	56	62.4285714285714	-3	4	surface	AdTech
18	64.72	53	-7	4	surface	AdTech
19	66.64	43	-8	4	surface	AdTech
20	69	33.1666666666667	-10	4	surface	AdTech
21	73.4	24	-10	4	surface	AdTech
22	75.72	15	-11	4	surface	AdTech
23	71	5	-12.4	4	surface	AdTech
24	64	69.5	5.99999999999999	4	surface	AdTech
25	64	60.875	5	4	surface	AdTech
26	67.6	52	4	4	surface	AdTech
27	71	42	2	4	surface	AdTech
28	71.56	32	2	4	surface	AdTech
29	74.44	23	0	4	surface	AdTech
30	73.44	14	-2	4	surface	AdTech
31	72.68	6	-4	4	surface	AdTech
32	62	69	17	4	surface	AdTech
33	65.4	60	15	4	surface	AdTech
34	68.8	50	14	4	surface	AdTech
35	71.8	41	12	4	surface	AdTech
36	72.32	31	12	4	surface	AdTech
37	73	12	8	4	surface	AdTech
38	60.52	68	27	4	surface	AdTech
39	65.28	59	25	4	surface	AdTech
40	67.28	49	24	4	surface	AdTech
41	69.72	39	22	4	surface	AdTech
42	70.8	20	19	4	surface	AdTech
43	71.56	0	15	4	surface	AdTech
44	55	67	35.6428571428572	4	surface	AdTech
45	58	56.875	35	4	surface	AdTech
46	63	46.375	34	4	surface	AdTech
47	65	37	32.2941176470588	4	surface	AdTech
48	66.2	27	31	4	surface	AdTech
49	65.84	17	29	4	surface	AdTech
50	66	7	27.7333333333333	4	surface	AdTech
51	68.5	-2.00000000000001	25	4	surface	AdTech
52	47	64.25	44	4	surface	AdTech
53	52.8260869565217	54	43	4	surface	AdTech
54	54	45.2222222222222	43	4	surface	AdTech
55	58	34.5	42	4	surface	AdTech
56	55.2	25	42	4	surface	AdTech
57	59	15	37.75	4	surface	AdTech
58	60	5	36	4	surface	AdTech
59	56.6	-5	35	4	surface	AdTech
