onset	duration	trial_type
10.121	2.999	tong_cue
16.161	2.999	tong_cue
22.201	2.999	tong_cue
28.201	2.999	hand_cue
34.241	2.999	tong_cue
40.281	2.999	hand_cue
46.321	2.999	hand_cue
52.361	2.999	hand_cue
58.441	2.999	tong_cue
64.481	2.999	hand_cue
70.521	2.999	tong_cue
76.521	2.999	hand_cue
82.561	2.999	hand_cue
88.561	2.999	tong_cue
94.561	2.999	tong_cue
100.641	2.999	tong_cue
106.641	2.999	hand_cue
112.721	2.999	tong_cue
118.761	2.999	hand_cue
124.841	2.999	tong_cue
130.921	2.999	hand_cue
137.001	2.999	tong_cue
143.081	2.999	hand_cue
149.081	2.999	tong_cue
155.081	2.999	tong_cue
161.121	2.999	tong_cue
167.161	2.999	hand_cue
173.161	2.999	hand_cue
179.201	2.999	hand_cue
185.241	2.999	hand_cue
