name	x	y	z	size	type	manufacturer
1	39.1535252503165	-61.3373323203048	53.8399561163179	4	surface	AdTech
2	41.3363421048477	-51.475726331664	55.9432119438382	4	surface	AdTech
3	42.8864332762796	-41.5089676262735	56.9767583757442	4	surface	AdTech
4	45.5917358422669	-31.1342366015702	56.963811141824	4	surface	AdTech
5	46.3870295764893	-20.9440283730865	55.7242251080499	4	surface	AdTech
6	41.4109207005546	-10.6218737067581	56.2461325719368	4	surface	AdTech
7	36.7939748922706	-0.405377299086965	54.7391191892591	4	surface	AdTech
8	37.2596992436693	9.27802516717744	53.9995642586101	4	surface	AdTech
9	46.3832987779347	-61.2463347769637	46.706699910798	4	surface	AdTech
10	47.8094155997231	-51.9115034558865	47.9612422320317	4	surface	AdTech
11	52.3650195459126	-41.5893487895581	48.4831496959186	4	surface	AdTech
12	53.5721360518333	-30.9249422518856	48.6271318662381	4	surface	AdTech
13	53.4039722803741	-20.8530308297454	48.59096890253	4	surface	AdTech
14	50.5912960845961	-10.1491920232917	48.3338100494941	4	surface	AdTech
15	46.76062864611	-0.136681775276921	47.3500434997296	4	surface	AdTech
16	42.4752269700669	10.2774815182075	46.9359552424541	4	surface	AdTech
17	50.5879631002738	-61.6689678115924	38.5910165245398	4	surface	AdTech
18	54.9556053579973	-51.0177053635137	38.8687123693111	4	surface	AdTech
19	57.2676255487702	-41.0246584789357	39.6348314523136	4	surface	AdTech
20	59.4240894167004	-31.4858409982022	40.3661269406341	4	surface	AdTech
21	58.7866732352606	-21.111109973499	40.3531797067139	4	surface	AdTech
22	57.5744083832586	-10.6969466800146	39.9390914494384	4	surface	AdTech
23	54.2364810621554	-0.559314809905702	39.2343601134713	4	surface	AdTech
24	51.1680274405439	9.61774932898431	38.128487754149	4	surface	AdTech
25	54.9378268360078	-61.1699979489386	30.4112666531936	4	surface	AdTech
26	58.1674109737708	-51.288928596861	30.7646368479468	4	surface	AdTech
27	61.1943687078249	-41.8489445590341	30.9494697735663	4	surface	AdTech
28	63.3076079048048	-31.1976821109553	31.2271656183376	4	surface	AdTech
29	62.7299537713177	-21.125770688815	31.1910026546294	4	surface	AdTech
30	61.8644918949964	-10.7116073953306	30.7769143973539	4	surface	AdTech
31	59.7072124091041	-1.06763719784738	30.4385004900602	4	surface	AdTech
32	57.5953622397707	8.79346324888595	29.4431260754017	4	surface	AdTech
33	57.1023030248063	-61.1121134005355	22.0629795127137	4	surface	AdTech
34	59.6281714748117	-51.9486607860841	21.9571693596417	4	surface	AdTech
35	62.9325797023046	-41.8898934535376	22.0547200703853	4	surface	AdTech
36	65.7001466091841	-31.9956800118662	22.2743765906867	4	surface	AdTech
37	64.6552168007608	-20.8376118015681	22.0520413323329	4	surface	AdTech
38	64.5990789237266	-11.2067856936786	21.847341099491	4	surface	AdTech
39	63.2288525622916	-1.41140569491386	21.5205350570913	4	surface	AdTech
40	60.0062884710486	8.44969475181947	20.5251606424328	4	surface	AdTech
41	55.8695650631456	-61.7587015001649	13.1217983499569	4	surface	AdTech
42	60.4753396835402	-52.1410194818691	13.0508117915668	4	surface	AdTech
43	65.2471488520996	-41.7268561883847	12.6367235342913	4	surface	AdTech
44	65.8322368732696	-31.4047015220564	13.1586309981782	4	surface	AdTech
45	65.7180976715885	-21.6093215232916	12.8318249557785	4	surface	AdTech
46	65.7520028060147	-11.2214464089947	12.6851640474065	4	surface	AdTech
47	63.662904261168	-1.09695862847952	12.1141463858913	4	surface	AdTech
48	58.7640718760761	8.23104787684705	11.8862304232614	4	surface	AdTech
49	57.5018362419698	-61.8721956583876	3.41315873517132	4	surface	AdTech
50	62.0859689188067	-51.8528605946222	3.91185046927026	4	surface	AdTech
51	65.6401368796424	-41.4649854803253	3.76518956089828	4	surface	AdTech
52	66.6362261973589	-31.1165426348095	4.01966967588162	4	surface	AdTech
53	66.6340525731665	-21.3211626360447	3.69286363348196	4	surface	AdTech
54	65.0674947926861	-11.2623953034982	3.79041434422558	4	surface	AdTech
55	62.9159782047606	-1.26302914507707	2.9403614689128	4	surface	AdTech
56	58.8270328642934	8.79573818746948	3.03791217965641	4	surface	AdTech
57	57.3379031398369	-61.5577485919533	-5.99322993602876	4	surface	AdTech
58	61.6060352452768	-51.5384135281879	-5.49453820192982	4	surface	AdTech
59	66.0269348554893	-41.4533580164539	-5.66441484008975	4	surface	AdTech
60	67.2520557820738	-31.1312033501255	-5.14250737620287	4	surface	AdTech
61	67.6380626590225	-21.1844135500793	-5.45770555370855	4	surface	AdTech
62	65.8363952126835	-11.4941862680643	-4.71480220049402	4	surface	AdTech
63	61.7688929953412	-1.30397803958058	-5.95438823426814	4	surface	AdTech
64	58.0299093375796	8.50454604877788	-6.41490795111958	4	surface	AdTech
