onset	duration	trial_type
10.161	2.999	tong_cue
16.241	2.999	hand_cue
22.281	2.999	hand_cue
28.321	2.999	tong_cue
34.321	2.999	hand_cue
40.361	2.999	tong_cue
46.361	2.999	tong_cue
52.361	2.999	tong_cue
58.441	2.999	tong_cue
64.441	2.999	hand_cue
70.521	2.999	tong_cue
76.561	2.999	hand_cue
82.641	2.999	hand_cue
88.721	2.999	tong_cue
94.801	2.999	tong_cue
100.881	2.999	hand_cue
106.881	2.999	tong_cue
112.881	2.999	hand_cue
118.921	2.999	tong_cue
124.961	2.999	hand_cue
130.961	2.999	tong_cue
137.001	2.999	tong_cue
143.041	2.999	hand_cue
149.081	2.999	hand_cue
155.161	2.999	hand_cue
161.241	2.999	hand_cue
167.281	2.999	hand_cue
173.361	2.999	tong_cue
179.361	2.999	hand_cue
185.361	2.999	tong_cue
205.521	2.999	tong_cue
211.521	2.999	tong_cue
217.521	2.999	tong_cue
223.521	2.999	hand_cue
229.601	2.999	tong_cue
235.601	2.999	tong_cue
241.681	2.999	hand_cue
247.721	2.999	hand_cue
253.721	2.999	hand_cue
259.761	2.999	hand_cue
265.801	2.999	tong_cue
271.841	2.999	hand_cue
277.841	2.999	tong_cue
283.841	2.999	hand_cue
289.921	2.999	tong_cue
295.961	2.999	tong_cue
302.001	2.999	tong_cue
308.041	2.999	hand_cue
314.041	2.999	hand_cue
320.081	2.999	tong_cue
326.081	2.999	hand_cue
332.081	2.999	tong_cue
338.121	2.999	hand_cue
344.121	2.999	hand_cue
350.201	2.999	hand_cue
356.201	2.999	tong_cue
362.281	2.999	tong_cue
368.321	2.999	tong_cue
374.401	2.999	hand_cue
380.441	2.999	hand_cue
