onset	duration	trial_type	trial_description
10.161	2.999	12	hand_cue
16.201	2.999	12	hand_cue
22.201	2.999	12	hand_cue
28.241	2.999	12	hand_cue
34.281	2.999	11	tong_cue
40.321	2.999	12	hand_cue
46.401	2.999	11	tong_cue
52.481	2.999	11	tong_cue
58.521	2.999	12	hand_cue
64.601	2.999	11	tong_cue
70.601	2.999	11	tong_cue
76.601	2.999	11	tong_cue
82.601	2.999	12	hand_cue
88.681	2.999	12	hand_cue
94.761	2.999	11	tong_cue
100.761	2.999	11	tong_cue
106.761	2.999	12	hand_cue
112.761	2.999	11	tong_cue
118.841	2.999	12	hand_cue
124.841	2.999	11	tong_cue
130.921	2.999	12	hand_cue
136.961	2.999	11	tong_cue
142.961	2.999	12	hand_cue
149.001	2.999	11	tong_cue
155.041	2.999	12	hand_cue
161.081	2.999	12	hand_cue
167.081	2.999	11	tong_cue
173.081	2.999	11	tong_cue
179.161	2.999	12	hand_cue
185.201	2.999	11	tong_cue
195.161	0.039	12	hand_cue
211.401	2.999	12	hand_cue
223.561	2.999	12	hand_cue
229.641	2.999	12	hand_cue
235.681	2.999	12	hand_cue
241.761	2.999	12	hand_cue
247.761	2.999	12	hand_cue
277.881	2.999	12	hand_cue
283.961	2.999	12	hand_cue
296.001	2.999	12	hand_cue
332.361	2.999	12	hand_cue
338.401	2.999	12	hand_cue
356.521	2.999	12	hand_cue
368.601	2.999	12	hand_cue
374.641	2.999	12	hand_cue
380.641	2.999	12	hand_cue
406.841	2.999	11	tong_cue
425.001	2.999	11	tong_cue
437.041	2.999	11	tong_cue
461.161	2.999	11	tong_cue
467.161	2.999	11	tong_cue
473.201	2.999	11	tong_cue
479.281	2.999	11	tong_cue
491.441	2.999	11	tong_cue
497.481	2.999	11	tong_cue
509.601	2.999	11	tong_cue
515.641	2.999	11	tong_cue
539.721	2.999	11	tong_cue
545.801	2.999	11	tong_cue
551.841	2.999	11	tong_cue
557.921	2.999	11	tong_cue
