name	x	y	z	size	type	manufacturer
1	-56.4066185071143	39.1618637357006	4.7270490836863	4	surface	AdTech
2	-59.7378273142694	32.0902004280772	12.3759910286666	4	surface	AdTech
3	-60.2213586283799	25.4514960984717	19.7362936549684	4	surface	AdTech
4	-60.3507425200993	17.8025541534914	27.8181945779665	4	surface	AdTech
5	-60.3507425200993	10.730890845868	34.7455382262506	4	surface	AdTech
6	-61.1055324727663	4.09218651626247	42.1058408525524	4	surface	AdTech
7	-58.9659955153536	-3.55675542871785	49.4661434788542	4	surface	AdTech
8	-55.6100409759754	-11.3500170330374	56.249167467799	4	surface	AdTech
9	-57.7669686361933	31.5129217907202	-1.91165524591928	4	surface	AdTech
10	-59.6934282531812	25.1628567797932	5.73728669906104	4	surface	AdTech
11	-61.5098119873908	18.8127917688661	13.3862286440414	4	surface	AdTech
12	-63.7683102200087	11.7411284612428	20.7465312703432	4	surface	AdTech
13	-65.4386894401499	4.66946515361947	27.3852355999488	4	surface	AdTech
14	-64.4717047308864	-2.5465178133431	35.1784972042683	4	surface	AdTech
15	-63.7241739082421	-9.90682043964492	41.8172015338739	4	surface	AdTech
16	-60.7534057957681	-17.7000820439645	49.1775041601757	4	surface	AdTech
17	-50.4904324876368	24.4412584830969	-9.27195787222109	4	surface	AdTech
18	-54.0217185959103	17.8025541534914	-1.33437660856227	4	surface	AdTech
19	-63	12.0297677799213	5.73728669906104	4	surface	AdTech
20	-65.3724622650616	5.10242413163724	13.3862286440414	4	surface	AdTech
21	-69.0772243321872	-1.96923917598609	20.4578919516647	4	surface	AdTech
22	-69.2014842237785	-9.61818112096641	28.3954732153235	4	surface	AdTech
23	-68.2389905460694	-16.6898444285897	34.7455382262506	4	surface	AdTech
24	-66.9728927554875	-23.6171880768738	41.5285622151954	4	surface	AdTech
25	-54.4345565006218	17.0809558567951	-15.6220228831482	4	surface	AdTech
26	-60.3507425200993	11.4524891425643	-8.55035957552484	4	surface	AdTech
27	-65.0385239972885	4.38082583494098	-0.901417630544515	4	surface	AdTech
28	-66.9766143101145	-1.24764087928983	6.4588849957573	4	surface	AdTech
29	-69.0964520707537	-8.60794350559165	13.8191876220591	4	surface	AdTech
30	-69.3142876865846	-15.9682461318935	20.7465312703432	4	surface	AdTech
31	-70.1659720455591	-22.606950461499	27.0965962812703	4	surface	AdTech
32	-68.817492805087	-30.4002120658186	33.7353006108758	4	surface	AdTech
33	-56	9.72065323049327	-23.2709648281285	4	surface	AdTech
34	-62.3	4.09218651626247	-15.3333835644697	4	surface	AdTech
35	-67.3371889960573	-1.96923917598609	-7.68444161948933	4	surface	AdTech
36	-68.5525344812816	-8.31930418691316	-0.901417630544515	4	surface	AdTech
37	-69.7052454927014	-14.9580085165187	6.74752431443581	4	surface	AdTech
38	-68.561691833167	-22.029671824142	14.1078269407376	4	surface	AdTech
39	-68.459025229782	-28.6683761537476	21.0351705890217	4	surface	AdTech
40	-68.2389905460694	-36.7502770767457	27.3852355999488	4	surface	AdTech
41	-58	2.07171128551295	-30.0539888170733	4	surface	AdTech
42	-66.2669285395769	-2.97947679136085	-21.9720878940752	4	surface	AdTech
43	-69.3703844445252	-9.61818112096641	-14.9004245864519	4	surface	AdTech
44	-68.8121433373501	-14.6693691978402	-7.25148264147158	4	surface	AdTech
45	-70.7152820424797	-22.029671824142	0.108819984830248	4	surface	AdTech
46	-71.0579977391495	-28.3797368350691	6.74752431443581	4	surface	AdTech
47	-70.2110525525619	-35.3070804833532	14.3964662594161	4	surface	AdTech
48	-69.0904882899438	-42.3787437909765	20.7465312703432	4	surface	AdTech
49	-60	-3.98971440673562	-37.4142914433751	4	surface	AdTech
50	-64.2948665330844	-10.3397794176627	-30.0539888170733	4	surface	AdTech
51	-69.403170554321	-16.256885450572	-21.6834485753967	4	surface	AdTech
52	-69.3358190400407	-21.5967128461243	-13.3129083337201	4	surface	AdTech
53	-70.7658749962307	-27.9467778570513	-6.96284332279308	4	surface	AdTech
54	-70.6569619890937	-35.0184411646747	0.397459303508754	4	surface	AdTech
55	-69.815595614311	-42.090104472298	7.46912261113206	4	surface	AdTech
56	-67.6811544409578	-49.7390464172783	14.8294252374339	4	surface	AdTech
57	-59	-14.2364102198225	-39.2904470147854	4	surface	AdTech
58	-61.5	-18.9989589780178	-34.6722179159294	4	surface	AdTech
59	-64.2948665330844	-24.3387863735701	-28.0335135863238	4	surface	AdTech
60	-66.2669285395769	-28.9570154724261	-20.673210960022	4	surface	AdTech
61	-69.1316954338575	-35.7400394613709	-13.0242690150416	4	surface	AdTech
62	-69.5051792250462	-41.6571454942802	-6.67420400411457	4	surface	AdTech
63	-68.0516087664668	-49.3060874392606	0.397459303508754	4	surface	AdTech
64	-66.2669285395769	-56.3777507468839	7.46912261113206	4	surface	AdTech
