name	x	y	z	size	type	manufacturer
1	-50.4035118759095	41.5730432014837	5.59013754390286	4	surface	AdTech
2	-51.4515049989682	35.9016003306678	12.2431975266774	4	surface	AdTech
3	-52.6085396242425	29.1764264364444	19.3814039266468	4	surface	AdTech
4	-53.4512624983843	22.8024962166902	26.3578948542179	4	surface	AdTech
5	-54.5307527897451	15.7260786479977	33.6578167265855	4	surface	AdTech
6	-51.3316644433574	9.19459358788029	40.2737885065841	4	surface	AdTech
7	-48.9481763375737	1.80306633846129	46.8526720838067	4	surface	AdTech
8	-45.6624996488665	-5.53594263083664	53.5517287102202	4	surface	AdTech
9	-53.4879742662075	35.6360863276273	-0.915024140056688	4	surface	AdTech
10	-54.619339608982	29.6538733978825	6.31417562015475	4	surface	AdTech
11	-56.359550472041	23.2799431781283	13.2906665477258	4	surface	AdTech
12	-59.0095914765086	16.3972144435417	20.0683538001227	4	surface	AdTech
13	-59.73902086373	9.86572938342423	26.6843255801213	4	surface	AdTech
14	-58.8507024590057	3.17668948294354	32.9397782125474	4	surface	AdTech
15	-56.9004669217615	-3.95224636587006	40.1195270357242	4	surface	AdTech
16	-51.6442897215679	-10.8229304358758	46.6029630322733	4	surface	AdTech
17	-52.0890972949902	29.1903309389386	-7.61898949919048	4	surface	AdTech
18	-52.1942192326864	23.4947987389609	-0.377427004720384	4	surface	AdTech
19	-57.6694288823406	17.3025126887317	6.37108055872771	4	surface	AdTech
20	-60.0319782727722	10.8640195242755	13.5216496929557	4	surface	AdTech
21	-60.9144887772725	3.99333545426983	20.0050856895048	4	surface	AdTech
22	-61.310314331797	-2.64318616608978	26.3807113711218	4	surface	AdTech
23	-59.6974642738233	-9.64299612549943	33.2123037809847	4	surface	AdTech
24	-58.3650585878137	-17.2445964954028	39.310495161444	4	surface	AdTech
25	-42.4991906036599	21.9490963056502	-14.5341212677572	4	surface	AdTech
26	-52.5074318737353	16.1364828808495	-7.238653615821	4	surface	AdTech
27	-53.1424340639043	10.856757300043	-0.332884800406079	4	surface	AdTech
28	-60.6178729053583	4.88658903487899	6.6020637039576	4	surface	AdTech
29	-60.4528310718223	-1.5398594649963	13.4583815823379	4	surface	AdTech
30	-63.3675253667716	-8.1763810853559	19.8340072639548	4	surface	AdTech
31	-62.9457807463384	-14.9299839305386	26.2635381030378	4	surface	AdTech
32	-62.185492017249	-22.7132284699669	32.5897128476201	4	surface	AdTech
33	-50.8589273410751	15.6608957573247	-20.8775674793185	4	surface	AdTech
34	-52.5166872526026	10.1349630622912	-13.5697370931236	4	surface	AdTech
35	-56.1355177831763	4.28187602195025	-6.68869374622603	4	surface	AdTech
36	-59.8506309318567	-1.16744906380043	0.150807177464141	4	surface	AdTech
37	-63.052010722071	-7.69893412391787	6.76677895746274	4	surface	AdTech
38	-65.0329966149411	-14.0083013989701	13.5691916783769	4	surface	AdTech
39	-64.3677631188047	-20.8789854689758	20.052627674926	4	surface	AdTech
40	-64.9263985673144	-27.9072243793448	26.1755445239026	4	surface	AdTech
41	-51.1351534038072	8.74681546934371	-27.3659122085879	4	surface	AdTech
42	-56.3002481072	3.81833356300633	-20.6218588655713	4	surface	AdTech
43	-60.8725635236289	-1.87719863697134	-13.3802963711012	4	surface	AdTech
44	-63.0828211100442	-7.8473669021353	-6.44534786673748	4	surface	AdTech
45	-65.0841572658572	-13.4662914928301	0.327885165227943	4	surface	AdTech
46	-66.1624658627156	-20.3490202274167	7.1055724176248	4	surface	AdTech
47	-64.5371822645993	-26.775468727292	13.9618902960051	4	surface	AdTech
48	-62.7608099213753	-33.4119903476516	20.337515977622	4	surface	AdTech
49	-49.5878755122902	1.99029002172598	-33.4937377902849	4	surface	AdTech
50	-55.3470130204142	-2.7040294349653	-26.8574947622004	4	surface	AdTech
51	-62.0226104107229	-8.21791746541794	-19.8439156318533	4	surface	AdTech
52	-65.1358352203546	-13.9539232809358	-13.0167774424218	4	surface	AdTech
53	-66.7071978951652	-19.5728478716306	-6.24354441045635	4	surface	AdTech
54	-67.8183013260585	-26.0638593162079	0.786851674580836	4	surface	AdTech
55	-67.7681969327798	-33.2212241159808	7.25792493687127	4	surface	AdTech
56	-64.1617676140304	-39.3609918860889	14.1266055495102	4	surface	AdTech
57	-51.5947075306863	-5.21383641700801	-37.1058378528015	4	surface	AdTech
58	-53.6015395490823	-10.3283021146679	-31.4309792182437	4	surface	AdTech
59	-60.5250985376411	-14.6352439031474	-25.8392054301007	4	surface	AdTech
60	-60.5250985376411	-20.2421238292613	-19.3602236539831	4	surface	AdTech
61	-63.9868780319205	-25.756011859714	-12.346644523636	4	surface	AdTech
62	-67.4486575261999	-31.8312166851201	-5.65204211765396	4	surface	AdTech
63	-68.2752423668784	-39.1461363252562	0.458511997063972	4	surface	AdTech
64	-63.9346130180014	-45.9117838350198	7.18229409199474	4	surface	AdTech
