onset	duration	trial_type	trial_description
10.121	2.999	12	hand_cue
16.161	2.999	11	tong_cue
22.161	2.999	11	tong_cue
28.201	2.999	12	hand_cue
34.241	2.999	12	hand_cue
40.281	2.999	12	hand_cue
46.321	2.999	12	hand_cue
52.401	2.999	12	hand_cue
58.441	2.999	11	tong_cue
64.481	2.999	11	tong_cue
70.481	2.999	12	hand_cue
76.521	2.999	12	hand_cue
82.521	2.999	11	tong_cue
88.521	2.999	11	tong_cue
94.601	2.999	12	hand_cue
100.601	2.999	12	hand_cue
106.681	2.999	11	tong_cue
112.721	2.999	11	tong_cue
118.801	2.999	11	tong_cue
133.121	2.999	12	hand_cue
139.161	2.999	11	tong_cue
145.161	2.999	11	tong_cue
151.201	2.999	12	hand_cue
157.241	2.999	12	hand_cue
163.281	2.999	12	hand_cue
169.321	2.999	12	hand_cue
175.401	2.999	12	hand_cue
181.441	2.999	11	tong_cue
187.481	2.999	11	tong_cue
193.481	2.999	12	hand_cue
199.521	2.999	12	hand_cue
205.521	2.999	11	tong_cue
211.521	2.999	11	tong_cue
217.601	2.999	12	hand_cue
223.601	2.999	12	hand_cue
229.681	2.999	11	tong_cue
235.721	2.999	11	tong_cue
241.801	2.999	11	tong_cue
