onset	duration	trial_type
10.121	2.999	hand_cue
16.161	2.999	tong_cue
22.161	2.999	tong_cue
28.201	2.999	hand_cue
34.241	2.999	hand_cue
40.281	2.999	tong_cue
46.321	2.999	tong_cue
52.401	2.999	tong_cue
58.441	2.999	hand_cue
64.481	2.999	hand_cue
70.481	2.999	tong_cue
76.521	2.999	tong_cue
82.521	2.999	hand_cue
88.521	2.999	hand_cue
94.601	2.999	tong_cue
100.601	2.999	hand_cue
106.681	2.999	hand_cue
112.721	2.999	hand_cue
118.801	2.999	hand_cue
124.881	2.999	tong_cue
130.961	2.999	tong_cue
137.041	2.999	tong_cue
143.041	2.999	tong_cue
149.041	2.999	tong_cue
155.081	2.999	tong_cue
161.121	2.999	hand_cue
167.121	2.999	hand_cue
173.161	2.999	hand_cue
179.201	2.999	tong_cue
185.241	2.999	hand_cue
205.361	2.999	hand_cue
211.441	2.999	tong_cue
217.441	2.999	tong_cue
223.441	2.999	tong_cue
229.441	2.999	tong_cue
235.521	2.999	tong_cue
241.601	2.999	hand_cue
247.601	2.999	hand_cue
253.601	2.999	hand_cue
259.601	2.999	hand_cue
265.681	2.999	hand_cue
271.681	2.999	tong_cue
277.761	2.999	hand_cue
283.801	2.999	hand_cue
289.801	2.999	hand_cue
295.841	2.999	hand_cue
301.881	2.999	tong_cue
307.921	2.999	tong_cue
313.921	2.999	tong_cue
319.921	2.999	tong_cue
326.001	2.999	hand_cue
332.041	2.999	hand_cue
338.081	2.999	tong_cue
344.121	2.999	tong_cue
350.121	2.999	tong_cue
356.161	2.999	hand_cue
362.161	2.999	tong_cue
368.161	2.999	hand_cue
374.201	2.999	hand_cue
380.201	2.999	tong_cue
400.361	2.999	tong_cue
406.401	2.999	hand_cue
412.481	2.999	tong_cue
418.521	2.999	hand_cue
424.601	2.999	tong_cue
430.641	2.999	tong_cue
436.721	2.999	tong_cue
442.801	2.999	tong_cue
448.881	2.999	hand_cue
454.961	2.999	tong_cue
461.001	2.999	tong_cue
467.081	2.999	tong_cue
473.081	2.999	tong_cue
479.081	2.999	hand_cue
485.161	2.999	hand_cue
491.161	2.999	hand_cue
497.161	2.999	hand_cue
503.201	2.999	hand_cue
509.281	2.999	hand_cue
515.281	2.999	hand_cue
521.321	2.999	hand_cue
527.361	2.999	hand_cue
533.441	2.999	tong_cue
539.481	2.999	tong_cue
545.521	2.999	tong_cue
551.601	2.999	hand_cue
557.681	2.999	tong_cue
563.721	2.999	hand_cue
569.801	2.999	hand_cue
575.801	2.999	tong_cue
