name	x	y	z	size	type	manufacturer
1	-16.6188285515149	30.9537345594993	32.5830358195938	4	surface	AdTech
2	-15.7090385237722	21.4284512925457	35.09357559538	4	surface	AdTech
3	-12.7723648538854	12.1985256462729	35.9796484574222	4	surface	AdTech
4	-11.1897168054154	2.96860000000001	38.4901882332084	4	surface	AdTech
5	-14.378919972574	-6.55668326695357	38.7855458538891	4	surface	AdTech
6	-13.4082929216997	-14.6790178356737	39.8931369314419	4	surface	AdTech
7	-10	-23.687425266436	40.7053703883139	4	surface	AdTech
8	-5	-31.2190445937946	39.3024216900804	4	surface	AdTech
9	-24.5705040067549	27.9263189475218	24.7560588715544	4	surface	AdTech
10	-27.7943724257305	18.4010356805682	26.6758834059792	4	surface	AdTech
11	-23.1145634304433	9.39262824980591	28.6695473455741	4	surface	AdTech
12	-23.1145634304433	-0.428012637828402	29.7771384231268	4	surface	AdTech
13	-21.1733093286946	-9.06722304273978	30.8847295006796	4	surface	AdTech
14	-21.1733093286946	-17.7802728528214	31.7708023627218	4	surface	AdTech
15	-16.4588350815905	-27.0101984990942	32.2876781989131	4	surface	AdTech
16	-12.2510068225802	-35.427890688495	31.475444742041	4	surface	AdTech
17	-29.3501069087878	25.4157791717356	16.6337243028343	4	surface	AdTech
18	-31.642215377411	15.890495904782	18.0366730010678	4	surface	AdTech
19	-31.5824477018645	6.29137323265823	19.4396216993013	4	surface	AdTech
20	-30.5459267887002	-2.93855241361462	21.1379280182155	4	surface	AdTech
21	-30.2594569993797	-12.1684780598875	22.2455190957682	4	surface	AdTech
22	-29.4539713564666	-21.1030460854796	22.7623949319595	4	surface	AdTech
23	-28.0796941137622	-30.1114535162419	23.3531101733209	4	surface	AdTech
24	-25.276414589209	-39.046021541834	23.3531101733209	4	surface	AdTech
25	-31.8502068883127	22.8313999907792	7.10844103588073	4	surface	AdTech
26	-33.2775996101867	13.084598508315	8.80674735479494	4	surface	AdTech
27	-34.0502948702946	3.78083345687202	10.431214268539	4	surface	AdTech
28	-33.6662187899486	-5.74444981008156	11.8341629667724	4	surface	AdTech
29	-34.4284349921977	-14.1621419994824	13.2371116650059	4	surface	AdTech
30	-33.3408127164411	-24.2043011026273	14.3447027425586	4	surface	AdTech
31	-31.8502068883127	-32.6219932920281	14.3447027425586	4	surface	AdTech
32	-26.9970716339408	-41.5565613176202	14.9354179839201	4	surface	AdTech
33	-32.2031621795397	20.6162178356737	-2.71219985175358	4	surface	AdTech
34	-34.7620880409357	11.0909345687201	-0.718535912158643	4	surface	AdTech
35	-37.0790687430229	1.2702936810858	0.905931001585373	4	surface	AdTech
36	-36.0562574421016	-7.95963196518704	2.60423732049958	4	surface	AdTech
37	-35.5774147636702	-17.4849152321406	4.00718601873305	4	surface	AdTech
38	-33.3346953190617	-26.7148408784135	5.11477709628579	4	surface	AdTech
39	-32.820833939187	-35.427890688495	5.41013471696652	4	surface	AdTech
40	-27.2583943014839	-43.2548676365344	5.70549233764726	4	surface	AdTech
41	-32.5924511036872	18.4010356805682	-12.5328407393879	4	surface	AdTech
42	-34.7620880409357	8.5803947929339	-10.2438191791122	4	surface	AdTech
43	-36.9837455129371	-0.944888474019677	-8.32399464468747	4	surface	AdTech
44	-37.4386656660741	-10.1748141202925	-6.921045946454	4	surface	AdTech
45	-35.8405625419073	-20.2908126286076	-6.10881248958198	4	surface	AdTech
46	-34.5032541607026	-29.2253806541997	-4.11514854998705	4	surface	AdTech
47	-31.8502068883127	-38.233788084962	-3.30291509311503	4	surface	AdTech
48	-28.9383257356896	-46.6514802743628	-2.71219985175358	4	surface	AdTech
49	-32.3355204137498	15.890495904782	-21.7627663856607	4	surface	AdTech
50	-33.3434792742732	6.06985501714767	-19.842941851236	4	surface	AdTech
51	-38.5059352371655	-3.23391003429535	-18.1446355323218	4	surface	AdTech
52	-38.6	-12.4638356805682	-16.7416868340883	4	surface	AdTech
53	-38.2132064440446	-21.9891189475218	-15.0433805151741	4	surface	AdTech
54	-34	-32.0312780506666	-13.3450741962599	4	surface	AdTech
55	-31.85	-41.3350431021097	-11.9421254980264	4	surface	AdTech
56	-27.8706359797277	-49.4573776708298	-11.6467678773457	4	surface	AdTech
57	-32.0928636510312	13.3061167238256	-31.583407273295	4	surface	AdTech
58	-36.2963049923178	4.37154869823348	-29.3682251181896	4	surface	AdTech
59	-38.5699326251352	-5.44909218940083	-26.7838459372332	4	surface	AdTech
60	-37.2388605155807	-14.9743754563544	-25.9716124803612	4	surface	AdTech
61	-36	-23.9089434819465	-24.273306161447	4	surface	AdTech
62	-32	-33.2127085333896	-22.3534816270222	4	surface	AdTech
63	-28.56	-43.2548676365344	-21.46740876498	4	surface	AdTech
64	-24.0851904813177	-51.6725598259353	-20.655175308108	4	surface	AdTech
