onset	duration	trial_type
10.121	2.999	hand_cue
16.161	2.999	hand_cue
22.201	2.999	hand_cue
28.201	2.999	hand_cue
34.241	2.999	tong_cue
40.281	2.999	tong_cue
46.321	2.999	hand_cue
58.441	2.999	hand_cue
64.481	2.999	tong_cue
94.561	2.999	hand_cue
100.641	2.999	tong_cue
106.641	2.999	tong_cue
112.721	2.999	hand_cue
124.841	2.999	hand_cue
130.921	2.999	hand_cue
149.081	2.999	hand_cue
155.081	2.999	tong_cue
167.161	2.999	tong_cue
173.161	2.999	hand_cue
209.481	2.999	tong_cue
215.561	2.999	tong_cue
221.561	2.999	tong_cue
227.561	2.999	tong_cue
233.561	2.999	hand_cue
239.641	2.999	hand_cue
245.721	2.999	hand_cue
251.721	2.999	tong_cue
257.721	2.999	tong_cue
269.801	2.999	tong_cue
275.801	2.999	tong_cue
295.881	2.999	tong_cue
320.001	2.999	hand_cue
326.001	2.999	tong_cue
338.121	2.999	tong_cue
350.201	2.999	tong_cue
362.241	2.999	tong_cue
374.241	2.999	hand_cue
380.281	2.999	hand_cue
386.281	2.999	hand_cue
392.361	2.999	tong_cue
398.361	2.999	tong_cue
404.441	2.999	hand_cue
410.481	2.999	hand_cue
416.561	2.999	tong_cue
428.681	2.999	tong_cue
434.721	2.999	hand_cue
440.801	2.999	hand_cue
446.881	2.999	hand_cue
459.041	2.999	hand_cue
471.161	2.999	tong_cue
477.161	2.999	hand_cue
483.161	2.999	tong_cue
495.241	2.999	hand_cue
507.281	2.999	tong_cue
513.361	2.999	tong_cue
525.401	2.999	tong_cue
537.521	2.999	hand_cue
543.561	2.999	hand_cue
549.601	2.999	hand_cue
555.681	2.999	tong_cue
