name	x	y	z	size
iEEG1	19	-39	-16	4
iEEG2	23	-40	-19	4
iEEG3	27	-42	-21	4
iEEG4	31	-44	-23	4
iEEG5	35	-45	-25	4
iEEG6	39	-46	-26	4
iEEG7	44	-49	-27	4
iEEG8	50	-50	-29	4
iEEG9	21	-34	-19	4
iEEG10	24	-36	-21	4
iEEG11	26	-37	-22	4
iEEG12	31	-39	-24	4
iEEG13	36	-40	-26	4
iEEG14	41	-41	-28	4
iEEG15	45	-43	-29	4
iEEG16	51	-45	-31	4
iEEG17	20	-28	-12	4
iEEG18	22	-30	-21	4
iEEG19	25	-30	-24	4
iEEG20	30	-32	-26	4
iEEG21	34	-32	-28	4
iEEG22	39	-33	-29	4
iEEG23	43	-34	-30	4
iEEG24	48	-35	-31	4
iEEG25	21	-23	-13	4
iEEG26	22	-25	-23	4
iEEG27	25	-26	-26	4
iEEG28	29	-28	-27	4
iEEG29	34	-28	-29	4
iEEG30	39	-29	-30	4
iEEG31	44	-30	-31	4
iEEG32	50	-31	-32	4
iEEG33	4	-71	48	4
iEEG34	13	-69	53	4
iEEG35	21	-62	53	4
iEEG36	29	-55	52	4
iEEG37	10	-80	44	4
iEEG38	19	-77	47	4
iEEG39	27	-70	48	4
iEEG40	35	-60	46	4
iEEG41	14	-86	38	4
iEEG42	22	-82	40	4
iEEG43	32	-75	41	4
iEEG44	40	-68	40	4
iEEG45	17	-90	31	4
iEEG46	26	-87	33	4
iEEG47	37	-81	32	4
iEEG48	46	-74	31	4
iEEG49	20	-94	25	4
iEEG50	29	-92	24	4
iEEG51	40	-85	23	4
iEEG52	49	-78	20	4
iEEG53	20	-99	14	4
iEEG54	30	-95	13	4
iEEG55	40	-89	12	4
iEEG56	48	-81	10	4
iEEG57	20	-102	4	4
iEEG58	30	-97	3	4
iEEG59	40	-90	2	4
iEEG60	47	-82	-1	4
iEEG61	22	-104	-5	4
iEEG62	30	-99	-7	4
iEEG63	38	-92	-9	4
iEEG64	45	-83	-11	4
iEEG65	-1	-76	-11	4
iEEG66	-2	-77	-7	4
iEEG67	-3	-79	-2	4
iEEG68	-3	-81	2	4
iEEG69	-3	-83	6	4
iEEG70	-2	-85	11	4
iEEG71	-1	-86	15	4
iEEG72	1	-88	20	4
iEEG73	5	-91	26	4
iEEG74	-1	-80	-13.5	4
iEEG75	-2	-81.5	-9.5	4
iEEG76	-3	-83.5	-4.5	4
iEEG77	-3	-85.5	0	4
iEEG78	-2.5	-87	4	4
iEEG79	-1.5	-90	9	4
iEEG80	0.5	-91.5	14	4
iEEG81	3	-92.5	18.5	4
iEEG82	7	-94	23	4
iEEG83	-1	-84	-16	4
iEEG84	-2	-86	-12	4
iEEG85	-3	-88	-7	4
iEEG86	-3	-90	-2	4
iEEG87	-2	-91	2	4
iEEG88	-1	-95	7	4
iEEG89	2	-97	13	4
iEEG90	5	-97	17	4
iEEG91	9	-97	20	4
iEEG92	1	-87	-22	4
iEEG93	8	-88	-28	4
iEEG94	18	-89	-30	4
iEEG95	27	-92	-28	4
iEEG96	35	-93	-19	4
iEEG97	3	-78	-19	4
iEEG98	11	-79	-24	4
iEEG99	20	-80	-27	4
iEEG100	30	-81	-27	4
iEEG101	39	-85	-22	4
iEEG102	5	-69	-14	4
iEEG103	14	-70	-19	4
iEEG104	24	-71	-23	4
iEEG105	32	-73	-25	4
iEEG106	40	-73	-23	4
iEEG107	9	-59	-11	4
iEEG108	18	-60	-16	4
iEEG109	26	-60	-21	4
iEEG110	34	-62	-23	4
iEEG111	43	-64	-23	4
iEEG112	7	-102	-23	4
iEEG113	4	-104	-12	4
iEEG114	7	-104	1	4
iEEG115	10	-101	11	4
iEEG116	10	-97	20	4
iEEG117	13	-92	28	4
iEEG118	n/a	n/a	n/a	4
