name	type	units	low_cutoff	high_cutoff	reference	group	status
1	ECOG	µV	300	0.5	intracranial	1	good
2	ECOG	µV	300	0.5	intracranial	1	good
3	ECOG	µV	300	0.5	intracranial	1	good
4	ECOG	µV	300	0.5	intracranial	1	good
5	ECOG	µV	300	0.5	intracranial	1	good
6	ECOG	µV	300	0.5	intracranial	1	good
7	ECOG	µV	300	0.5	intracranial	1	good
8	ECOG	µV	300	0.5	intracranial	1	good
9	ECOG	µV	300	0.5	intracranial	1	good
10	ECOG	µV	300	0.5	intracranial	1	good
11	ECOG	µV	300	0.5	intracranial	1	good
12	ECOG	µV	300	0.5	intracranial	1	good
13	ECOG	µV	300	0.5	intracranial	1	good
14	ECOG	µV	300	0.5	intracranial	1	good
15	ECOG	µV	300	0.5	intracranial	1	good
16	ECOG	µV	300	0.5	intracranial	1	good
17	ECOG	µV	300	0.5	intracranial	2	bad
18	ECOG	µV	300	0.5	intracranial	2	good
19	ECOG	µV	300	0.5	intracranial	2	good
20	ECOG	µV	300	0.5	intracranial	2	good
21	ECOG	µV	300	0.5	intracranial	2	good
22	ECOG	µV	300	0.5	intracranial	2	good
23	ECOG	µV	300	0.5	intracranial	2	good
24	ECOG	µV	300	0.5	intracranial	2	good
25	ECOG	µV	300	0.5	intracranial	2	good
26	ECOG	µV	300	0.5	intracranial	2	good
27	ECOG	µV	300	0.5	intracranial	2	good
28	ECOG	µV	300	0.5	intracranial	2	good
29	ECOG	µV	300	0.5	intracranial	2	good
30	ECOG	µV	300	0.5	intracranial	2	good
31	ECOG	µV	300	0.5	intracranial	2	good
32	ECOG	µV	300	0.5	intracranial	2	good
33	ECOG	µV	300	0.5	intracranial	3	good
34	ECOG	µV	300	0.5	intracranial	3	good
35	ECOG	µV	300	0.5	intracranial	3	good
36	ECOG	µV	300	0.5	intracranial	3	good
37	ECOG	µV	300	0.5	intracranial	3	good
38	ECOG	µV	300	0.5	intracranial	3	good
39	ECOG	µV	300	0.5	intracranial	3	good
40	ECOG	µV	300	0.5	intracranial	3	good
41	ECOG	µV	300	0.5	intracranial	3	good
42	ECOG	µV	300	0.5	intracranial	3	good
43	ECOG	µV	300	0.5	intracranial	3	good
44	ECOG	µV	300	0.5	intracranial	3	good
45	ECOG	µV	300	0.5	intracranial	3	good
