onset	duration	ISI	trial_type	trial_name	stim_file
11.9	0.5	0	111	CRF-5	stim_111.png
17.517	0.5	0	108	CRF-2	stim_108.png
23.283	0.5	0	114	CIRCULAR	stim_114.png
27.717	0.5	0	109	CRF-3	stim_109.png
32.3	0.5	0	114	CIRCULAR	stim_114.png
36.217	0.5	0	114	CIRCULAR	stim_114.png
40.967	0.5	0	110	CRF-4	stim_110.png
44.033	0.5	0	107	CRF-1	stim_107.png
48.967	0.5	0	113	PLAID	stim_113.png
53.033	0.5	0	107	CRF-1	stim_107.png
57.283	0.5	0	110	CRF-4	stim_110.png
62.733	0.5	0	116	SPARSITY-2	stim_116.png
66.3	0.5	0	115	SPARSITY-1	stim_115.png
69.533	0.5	0	117	SPARSITY-3	stim_117.png
75.133	0.5	0	117	SPARSITY-3	stim_117.png
79.217	0.5	0	115	SPARSITY-1	stim_115.png
84.483	0.5	0	112	GRATING	stim_112.png
87.883	0.5	0	112	GRATING	stim_112.png
91.467	0.5	0	108	CRF-2	stim_108.png
96.567	0.5	0	112	GRATING	stim_112.png
99.783	0.5	0	110	CRF-4	stim_110.png
104.033	0.5	0	118	SPARSITY-4	stim_118.png
109.983	0.5	0	115	SPARSITY-1	stim_115.png
115.767	0.5	0	117	SPARSITY-3	stim_117.png
119.683	0.5	0	116	SPARSITY-2	stim_116.png
124.95	0.5	0	107	CRF-1	stim_107.png
128.683	0.5	0	113	PLAID	stim_113.png
133.783	0.5	0	113	PLAID	stim_113.png
138.717	0.5	0	116	SPARSITY-2	stim_116.png
142.467	0.5	0	111	CRF-5	stim_111.png
145.867	0.5	0	109	CRF-3	stim_109.png
150.617	0.5	0	108	CRF-2	stim_108.png
156.567	0.5	0	111	CRF-5	stim_111.png
159.633	0.5	0	118	SPARSITY-4	stim_118.png
164.05	0.5	0	109	CRF-3	stim_109.png
169.483	0.5	0	118	SPARSITY-4	stim_118.png
