name	x	y	z	size	type	material	manufacturer	group	hemisphere
G01	-38.976727	-73.073921	51.221073	2.3	surface	platinum	AdTech	n/a	n/a
G02	-45.935616	-71.274719	46.279049	2.3	surface	platinum	AdTech	n/a	n/a
G03	-50.176132	-68.869652	40.905453	2.3	surface	platinum	AdTech	n/a	n/a
G04	-53.46283	-66.549156	34.032314	2.3	surface	platinum	AdTech	n/a	n/a
G05	-54.969692	-63.434166	28.165686	2.3	surface	platinum	AdTech	n/a	n/a
G06	-57.719135	-60.406849	21.76438	2.3	surface	platinum	AdTech	n/a	n/a
G07	-59.841286	-57.265347	15.086835	2.3	surface	platinum	AdTech	n/a	n/a
G08	-59.74538	-54.347965	7.983057	2.3	surface	platinum	AdTech	n/a	n/a
G09	-43.323574	-66.356911	55.571808	2.3	surface	platinum	AdTech	n/a	n/a
G10	-47.458881	-63.996464	50.159492	2.3	surface	platinum	AdTech	n/a	n/a
G11	-51.476894	-62.059582	43.820599	2.3	surface	platinum	AdTech	n/a	n/a
G12	-53.856819	-59.065205	37.489952	2.3	surface	platinum	AdTech	n/a	n/a
G13	-56.652088	-55.951351	31.379492	2.3	surface	platinum	AdTech	n/a	n/a
G14	-59.395626	-53.879101	25.016569	2.3	surface	platinum	AdTech	n/a	n/a
G15	-61.069218	-50.760838	18.030706	2.3	surface	platinum	AdTech	n/a	n/a
G16	-61.513363	-47.899128	11.009882	2.3	surface	platinum	AdTech	n/a	n/a
G17	-42.791336	-58.334526	58.432205	2.3	surface	platinum	AdTech	n/a	n/a
G18	-48.261108	-56.542229	53.119541	2.3	surface	platinum	AdTech	n/a	n/a
G19	-52.431366	-54.558239	47.202839	2.3	surface	platinum	AdTech	n/a	n/a
G20	-55.971603	-51.976673	41.329365	2.3	surface	platinum	AdTech	n/a	n/a
G21	-57.98946	-48.660686	34.013309	2.3	surface	platinum	AdTech	n/a	n/a
G22	-59.367661	-46.32523	27.557758	2.3	surface	platinum	AdTech	n/a	n/a
G23	-61.211754	-42.978672	20.65991	2.3	surface	platinum	AdTech	n/a	n/a
G24	-62.102203	-40.222584	13.878664	2.3	surface	platinum	AdTech	n/a	n/a
G25	-43.937153	-50.707573	61.469479	2.3	surface	platinum	AdTech	n/a	n/a
G26	-49.272438	-49.286736	56.077492	2.3	surface	platinum	AdTech	n/a	n/a
