onset	duration	trial_type	trial_name	stim_file	stim_file_index	ISI	event_sample
29.7539	0.2000	1	HRFPATTERN	sub-som682_ses-somecog01_task-hrfpattern_run-01.mat	8	0.0000	15234
37.7383	0.2000	1	HRFPATTERN	sub-som682_ses-somecog01_task-hrfpattern_run-01.mat	21	0.0000	19322
40.8047	0.2000	1	HRFPATTERN	sub-som682_ses-somecog01_task-hrfpattern_run-01.mat	32	0.0000	20892
58.9902	0.2000	1	HRFPATTERN	sub-som682_ses-somecog01_task-hrfpattern_run-01.mat	29	0.0000	30203
72.9434	0.2000	1	HRFPATTERN	sub-som682_ses-somecog01_task-hrfpattern_run-01.mat	23	0.0000	37347
76.8438	0.2000	1	HRFPATTERN	sub-som682_ses-somecog01_task-hrfpattern_run-01.mat	30	0.0000	39344
81.2773	0.2000	1	HRFPATTERN	sub-som682_ses-somecog01_task-hrfpattern_run-01.mat	9	0.0000	41614
90.1113	0.2000	1	HRFPATTERN	sub-som682_ses-somecog01_task-hrfpattern_run-01.mat	15	0.0000	46137
97.5957	0.2000	1	HRFPATTERN	sub-som682_ses-somecog01_task-hrfpattern_run-01.mat	3	0.0000	49969
118.1660	0.2000	1	HRFPATTERN	sub-som682_ses-somecog01_task-hrfpattern_run-01.mat	14	0.0000	60501
123.7832	0.2000	1	HRFPATTERN	sub-som682_ses-somecog01_task-hrfpattern_run-01.mat	22	0.0000	63377
136.7012	0.2000	1	HRFPATTERN	sub-som682_ses-somecog01_task-hrfpattern_run-01.mat	5	0.0000	69991
145.0352	0.2000	1	HRFPATTERN	sub-som682_ses-somecog01_task-hrfpattern_run-01.mat	2	0.0000	74258
154.5527	0.2000	1	HRFPATTERN	sub-som682_ses-somecog01_task-hrfpattern_run-01.mat	20	0.0000	79131
157.9551	0.2000	1	HRFPATTERN	sub-som682_ses-somecog01_task-hrfpattern_run-01.mat	31	0.0000	80873
163.0547	0.2000	1	HRFPATTERN	sub-som682_ses-somecog01_task-hrfpattern_run-01.mat	25	0.0000	83484
167.8047	0.2000	1	HRFPATTERN	sub-som682_ses-somecog01_task-hrfpattern_run-01.mat	18	0.0000	85916
179.2070	0.2000	1	HRFPATTERN	sub-som682_ses-somecog01_task-hrfpattern_run-01.mat	10	0.0000	91754
185.8418	0.2000	1	HRFPATTERN	sub-som682_ses-somecog01_task-hrfpattern_run-01.mat	7	0.0000	95151
196.5430	0.2000	1	HRFPATTERN	sub-som682_ses-somecog01_task-hrfpattern_run-01.mat	26	0.0000	100630
199.7754	0.2000	1	HRFPATTERN	sub-som682_ses-somecog01_task-hrfpattern_run-01.mat	17	0.0000	102285
216.2617	0.2000	1	HRFPATTERN	sub-som682_ses-somecog01_task-hrfpattern_run-01.mat	16	0.0000	110726
226.2969	0.2000	1	HRFPATTERN	sub-som682_ses-somecog01_task-hrfpattern_run-01.mat	1	0.0000	115864
241.4316	0.2000	1	HRFPATTERN	sub-som682_ses-somecog01_task-hrfpattern_run-01.mat	19	0.0000	123613
265.4023	0.2000	1	HRFPATTERN	sub-som682_ses-somecog01_task-hrfpattern_run-01.mat	12	0.0000	135886
271.7031	0.2000	1	HRFPATTERN	sub-som682_ses-somecog01_task-hrfpattern_run-01.mat	6	0.0000	139112
275.9531	0.2000	1	HRFPATTERN	sub-som682_ses-somecog01_task-hrfpattern_run-01.mat	4	0.0000	141288
281.9043	0.2000	1	HRFPATTERN	sub-som682_ses-somecog01_task-hrfpattern_run-01.mat	28	0.0000	144335
293.9727	0.2000	1	HRFPATTERN	sub-som682_ses-somecog01_task-hrfpattern_run-01.mat	27	0.0000	150514
299.2402	0.2000	1	HRFPATTERN	sub-som682_ses-somecog01_task-hrfpattern_run-01.mat	13	0.0000	153211
302.9727	0.2000	1	HRFPATTERN	sub-som682_ses-somecog01_task-hrfpattern_run-01.mat	24	0.0000	155122
310.1250	0.2000	1	HRFPATTERN	sub-som682_ses-somecog01_task-hrfpattern_run-01.mat	11	0.0000	158784
