onset	duration	ISI	trial_type	trial_name	stim_file	stim_file_index	sample
3.0000	0.5000	0.0000	132	LETTERS	sub-som682_ses-somecog01_task-spatialobject_run-01.mat	15	1536
4.4336	0.5000	0.0000	131	FACES	sub-som682_ses-somecog01_task-spatialobject_run-01.mat	5	2270
5.7676	0.5000	0.0000	132	LETTERS	sub-som682_ses-somecog01_task-spatialobject_run-01.mat	22	2953
7.0508	0.5000	0.0000	131	FACES	sub-som682_ses-somecog01_task-spatialobject_run-01.mat	8	3610
8.6836	0.5000	0.0000	132	LETTERS	sub-som682_ses-somecog01_task-spatialobject_run-01.mat	24	4446
10.0352	0.5000	0.0000	132	LETTERS	sub-som682_ses-somecog01_task-spatialobject_run-01.mat	23	5138
11.7344	0.5000	0.0000	131	FACES	sub-som682_ses-somecog01_task-spatialobject_run-01.mat	10	6008
13.1016	0.5000	0.0000	131	FACES	sub-som682_ses-somecog01_task-spatialobject_run-01.mat	1	6708
14.5684	0.5000	0.0000	132	LETTERS	sub-som682_ses-somecog01_task-spatialobject_run-01.mat	20	7459
16.0684	0.5000	0.0000	131	FACES	sub-som682_ses-somecog01_task-spatialobject_run-01.mat	3	8227
17.8027	0.5000	0.0000	131	FACES	sub-som682_ses-somecog01_task-spatialobject_run-01.mat	11	9115
19.4531	0.5000	0.0000	133	HOUSES	sub-som682_ses-somecog01_task-spatialobject_run-01.mat	29	9960
21.1855	0.5000	0.0000	133	HOUSES	sub-som682_ses-somecog01_task-spatialobject_run-01.mat	25	10847
22.7031	0.5000	0.0000	133	HOUSES	sub-som682_ses-somecog01_task-spatialobject_run-01.mat	32	11624
24.2207	0.5000	0.0000	133	HOUSES	sub-som682_ses-somecog01_task-spatialobject_run-01.mat	33	12401
25.5195	0.5000	0.0000	133	HOUSES	sub-som682_ses-somecog01_task-spatialobject_run-01.mat	27	13066
27.2695	0.5000	0.0000	132	LETTERS	sub-som682_ses-somecog01_task-spatialobject_run-01.mat	18	13962
28.6211	0.5000	0.0000	132	LETTERS	sub-som682_ses-somecog01_task-spatialobject_run-01.mat	16	14654
30.0039	0.5000	0.0000	131	FACES	sub-som682_ses-somecog01_task-spatialobject_run-01.mat	4	15362
31.4531	0.5000	0.0000	132	LETTERS	sub-som682_ses-somecog01_task-spatialobject_run-01.mat	17	16104
32.7051	0.5000	0.0000	131	FACES	sub-som682_ses-somecog01_task-spatialobject_run-01.mat	12	16745
34.1387	0.5000	0.0000	133	HOUSES	sub-som682_ses-somecog01_task-spatialobject_run-01.mat	35	17479
35.7539	0.5000	0.0000	133	HOUSES	sub-som682_ses-somecog01_task-spatialobject_run-01.mat	26	18306
37.3047	0.5000	0.0000	133	HOUSES	sub-som682_ses-somecog01_task-spatialobject_run-01.mat	31	19100
38.8711	0.5000	0.0000	133	HOUSES	sub-som682_ses-somecog01_task-spatialobject_run-01.mat	30	19902
40.4727	0.5000	0.0000	131	FACES	sub-som682_ses-somecog01_task-spatialobject_run-01.mat	2	20722
42.0723	0.5000	0.0000	132	LETTERS	sub-som682_ses-somecog01_task-spatialobject_run-01.mat	21	21541
43.4551	0.5000	0.0000	132	LETTERS	sub-som682_ses-somecog01_task-spatialobject_run-01.mat	19	22249
44.7734	0.5000	0.0000	133	HOUSES	sub-som682_ses-somecog01_task-spatialobject_run-01.mat	28	22924
46.1895	0.5000	0.0000	132	LETTERS	sub-som682_ses-somecog01_task-spatialobject_run-01.mat	14	23649
47.4395	0.5000	0.0000	131	FACES	sub-som682_ses-somecog01_task-spatialobject_run-01.mat	7	24289
49.1406	0.5000	0.0000	131	FACES	sub-som682_ses-somecog01_task-spatialobject_run-01.mat	6	25160
50.6406	0.5000	0.0000	132	LETTERS	sub-som682_ses-somecog01_task-spatialobject_run-01.mat	13	25928
52.2734	0.5000	0.0000	133	HOUSES	sub-som682_ses-somecog01_task-spatialobject_run-01.mat	36	26764
53.8242	0.5000	0.0000	131	FACES	sub-som682_ses-somecog01_task-spatialobject_run-01.mat	9	27558
55.5078	0.5000	0.0000	133	HOUSES	sub-som682_ses-somecog01_task-spatialobject_run-01.mat	34	28420
