onset	duration	ISI	trial_type	trial_name	stim_file	sample
3	0.5	0	111	CRF-5	stim_111_CRF-5_06.png	1536
4.6504	0.5	0	108	CRF-2	stim_108_CRF-2_05.png	2381
6.2168	0.5	0	114	CIRCULAR	stim_114_CIRCULAR_04.png	3183
7.5176	0.5	0	109	CRF-3	stim_109_CRF-3_05.png	3849
8.9512	0.5	0	114	CIRCULAR	stim_114_CIRCULAR_06.png	4583
10.2344	0.5	0	114	CIRCULAR	stim_114_CIRCULAR_05.png	5240
11.7012	0.5	0	110	CRF-4	stim_110_CRF-4_04.png	5991
13.1348	0.5	0	107	CRF-1	stim_107_CRF-1_04.png	6725
14.668	0.5	0	113	PLAID	stim_113_PLAID_05.png	7510
15.9688	0.5	0	107	CRF-1	stim_107_CRF-1_06.png	8176
17.7031	0.5	0	110	CRF-4	stim_110_CRF-4_05.png	9064
19.3184	0.5	0	116	SPARSITY-2	stim_116_SPARSITY-2_05.png	9891
20.6367	0.5	0	115	SPARSITY-1	stim_115_SPARSITY-1_04.png	10566
21.9688	0.5	0	117	SPARSITY-3	stim_117_SPARSITY-3_05.png	11248
23.6875	0.5	0	117	SPARSITY-3	stim_117_SPARSITY-3_06.png	12128
25.0703	0.5	0	115	SPARSITY-1	stim_115_SPARSITY-1_06.png	12836
26.5371	0.5	0	112	GRATING	stim_112_GRATING_06.png	13587
27.9375	0.5	0	112	GRATING	stim_112_GRATING_04.png	14304
29.3203	0.5	0	108	CRF-2	stim_108_CRF-2_04.png	15012
31.0371	0.5	0	112	GRATING	stim_112_GRATING_05.png	15891
32.5371	0.5	0	110	CRF-4	stim_110_CRF-4_06.png	16659
33.8047	0.5	0	118	SPARSITY-4	stim_118_SPARSITY-4_05.png	17308
35.4375	0.5	0	115	SPARSITY-1	stim_115_SPARSITY-1_05.png	18144
36.8223	0.5	0	117	SPARSITY-3	stim_117_SPARSITY-3_04.png	18853
38.4883	0.5	0	116	SPARSITY-2	stim_116_SPARSITY-2_06.png	19706
39.7383	0.5	0	107	CRF-1	stim_107_CRF-1_05.png	20346
41.4062	0.5	0	113	PLAID	stim_113_PLAID_06.png	21200
42.8887	0.5	0	113	PLAID	stim_113_PLAID_04.png	21959
44.2402	0.5	0	116	SPARSITY-2	stim_116_SPARSITY-2_04.png	22651
45.9395	0.5	0	111	CRF-5	stim_111_CRF-5_05.png	23521
47.6895	0.5	0	109	CRF-3	stim_109_CRF-3_04.png	24417
49.2227	0.5	0	108	CRF-2	stim_108_CRF-2_06.png	25202
50.8242	0.5	0	111	CRF-5	stim_111_CRF-5_04.png	26022
52.373	0.5	0	118	SPARSITY-4	stim_118_SPARSITY-4_06.png	26815
53.9902	0.5	0	109	CRF-3	stim_109_CRF-3_06.png	27643
55.5078	0.5	0	118	SPARSITY-4	stim_118_SPARSITY-4_04.png	28420
