name	type	units	low_cutoff	high_cutoff	sampling_frequency	notch	reference	group	description	status	status_description
G01	ECOG	n/a	500	0.15	512	n/a	n/a	n/a	n/a	bad	spikes
G02	ECOG	n/a	500	0.15	512	n/a	n/a	n/a	n/a	good	n/a
G03	ECOG	n/a	500	0.15	512	n/a	n/a	n/a	n/a	good	n/a
G04	ECOG	n/a	500	0.15	512	n/a	n/a	n/a	n/a	good	n/a
G05	ECOG	n/a	500	0.15	512	n/a	n/a	n/a	n/a	good	n/a
G06	ECOG	n/a	500	0.15	512	n/a	n/a	n/a	n/a	good	n/a
G07	ECOG	n/a	500	0.15	512	n/a	n/a	n/a	n/a	good	n/a
G08	ECOG	n/a	500	0.15	512	n/a	n/a	n/a	n/a	good	n/a
G09	ECOG	n/a	500	0.15	512	n/a	n/a	n/a	n/a	good	n/a
G10	ECOG	n/a	500	0.15	512	n/a	n/a	n/a	n/a	good	n/a
G11	ECOG	n/a	500	0.15	512	n/a	n/a	n/a	n/a	good	n/a
G12	ECOG	n/a	500	0.15	512	n/a	n/a	n/a	n/a	good	n/a
G13	ECOG	n/a	500	0.15	512	n/a	n/a	n/a	n/a	good	n/a
G14	ECOG	n/a	500	0.15	512	n/a	n/a	n/a	n/a	good	n/a
G15	ECOG	n/a	500	0.15	512	n/a	n/a	n/a	n/a	good	n/a
G16	ECOG	n/a	500	0.15	512	n/a	n/a	n/a	n/a	good	n/a
G17	ECOG	n/a	500	0.15	512	n/a	n/a	n/a	n/a	good	n/a
G18	ECOG	n/a	500	0.15	512	n/a	n/a	n/a	n/a	good	n/a
G19	ECOG	n/a	500	0.15	512	n/a	n/a	n/a	n/a	good	n/a
G20	ECOG	n/a	500	0.15	512	n/a	n/a	n/a	n/a	good	n/a
G21	ECOG	n/a	500	0.15	512	n/a	n/a	n/a	n/a	good	n/a
G22	ECOG	n/a	500	0.15	512	n/a	n/a	n/a	n/a	good	n/a
G23	ECOG	n/a	500	0.15	512	n/a	n/a	n/a	n/a	good	n/a
G24	ECOG	n/a	500	0.15	512	n/a	n/a	n/a	n/a	good	n/a
G25	ECOG	n/a	500	0.15	512	n/a	n/a	n/a	n/a	good	n/a
G26	ECOG	n/a	500	0.15	512	n/a	n/a	n/a	n/a	good	n/a
G27	ECOG	n/a	500	0.15	512	n/a	n/a	n/a	n/a	good	n/a
G28	ECOG	n/a	500	0.15	512	n/a	n/a	n/a	n/a	good	n/a
G29	ECOG	n/a	500	0.15	512	n/a	n/a	n/a	n/a	good	n/a
G30	ECOG	n/a	500	0.15	512	n/a	n/a	n/a	n/a	good	n/a
G31	ECOG	n/a	500	0.15	512	n/a	n/a	n/a	n/a	good	n/a
G32	ECOG	n/a	500	0.15	512	n/a	n/a	n/a	n/a	good	n/a
G33	ECOG	n/a	500	0.15	512	n/a	n/a	n/a	n/a	good	n/a
G34	ECOG	n/a	500	0.15	512	n/a	n/a	n/a	n/a	good	n/a
G35	ECOG	n/a	500	0.15	512	n/a	n/a	n/a	n/a	bad	lowfreqtransient
G36	ECOG	n/a	500	0.15	512	n/a	n/a	n/a	n/a	good	n/a
G37	ECOG	n/a	500	0.15	512	n/a	n/a	n/a	n/a	good	n/a
G38	ECOG	n/a	500	0.15	512	n/a	n/a	n/a	n/a	good	n/a
G39	ECOG	n/a	500	0.15	512	n/a	n/a	n/a	n/a	good	n/a
G40	ECOG	n/a	500	0.15	512	n/a	n/a	n/a	n/a	good	n/a
G41	ECOG	n/a	500	0.15	512	n/a	n/a	n/a	n/a	good	n/a
G42	ECOG	n/a	500	0.15	512	n/a	n/a	n/a	n/a	good	n/a
G43	ECOG	n/a	500	0.15	512	n/a	n/a	n/a	n/a	good	n/a
G44	ECOG	n/a	500	0.15	512	n/a	n/a	n/a	n/a	good	n/a
G45	ECOG	n/a	500	0.15	512	n/a	n/a	n/a	n/a	good	n/a
G46	ECOG	n/a	500	0.15	512	n/a	n/a	n/a	n/a	good	n/a
G47	ECOG	n/a	500	0.15	512	n/a	n/a	n/a	n/a	good	n/a
G48	ECOG	n/a	500	0.15	512	n/a	n/a	n/a	n/a	good	n/a
G49	ECOG	n/a	500	0.15	512	n/a	n/a	n/a	n/a	bad	outlier
G50	ECOG	n/a	500	0.15	512	n/a	n/a	n/a	n/a	good	n/a
G51	ECOG	n/a	500	0.15	512	n/a	n/a	n/a	n/a	good	n/a
G52	ECOG	n/a	500	0.15	512	n/a	n/a	n/a	n/a	good	n/a
G53	ECOG	n/a	500	0.15	512	n/a	n/a	n/a	n/a	good	n/a
G54	ECOG	n/a	500	0.15	512	n/a	n/a	n/a	n/a	good	n/a
G55	ECOG	n/a	500	0.15	512	n/a	n/a	n/a	n/a	good	n/a
G56	ECOG	n/a	500	0.15	512	n/a	n/a	n/a	n/a	good	n/a
G57	ECOG	n/a	500	0.15	512	n/a	n/a	n/a	n/a	bad	outlier
G58	ECOG	n/a	500	0.15	512	n/a	n/a	n/a	n/a	bad	outlier
G59	ECOG	n/a	500	0.15	512	n/a	n/a	n/a	n/a	good	n/a
G60	ECOG	n/a	500	0.15	512	n/a	n/a	n/a	n/a	good	n/a
G61	ECOG	n/a	500	0.15	512	n/a	n/a	n/a	n/a	good	n/a
G62	ECOG	n/a	500	0.15	512	n/a	n/a	n/a	n/a	good	n/a
G63	ECOG	n/a	500	0.15	512	n/a	n/a	n/a	n/a	good	n/a
G64	ECOG	n/a	500	0.15	512	n/a	n/a	n/a	n/a	good	n/a
T01	ECOG	n/a	500	0.15	512	n/a	n/a	n/a	n/a	bad	spikes
T02	ECOG	n/a	500	0.15	512	n/a	n/a	n/a	n/a	good	n/a
T03	ECOG	uV	500	0.15	512	n/a	n/a	n/a	n/a	good	n/a
T04	ECOG	uV	500	0.15	512	n/a	n/a	n/a	n/a	bad	spikes
T05	ECOG	uV	500	0.15	512	n/a	n/a	n/a	n/a	bad	spikes
T06	ECOG	uV	500	0.15	512	n/a	n/a	n/a	n/a	bad	lowfreqtransient
P01	ECOG	uV	500	0.15	512	n/a	n/a	n/a	n/a	good	n/a
P02	ECOG	uV	500	0.15	512	n/a	n/a	n/a	n/a	good	n/a
P03	ECOG	uV	500	0.15	512	n/a	n/a	n/a	n/a	good	n/a
P04	ECOG	uV	500	0.15	512	n/a	n/a	n/a	n/a	good	n/a
F01	ECOG	uV	500	0.15	512	n/a	n/a	n/a	n/a	bad	spikes
F02	ECOG	uV	500	0.15	512	n/a	n/a	n/a	n/a	bad	spikes
F03	ECOG	uV	500	0.15	512	n/a	n/a	n/a	n/a	bad	spikes
F04	ECOG	uV	500	0.15	512	n/a	n/a	n/a	n/a	bad	spikes
DAS01	SEEG	n/a	500	0.15	512	n/a	n/a	n/a	n/a	good	n/a
DAS02	SEEG	n/a	500	0.15	512	n/a	n/a	n/a	n/a	bad	clipped
DAS03	SEEG	n/a	500	0.15	512	n/a	n/a	n/a	n/a	good	n/a
DAS04	SEEG	n/a	500	0.15	512	n/a	n/a	n/a	n/a	good	n/a
DAI01	SEEG	n/a	500	0.15	512	n/a	n/a	n/a	n/a	good	n/a
DAI02	SEEG	n/a	500	0.15	512	n/a	n/a	n/a	n/a	good	n/a
DAI03	SEEG	n/a	500	0.15	512	n/a	n/a	n/a	n/a	good	n/a
DAI04	SEEG	n/a	500	0.15	512	n/a	n/a	n/a	n/a	good	n/a
DPS01	SEEG	n/a	500	0.15	512	n/a	n/a	n/a	n/a	good	n/a
DPS02	SEEG	n/a	500	0.15	512	n/a	n/a	n/a	n/a	good	n/a
DPS03	SEEG	n/a	500	0.15	512	n/a	n/a	n/a	n/a	good	n/a
DPS04	SEEG	n/a	500	0.15	512	n/a	n/a	n/a	n/a	good	n/a
DPI01	SEEG	n/a	500	0.15	512	n/a	n/a	n/a	n/a	good	n/a
DPI02	SEEG	n/a	500	0.15	512	n/a	n/a	n/a	n/a	good	n/a
DPI03	SEEG	n/a	500	0.15	512	n/a	n/a	n/a	n/a	good	n/a
DPI04	SEEG	n/a	500	0.15	512	n/a	n/a	n/a	n/a	bad	clipped
EKG1	ECG	n/a	500	0.15	512	n/a	n/a	n/a	n/a	n/a	n/a
EKG2	ECG	n/a	500	0.15	512	n/a	n/a	n/a	n/a	n/a	n/a
DC1	TRIG	n/a	500	0.15	512	n/a	n/a	n/a	n/a	n/a	n/a
DC2	OTHER	n/a	500	0.15	512	n/a	n/a	n/a	n/a	n/a	n/a
DC3	OTHER	n/a	500	0.15	512	n/a	n/a	n/a	n/a	n/a	n/a
DC7	OTHER	n/a	500	0.15	512	n/a	n/a	n/a	n/a	n/a	n/a
DC8	OTHER	n/a	500	0.15	512	n/a	n/a	n/a	n/a	n/a	n/a
DC9	OTHER	n/a	500	0.15	512	n/a	n/a	n/a	n/a	n/a	n/a
DC10	OTHER	n/a	500	0.15	512	n/a	n/a	n/a	n/a	n/a	n/a
DC11	OTHER	n/a	500	0.15	512	n/a	n/a	n/a	n/a	n/a	n/a
