onset	duration	ISI	trial_type	trial_name	stim_file	sample
3	0.267	0	123	ONEPULSE-5	stim_123_ONEPULSE-5_05.png	1536
4.6836	0.033	0	120	ONEPULSE-2	stim_120_ONEPULSE-2_04.png	2398
6.3516	0.133	0.533	130	TWOPULSE-6	stim_130_TWOPULSE-6_04.png	3252
7.8008	0.133	0.267	129	TWOPULSE-5	stim_129_TWOPULSE-5_05.png	3994
9.5352	0.133	0.033	126	TWOPULSE-2	stim_126_TWOPULSE-2_04.png	4882
10.9844	0.133	0.133	128	TWOPULSE-4	stim_128_TWOPULSE-4_05.png	5624
12.5684	0.533	0	124	ONEPULSE-6	stim_124_ONEPULSE-6_04.png	6435
14.002	0.133	0	122	ONEPULSE-4	stim_122_ONEPULSE-4_04.png	7169
15.3691	0.133	0.067	127	TWOPULSE-3	stim_127_TWOPULSE-3_05.png	7869
16.9688	0.133	0.033	126	TWOPULSE-2	stim_126_TWOPULSE-2_05.png	8688
18.252	0.033	0	120	ONEPULSE-2	stim_120_ONEPULSE-2_05.png	9345
19.6016	0.067	0	121	ONEPULSE-3	stim_121_ONEPULSE-3_05.png	10036
20.9863	0.133	0.133	128	TWOPULSE-4	stim_128_TWOPULSE-4_06.png	10745
22.6367	0.133	0	122	ONEPULSE-4	stim_122_ONEPULSE-4_06.png	11590
24.1699	0.533	0	124	ONEPULSE-6	stim_124_ONEPULSE-6_06.png	12375
25.4707	0.133	0.033	126	TWOPULSE-2	stim_126_TWOPULSE-2_06.png	13041
26.8867	0.067	0	121	ONEPULSE-3	stim_121_ONEPULSE-3_04.png	13766
28.6367	0.017	0	119	ONEPULSE-1	stim_119_ONEPULSE-1_04.png	14662
30.1543	0.267	0	123	ONEPULSE-5	stim_123_ONEPULSE-5_04.png	15439
31.7051	0.067	0	121	ONEPULSE-3	stim_121_ONEPULSE-3_06.png	16233
32.9551	0.133	0.133	128	TWOPULSE-4	stim_128_TWOPULSE-4_04.png	16873
34.6875	0.133	0.067	127	TWOPULSE-3	stim_127_TWOPULSE-3_04.png	17760
36.0215	0.267	0	123	ONEPULSE-5	stim_123_ONEPULSE-5_06.png	18443
37.3379	0.133	0.067	127	TWOPULSE-3	stim_127_TWOPULSE-3_06.png	19117
38.8223	0.133	0.533	130	TWOPULSE-6	stim_130_TWOPULSE-6_05.png	19877
40.5391	0.133	0.533	130	TWOPULSE-6	stim_130_TWOPULSE-6_06.png	20756
42.1562	0.133	0.267	129	TWOPULSE-5	stim_129_TWOPULSE-5_06.png	21584
43.7227	0.133	0.017	125	TWOPULSE-1	stim_125_TWOPULSE-1_04.png	22386
45.4062	0.133	0.017	125	TWOPULSE-1	stim_125_TWOPULSE-1_05.png	23248
46.8066	0.017	0	119	ONEPULSE-1	stim_119_ONEPULSE-1_05.png	23965
48.3066	0.133	0	122	ONEPULSE-4	stim_122_ONEPULSE-4_05.png	24733
49.9395	0.017	0	119	ONEPULSE-1	stim_119_ONEPULSE-1_06.png	25569
51.1895	0.133	0.017	125	TWOPULSE-1	stim_125_TWOPULSE-1_06.png	26209
52.7402	0.133	0.267	129	TWOPULSE-5	stim_129_TWOPULSE-5_04.png	27003
54.041	0.533	0	124	ONEPULSE-6	stim_124_ONEPULSE-6_05.png	27669
55.5078	0.033	0	120	ONEPULSE-2	stim_120_ONEPULSE-2_06.png	28420
