name	electrode_name	type	units	sampling_frequency	reference	channel_id	contact_id	stream_id	file_origin	connector_id	connector_pin_id	nev_dig_factor	nb_sorted_units	nev_hi_freq_order	nev_hi_freq_type	nev_lo_freq_order	nev_lo_freq_type	nsx_hi_freq_order	nsx_lo_freq_order	nsx_hi_freq_type	nsx_lo_freq_type	nsx	low_cutoff	high_cutoff	hi_pass_order	lo_pass_order	filter_type	electrode_reject_HFC	electrode_reject_LFC	electrode_reject_IFC	connector_aligned_id	coordinates_x	coordinates_y	gain
chan1_s1	1	LFP	uV	1000	ref1	6	1.0	1	../../../sourcedata/i140703-001.ns2	1	1	250	2	2	Butterworth	2	Butterworth	1	4	Butterworth	Butterworth	2	0.3	250.0	1.0	4.0	Butterworth	False	False	False	93.0	0.8	3.6	5000
chan2_s1	2	LFP	uV	1000	ref1	7	2.0	1	../../../sourcedata/i140703-001.ns2	1	2	250	1	2	Butterworth	2	Butterworth	1	4	Butterworth	Butterworth	2	0.3	250.0	1.0	4.0	Butterworth	False	False	False	92.0	0.4	3.6	5000
chan3_s1	3	LFP	uV	1000	ref1	8	3.0	1	../../../sourcedata/i140703-001.ns2	1	3	250	1	2	Butterworth	2	Butterworth	1	4	Butterworth	Butterworth	2	0.3	250.0	1.0	4.0	Butterworth	False	False	False	94.0	1.2	3.6	5000
chan4_s1	4	LFP	uV	1000	ref1	9	4.0	1	../../../sourcedata/i140703-001.ns2	1	4	250	2	2	Butterworth	2	Butterworth	1	4	Butterworth	Butterworth	2	0.3	250.0	1.0	4.0	Butterworth	False	False	False	95.0	1.6	3.6	5000
chan5_s1	5	LFP	uV	1000	ref1	10	5.0	1	../../../sourcedata/i140703-001.ns2	1	5	250	1	2	Butterworth	2	Butterworth	1	4	Butterworth	Butterworth	2	0.3	250.0	1.0	4.0	Butterworth	False	False	False	75.0	1.6	2.8	5000
chan6_s1	6	LFP	uV	1000	ref1	11	6.0	1	../../../sourcedata/i140703-001.ns2	1	6	250	1	2	Butterworth	2	Butterworth	1	4	Butterworth	Butterworth	2	0.3	250.0	1.0	4.0	Butterworth	False	False	False	96.0	2.0	3.6	5000
chan7_s1	7	LFP	uV	1000	ref1	12	7.0	1	../../../sourcedata/i140703-001.ns2	1	7	250	1	2	Butterworth	2	Butterworth	1	4	Butterworth	Butterworth	2	0.3	250.0	1.0	4.0	Butterworth	False	False	False	85.0	1.6	3.2	5000
chan8_s1	8	LFP	uV	1000	ref1	13	8.0	1	../../../sourcedata/i140703-001.ns2	1	8	250	2	2	Butterworth	2	Butterworth	1	4	Butterworth	Butterworth	2	0.3	250.0	1.0	4.0	Butterworth	False	False	False	97.0	2.4	3.6	5000
chan9_s1	9	LFP	uV	1000	ref1	14	9.0	1	../../../sourcedata/i140703-001.ns2	1	9	250	2	2	Butterworth	2	Butterworth	1	4	Butterworth	Butterworth	2	0.3	250.0	1.0	4.0	Butterworth	False	False	False	86.0	2.0	3.2	5000
chan10_s1	10	LFP	uV	1000	ref1	15	10.0	1	../../../sourcedata/i140703-001.ns2	1	10	250	2	2	Butterworth	2	Butterworth	1	4	Butterworth	Butterworth	2	0.3	250.0	1.0	4.0	Butterworth	False	False	False	98.0	2.8	3.6	5000
chan11_s1	11	LFP	uV	1000	ref1	16	11.0	1	../../../sourcedata/i140703-001.ns2	1	11	250	2	2	Butterworth	2	Butterworth	1	4	Butterworth	Butterworth	2	0.3	250.0	1.0	4.0	Butterworth	False	False	False	87.0	2.4	3.2	5000
chan12_s1	12	LFP	uV	1000	ref1	17	12.0	1	../../../sourcedata/i140703-001.ns2	1	12	250	1	2	Butterworth	2	Butterworth	1	4	Butterworth	Butterworth	2	0.3	250.0	1.0	4.0	Butterworth	False	False	False	88.0	2.8	3.2	5000
chan13_s1	13	LFP	uV	1000	ref1	18	13.0	1	../../../sourcedata/i140703-001.ns2	1	13	250	2	2	Butterworth	2	Butterworth	1	4	Butterworth	Butterworth	2	0.3	250.0	1.0	4.0	Butterworth	False	False	False	77.0	2.4	2.8	5000
chan14_s1	14	LFP	uV	1000	ref1	19	14.0	1	../../../sourcedata/i140703-001.ns2	1	14	250	2	2	Butterworth	2	Butterworth	1	4	Butterworth	Butterworth	2	0.3	250.0	1.0	4.0	Butterworth	False	False	False	99.0	3.2	3.6	5000
