channel_id	contact_id	sampling_frequency	units	channel_name	file_origin	connector_id	connector_pin_id	nev_dig_factor	nb_sorted_units	nsx	hi_pass_freq	lo_pass_freq	hi_pass_order	lo_pass_order	filter_type	electrode_reject_HFC	electrode_reject_LFC	electrode_reject_IFC	connector_aligned_ids	coordinates_x	coordinates_y	channel_type
137	n/a	1000	uV	ainp9	../../../sourcedata/l101210-001.ns2	5	9	21516	0	2	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	BEH
138	n/a	1000	uV	ainp10	../../../sourcedata/l101210-001.ns2	5	10	21516	0	2	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	BEH
139	n/a	1000	uV	ainp11	../../../sourcedata/l101210-001.ns2	5	11	21516	0	2	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	BEH
140	n/a	1000	uV	ainp12	../../../sourcedata/l101210-001.ns2	5	12	21516	0	2	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	BEH
141	n/a	1000	uV	ainp13	../../../sourcedata/l101210-001.ns2	5	13	21516	0	2	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	BEH
143	n/a	1000	uV	ainp15	../../../sourcedata/l101210-001.ns2	5	15	21516	0	2	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	BEH
1	1	30000	uV	chan1	../../../sourcedata/l101210-001.ns5	1	1	1000	0	5	0.3	7500	1	3	butterworth	FALSE	FALSE	FALSE	91	0	3.6	EXT
2	2	30000	uV	chan2	../../../sourcedata/l101210-001.ns5	1	2	1000	0	5	0.3	7500	1	3	butterworth	FALSE	FALSE	TRUE	92	0.4	3.6	EXT
3	3	30000	uV	chan3	../../../sourcedata/l101210-001.ns5	1	3	1000	1	5	0.3	7500	1	3	butterworth	FALSE	FALSE	FALSE	94	1.2	3.6	EXT
4	4	30000	uV	chan4	../../../sourcedata/l101210-001.ns5	1	4	1000	0	5	0.3	7500	1	3	butterworth	FALSE	FALSE	TRUE	1	0	0	EXT
5	5	30000	uV	chan5	../../../sourcedata/l101210-001.ns5	1	5	1000	3	5	0.3	7500	1	3	butterworth	FALSE	FALSE	FALSE	75	1.6	2.8	EXT
6	6	30000	uV	chan6	../../../sourcedata/l101210-001.ns5	1	6	1000	1	5	0.3	7500	1	3	butterworth	FALSE	FALSE	FALSE	96	2	3.6	EXT
7	7	30000	uV	chan7	../../../sourcedata/l101210-001.ns5	1	7	1000	1	5	0.3	7500	1	3	butterworth	FALSE	FALSE	FALSE	85	1.6	3.2	EXT
8	8	30000	uV	chan8	../../../sourcedata/l101210-001.ns5	1	8	1000	2	5	0.3	7500	1	3	butterworth	FALSE	FALSE	FALSE	97	2.4	3.6	EXT
9	9	30000	uV	chan9	../../../sourcedata/l101210-001.ns5	1	9	1000	1	5	0.3	7500	1	3	butterworth	FALSE	FALSE	FALSE	86	2	3.2	EXT
10	10	30000	uV	chan10	../../../sourcedata/l101210-001.ns5	1	10	1000	2	5	0.3	7500	1	3	butterworth	FALSE	FALSE	FALSE	98	2.8	3.6	EXT
11	11	30000	uV	chan11	../../../sourcedata/l101210-001.ns5	1	11	1000	2	5	0.3	7500	1	3	butterworth	FALSE	FALSE	FALSE	87	2.4	3.2	EXT
12	12	30000	uV	chan12	../../../sourcedata/l101210-001.ns5	1	12	1000	1	5	0.3	7500	1	3	butterworth	FALSE	FALSE	FALSE	88	2.8	3.2	EXT
13	13	30000	uV	chan13	../../../sourcedata/l101210-001.ns5	1	13	1000	3	5	0.3	7500	1	3	butterworth	FALSE	FALSE	FALSE	77	2.4	2.8	EXT
14	14	30000	uV	chan14	../../../sourcedata/l101210-001.ns5	1	14	1000	1	5	0.3	7500	1	3	butterworth	FALSE	FALSE	FALSE	99	3.2	3.6	EXT
15	15	30000	uV	chan15	../../../sourcedata/l101210-001.ns5	1	15	1000	2	5	0.3	7500	1	3	butterworth	FALSE	FALSE	FALSE	66	2	2.4	EXT
16	16	30000	uV	chan16	../../../sourcedata/l101210-001.ns5	1	16	1000	0	5	0.3	7500	1	3	butterworth	FALSE	FALSE	FALSE	89	3.2	3.2	EXT
17	17	30000	uV	chan17	../../../sourcedata/l101210-001.ns5	1	17	1000	1	5	0.3	7500	1	3	butterworth	FALSE	FALSE	FALSE	76	2	2.8	EXT
18	18	30000	uV	chan18	../../../sourcedata/l101210-001.ns5	1	18	1000	1	5	0.3	7500	1	3	butterworth	FALSE	FALSE	FALSE	100	3.6	3.6	EXT
19	19	30000	uV	chan19	../../../sourcedata/l101210-001.ns5	1	19	1000	1	5	0.3	7500	1	3	butterworth	FALSE	FALSE	FALSE	67	2.4	2.4	EXT
20	20	30000	uV	chan20	../../../sourcedata/l101210-001.ns5	1	20	1000	2	5	0.3	7500	1	3	butterworth	FALSE	FALSE	FALSE	79	3.2	2.8	EXT
21	21	30000	uV	chan21	../../../sourcedata/l101210-001.ns5	1	21	1000	0	5	0.3	7500	1	3	butterworth	FALSE	FALSE	FALSE	58	2.8	2	EXT
22	22	30000	uV	chan22	../../../sourcedata/l101210-001.ns5	1	22	1000	2	5	0.3	7500	1	3	butterworth	FALSE	FALSE	FALSE	10	3.6	0	EXT
23	23	30000	uV	chan23	../../../sourcedata/l101210-001.ns5	1	23	1000	3	5	0.3	7500	1	3	butterworth	FALSE	FALSE	FALSE	78	2.8	2.8	EXT
24	24	30000	uV	chan24	../../../sourcedata/l101210-001.ns5	1	24	1000	2	5	0.3	7500	1	3	butterworth	FALSE	FALSE	FALSE	70	3.6	2.4	EXT
25	25	30000	uV	chan25	../../../sourcedata/l101210-001.ns5	1	25	1000	3	5	0.3	7500	1	3	butterworth	FALSE	FALSE	FALSE	68	2.8	2.4	EXT
26	26	30000	uV	chan26	../../../sourcedata/l101210-001.ns5	1	26	1000	1	5	0.3	7500	1	3	butterworth	FALSE	FALSE	FALSE	60	3.6	2	EXT
27	27	30000	uV	chan27	../../../sourcedata/l101210-001.ns5	1	27	1000	1	5	0.3	7500	1	3	butterworth	FALSE	FALSE	FALSE	69	3.2	2.4	EXT
28	28	30000	uV	chan28	../../../sourcedata/l101210-001.ns5	1	28	1000	2	5	0.3	7500	1	3	butterworth	FALSE	FALSE	FALSE	50	3.6	1.6	EXT
29	29	30000	uV	chan29	../../../sourcedata/l101210-001.ns5	1	29	1000	2	5	0.3	7500	1	3	butterworth	FALSE	FALSE	TRUE	59	3.2	2	EXT
30	30	30000	uV	chan30	../../../sourcedata/l101210-001.ns5	1	30	1000	0	5	0.3	7500	1	3	butterworth	FALSE	FALSE	FALSE	40	3.6	1.2	EXT
31	31	30000	uV	chan31	../../../sourcedata/l101210-001.ns5	1	31	1000	1	5	0.3	7500	1	3	butterworth	FALSE	FALSE	FALSE	49	3.2	1.6	EXT
32	32	30000	uV	chan32	../../../sourcedata/l101210-001.ns5	1	32	1000	1	5	0.3	7500	1	3	butterworth	FALSE	FALSE	FALSE	30	3.6	0.8	EXT
33	33	30000	uV	chan33	../../../sourcedata/l101210-001.ns5	2	1	1000	1	5	0.3	7500	1	3	butterworth	FALSE	FALSE	FALSE	83	0.8	3.2	EXT
34	34	30000	uV	chan34	../../../sourcedata/l101210-001.ns5	2	2	1000	2	5	0.3	7500	1	3	butterworth	FALSE	FALSE	FALSE	84	1.2	3.2	EXT
35	35	30000	uV	chan35	../../../sourcedata/l101210-001.ns5	2	3	1000	1	5	0.3	7500	1	3	butterworth	FALSE	FALSE	FALSE	73	0.8	2.8	EXT
36	36	30000	uV	chan36	../../../sourcedata/l101210-001.ns5	2	4	1000	2	5	0.3	7500	1	3	butterworth	FALSE	FALSE	FALSE	74	1.2	2.8	EXT
37	37	30000	uV	chan37	../../../sourcedata/l101210-001.ns5	2	5	1000	2	5	0.3	7500	1	3	butterworth	FALSE	FALSE	FALSE	63	0.8	2.4	EXT
38	38	30000	uV	chan38	../../../sourcedata/l101210-001.ns5	2	6	1000	2	5	0.3	7500	1	3	butterworth	FALSE	FALSE	FALSE	64	1.2	2.4	EXT
39	39	30000	uV	chan39	../../../sourcedata/l101210-001.ns5	2	7	1000	2	5	0.3	7500	1	3	butterworth	FALSE	FALSE	FALSE	53	0.8	2	EXT
