electrode_id	probe_id	x	y	z	impedance	material	location	hemisphere	connector_aligned_id	impedance_unit	insulation
1	Prob-1025-0503	3.6	0.0	1.5	52	iridium oxide	M1	right	91	kOhm	Parylene-c
2	Prob-1025-0503	3.6	0.4	1.5	44	iridium oxide	M1	right	92	kOhm	Parylene-c
3	Prob-1025-0503	3.6	1.2	1.5	50	iridium oxide	M1	right	94	kOhm	Parylene-c
4	Prob-1025-0503	0.0	0.0	1.5	48	iridium oxide	M1	right	1	kOhm	Parylene-c
5	Prob-1025-0503	2.8	1.6	1.5	48	iridium oxide	M1	right	75	kOhm	Parylene-c
6	Prob-1025-0503	3.6	2.0	1.5	46	iridium oxide	M1	right	96	kOhm	Parylene-c
7	Prob-1025-0503	3.2	1.6	1.5	49	iridium oxide	M1	right	85	kOhm	Parylene-c
8	Prob-1025-0503	3.6	2.4	1.5	47	iridium oxide	M1	right	97	kOhm	Parylene-c
9	Prob-1025-0503	3.2	2.0	1.5	48	iridium oxide	M1	right	86	kOhm	Parylene-c
10	Prob-1025-0503	3.6	2.8	1.5	48	iridium oxide	M1	right	98	kOhm	Parylene-c
11	Prob-1025-0503	3.2	2.4	1.5	50	iridium oxide	M1	right	87	kOhm	Parylene-c
12	Prob-1025-0503	3.2	2.8	1.5	50	iridium oxide	M1	right	88	kOhm	Parylene-c
13	Prob-1025-0503	2.8	2.4	1.5	41	iridium oxide	M1	right	77	kOhm	Parylene-c
14	Prob-1025-0503	3.6	3.2	1.5	53	iridium oxide	M1	right	99	kOhm	Parylene-c
15	Prob-1025-0503	2.4	2.0	1.5	46	iridium oxide	M1	right	66	kOhm	Parylene-c
16	Prob-1025-0503	3.2	3.2	1.5	48	iridium oxide	M1	right	89	kOhm	Parylene-c
17	Prob-1025-0503	2.8	2.0	1.5	50	iridium oxide	M1	right	76	kOhm	Parylene-c
18	Prob-1025-0503	3.6	3.6	1.5	55	iridium oxide	M1	right	100	kOhm	Parylene-c
19	Prob-1025-0503	2.4	2.4	1.5	52	iridium oxide	M1	right	67	kOhm	Parylene-c
20	Prob-1025-0503	2.8	3.2	1.5	47	iridium oxide	M1	right	79	kOhm	Parylene-c
21	Prob-1025-0503	2.0	2.8	1.5	55	iridium oxide	M1	right	58	kOhm	Parylene-c
22	Prob-1025-0503	0.0	3.6	1.5	57	iridium oxide	M1	right	10	kOhm	Parylene-c
23	Prob-1025-0503	2.8	2.8	1.5	45	iridium oxide	M1	right	78	kOhm	Parylene-c
24	Prob-1025-0503	2.4	3.6	1.5	53	iridium oxide	M1	right	70	kOhm	Parylene-c
25	Prob-1025-0503	2.4	2.8	1.5	47	iridium oxide	M1	right	68	kOhm	Parylene-c
26	Prob-1025-0503	2.0	3.6	1.5	52	iridium oxide	M1	right	60	kOhm	Parylene-c
27	Prob-1025-0503	2.4	3.2	1.5	46	iridium oxide	M1	right	69	kOhm	Parylene-c
28	Prob-1025-0503	1.6	3.6	1.5	53	iridium oxide	M1	right	50	kOhm	Parylene-c
29	Prob-1025-0503	2.0	3.2	1.5	52	iridium oxide	M1	right	59	kOhm	Parylene-c
30	Prob-1025-0503	1.2	3.6	1.5	51	iridium oxide	M1	right	40	kOhm	Parylene-c
31	Prob-1025-0503	1.6	3.2	1.5	49	iridium oxide	M1	right	49	kOhm	Parylene-c
32	Prob-1025-0503	0.8	3.6	1.5	49	iridium oxide	M1	right	30	kOhm	Parylene-c
33	Prob-1025-0503	3.2	0.8	1.5	44	iridium oxide	M1	right	83	kOhm	Parylene-c
34	Prob-1025-0503	3.2	1.2	1.5	45	iridium oxide	M1	right	84	kOhm	Parylene-c
35	Prob-1025-0503	2.8	0.8	1.5	48	iridium oxide	M1	right	73	kOhm	Parylene-c
36	Prob-1025-0503	2.8	1.2	1.5	48	iridium oxide	M1	right	74	kOhm	Parylene-c
37	Prob-1025-0503	2.4	0.8	1.5	47	iridium oxide	M1	right	63	kOhm	Parylene-c
38	Prob-1025-0503	2.4	1.2	1.5	49	iridium oxide	M1	right	64	kOhm	Parylene-c
39	Prob-1025-0503	2.0	0.8	1.5	46	iridium oxide	M1	right	53	kOhm	Parylene-c
40	Prob-1025-0503	2.0	1.2	1.5	43	iridium oxide	M1	right	54	kOhm	Parylene-c
41	Prob-1025-0503	1.6	0.8	1.5	45	iridium oxide	M1	right	43	kOhm	Parylene-c
42	Prob-1025-0503	2.0	1.6	1.5	48	iridium oxide	M1	right	55	kOhm	Parylene-c
43	Prob-1025-0503	1.6	1.2	1.5	49	iridium oxide	M1	right	44	kOhm	Parylene-c
44	Prob-1025-0503	1.6	1.6	1.5	46	iridium oxide	M1	right	45	kOhm	Parylene-c
45	Prob-1025-0503	1.2	0.8	1.5	45	iridium oxide	M1	right	33	kOhm	Parylene-c
46	Prob-1025-0503	1.6	2.0	1.5	48	iridium oxide	M1	right	46	kOhm	Parylene-c
47	Prob-1025-0503	1.2	1.2	1.5	48	iridium oxide	M1	right	34	kOhm	Parylene-c
48	Prob-1025-0503	2.4	1.6	1.5	45	iridium oxide	M1	right	65	kOhm	Parylene-c
49	Prob-1025-0503	0.8	1.2	1.5	52	iridium oxide	M1	right	24	kOhm	Parylene-c
50	Prob-1025-0503	2.0	2.0	1.5	43	iridium oxide	M1	right	56	kOhm	Parylene-c
51	Prob-1025-0503	1.2	1.6	1.5	48	iridium oxide	M1	right	35	kOhm	Parylene-c
52	Prob-1025-0503	1.6	2.4	1.5	49	iridium oxide	M1	right	47	kOhm	Parylene-c
53	Prob-1025-0503	0.8	1.6	1.5	44	iridium oxide	M1	right	25	kOhm	Parylene-c
54	Prob-1025-0503	2.0	2.4	1.5	43	iridium oxide	M1	right	57	kOhm	Parylene-c
55	Prob-1025-0503	0.8	2.0	1.5	48	iridium oxide	M1	right	26	kOhm	Parylene-c
56	Prob-1025-0503	1.2	2.0	1.5	51	iridium oxide	M1	right	36	kOhm	Parylene-c
57	Prob-1025-0503	0.8	2.4	1.5	90	iridium oxide	M1	right	27	kOhm	Parylene-c
58	Prob-1025-0503	1.2	2.4	1.5	51	iridium oxide	M1	right	37	kOhm	Parylene-c
59	Prob-1025-0503	0.8	2.8	1.5	48	iridium oxide	M1	right	28	kOhm	Parylene-c
60	Prob-1025-0503	1.2	2.8	1.5	48	iridium oxide	M1	right	38	kOhm	Parylene-c
61	Prob-1025-0503	0.8	3.2	1.5	51	iridium oxide	M1	right	29	kOhm	Parylene-c
62	Prob-1025-0503	1.6	2.8	1.5	49	iridium oxide	M1	right	48	kOhm	Parylene-c
63	Prob-1025-0503	0.4	3.2	1.5	50	iridium oxide	M1	right	19	kOhm	Parylene-c
64	Prob-1025-0503	1.2	3.2	1.5	47	iridium oxide	M1	right	39	kOhm	Parylene-c
65	Prob-1025-0503	3.2	0.0	1.5	46	iridium oxide	M1	right	81	kOhm	Parylene-c
66	Prob-1025-0503	3.2	0.4	1.5	48	iridium oxide	M1	right	82	kOhm	Parylene-c
67	Prob-1025-0503	2.8	0.0	1.5	47	iridium oxide	M1	right	71	kOhm	Parylene-c
68	Prob-1025-0503	2.8	0.4	1.5	48	iridium oxide	M1	right	72	kOhm	Parylene-c
69	Prob-1025-0503	2.4	0.0	1.5	67	iridium oxide	M1	right	61	kOhm	Parylene-c
70	Prob-1025-0503	2.4	0.4	1.5	52	iridium oxide	M1	right	62	kOhm	Parylene-c
71	Prob-1025-0503	2.0	0.0	1.5	49	iridium oxide	M1	right	51	kOhm	Parylene-c
72	Prob-1025-0503	2.0	0.4	1.5	45	iridium oxide	M1	right	52	kOhm	Parylene-c
73	Prob-1025-0503	1.6	0.0	1.5	48	iridium oxide	M1	right	41	kOhm	Parylene-c
74	Prob-1025-0503	1.6	0.4	1.5	44	iridium oxide	M1	right	42	kOhm	Parylene-c
75	Prob-1025-0503	1.2	0.0	1.5	57	iridium oxide	M1	right	31	kOhm	Parylene-c
76	Prob-1025-0503	1.2	0.4	1.5	47	iridium oxide	M1	right	32	kOhm	Parylene-c
77	Prob-1025-0503	0.8	0.0	1.5	46	iridium oxide	M1	right	21	kOhm	Parylene-c
78	Prob-1025-0503	0.8	0.4	1.5	48	iridium oxide	M1	right	22	kOhm	Parylene-c
79	Prob-1025-0503	0.4	0.0	1.5	49	iridium oxide	M1	right	11	kOhm	Parylene-c
80	Prob-1025-0503	0.4	0.4	1.5	45	iridium oxide	M1	right	12	kOhm	Parylene-c
81	Prob-1025-0503	0.0	0.4	1.5	54	iridium oxide	M1	right	2	kOhm	Parylene-c
82	Prob-1025-0503	0.8	0.8	1.5	48	iridium oxide	M1	right	23	kOhm	Parylene-c
83	Prob-1025-0503	0.0	0.8	1.5	51	iridium oxide	M1	right	3	kOhm	Parylene-c
84	Prob-1025-0503	0.4	0.8	1.5	49	iridium oxide	M1	right	13	kOhm	Parylene-c
85	Prob-1025-0503	0.0	1.2	1.5	49	iridium oxide	M1	right	4	kOhm	Parylene-c
86	Prob-1025-0503	0.4	1.2	1.5	50	iridium oxide	M1	right	14	kOhm	Parylene-c
87	Prob-1025-0503	0.4	1.6	1.5	52	iridium oxide	M1	right	15	kOhm	Parylene-c
88	Prob-1025-0503	0.0	1.6	1.5	50	iridium oxide	M1	right	5	kOhm	Parylene-c
89	Prob-1025-0503	0.4	2.0	1.5	50	iridium oxide	M1	right	16	kOhm	Parylene-c
90	Prob-1025-0503	0.0	2.0	1.5	49	iridium oxide	M1	right	6	kOhm	Parylene-c
91	Prob-1025-0503	0.4	2.4	1.5	49	iridium oxide	M1	right	17	kOhm	Parylene-c
92	Prob-1025-0503	0.0	2.4	1.5	51	iridium oxide	M1	right	7	kOhm	Parylene-c
93	Prob-1025-0503	0.0	2.8	1.5	52	iridium oxide	M1	right	8	kOhm	Parylene-c
94	Prob-1025-0503	0.4	2.8	1.5	53	iridium oxide	M1	right	18	kOhm	Parylene-c
95	Prob-1025-0503	0.4	3.6	1.5	53	iridium oxide	M1	right	20	kOhm	Parylene-c
96	Prob-1025-0503	0.0	3.2	1.5	54	iridium oxide	M1	right	9	kOhm	Parylene-c
