onset	duration	trial_type	response_time
1.3060666666666666	3.5283	SGLF	3.6598
7.123533333333333	3.4729	SGLF	9.243533333333333
12.7937	2.4491666666666667	PGLF	
19.198966666666666	3.5135666666666667	SGHF	21.511333333333332
25.0113	3.4449	SGHF	27.1913
30.7554	3.5614	PGHF	33.07603333333333
36.7154	2.6149333333333334	PGLF	
42.0463	3.4060666666666666	SGLF	44.7816
47.753366666666665	3.1717666666666667	PGLF	50.024966666666666
53.8	3.4549	SGHF	56.07933333333333
59.56	3.1491333333333334	SGHF	61.328366666666664
65.3622	2.887	SGHF	67.8492
71.289	2.9169666666666666	PGLF	73.2676
76.993	2.9090333333333333	SGLF	79.6756
82.70933333333333	2.8436666666666667	PGLF	85.6491
88.63156666666666	2.903833333333333	SGLF	91.408
94.5321	2.9079	PGLF	97.2298
100.3013	2.9059	SGLF	102.98183333333334
106.05923333333334	2.9069333333333334	PGLF	108.6946
111.8332	2.9069	SGLF	114.50156666666666
117.6053	2.9059	PGLF	120.3347
123.3653	2.9079	SGLF	126.135
129.1358	2.9059	PGLF	131.9367
135.0193	2.9059	SGLF	137.9358
140.7793	2.9069	PGLF	143.588
146.7593	2.9069	SGLF	149.59
152.65626666666666	2.9069	SGHF	155.25583333333333
158.60179999999998	2.9079	PGLF	161.396
164.40639999999998	2.9069	SGHF	167.3207
170.1159	2.9059	PGHF	172.9158
175.8884	2.9069	SGHF	178.614
181.69393333333333	2.9079	PGLF	184.38796666666667
187.4725	2.9069	SGHF	190.3347
193.3653	2.9059	PGHF	196.2041
199.1358	2.9079	SGHF	201.9358
204.9125	2.9069	PGHF	207.7466
210.72926666666667	2.9059	SGHF	213.6315
216.4925	2.9079	SGLF	219.462
222.26341666666666	2.9069	SGHF	225.1206
227.99639999999998	2.9079	PGHF	230.7967
233.7268	2.9059	PGLF	236.621
239.5089	2.9079	SGHF	242.3276
245.3106	2.9069	SGLF	248.243
251.3286	2.9079	PGLF	254.1337
257.0288	2.9059	SGHF	259.9347
263.0136	2.9079	PGLF	265.8687
268.84386666666665	2.9059	SGLF	271.6938666666667
274.6391333333333	2.9069	PGLF	277.4715666666667
280.586	2.9059	PGHF	283.4347
286.3668	2.9079	PGHF	289.0963
292.0335	2.9069	SGHF	294.9032
297.8585	2.9079	PGHF	300.7347
303.6391	2.9059	SGHF	306.5041
309.4195	2.9079	PGLF	312.2917
315.2089	2.9069	SGHF	318.0856
321.0223	2.9079	PGLF	323.8476
326.8304	2.9059	SGHF	329.7347
332.6391	2.9079	PGHF	335.5367
338.4688	2.9059	PGLF	341.3656
344.2725	2.9079	SGLF	347.1793
350.0988	2.9059	PGLF	352.925
355.8815	2.9079	PGHF	358.7856
361.6939	2.9059	PGHF	364.5501
367.4828	2.9079	SGHF	370.3456
373.2634	2.9059	PGHF	376.1787
379.0688	2.9079	SGHF	381.8687
384.8006	2.9059	PGHF	387.6323
390.586	2.9079	SGHF	393.4185
396.3653	2.9059	PGHF	399.2347
402.143	2.9079	SGHF	405.0137
407.93	2.9059	SGLF	410.8
413.7343	2.9079	PGLF	416.5666666666667
419.5088	2.9059	PGHF	422.3276
425.3106	2.9079	SGHF	428.142
431.1249	2.9059	SGLF	433.9583
436.9125	2.9079	PGLF	439.7347
442.7099	2.9059	PGHF	445.5367
448.4688	2.9079	SGHF	451.3347
454.2725	2.9059	SGLF	457.1787
460.0688	2.9079	PGHF	462.8963
465.8755	2.9059	SGHF	468.7347
471.6391	2.9079	PGHF	474.4627
477.4125	2.9059	PGHF	480.243
483.2335	2.9079	SGHF	486.0687
489.0262	2.9059	SGLF	491.8587
494.7973	2.9079	PGHF	497.6295666666667
500.586	2.9059	SGHF	503.4185
506.3356	2.9079	PGLF	509.1685
512.1249	2.9059	SGHF	514.9583
517.9125	2.9079	PGLF	520.7347
523.6688	2.9059	SGHF	526.5367
529.4195	2.9079	SGLF	532.2917
535.2089	2.9069	PGLF	538.0856
541.0223	2.9079	PGHF	543.8476
546.8304	2.9059	SGLF	549.7347
552.6391	2.9079	PGHF	555.5367
558.4688	2.9059	SGLF	561.3347
564.2725	2.9079	SGHF	567.1793
570.0688	2.9059	PGHF	572.9001
575.8755	2.9079	SGLF	578.614
581.6939	2.9059	SGHF	584.5199666666667
587.4828	2.9079	PGLF	590.3347
593.2634	2.9059	PGHF	596.1787
599.0688	2.9079	SGLF	601.9358
604.8438666666667	2.9059	SGHF	607.7347
610.6391	2.9079	PGLF	613.5367
616.42	2.9059	PGHF	619.2347
622.1955	2.9079	SGLF	625.0137
627.9125	2.9059	SGHF	630.7347
633.7099	2.9079	PGLF	636.5666666666667
639.4925	2.9059	PGHF	642.3276
645.3106	2.9079	SGLF	648.142
651.0688	2.9059	SGHF	653.9347
656.8304	2.9079	PGLF	659.6358
662.6191	2.9059	PGHF	665.4185
668.4351	2.9079	SGLF	671.243
674.2249	2.9059	SGHF	677.042
680.0335	2.9079	PGLF	682.8687
685.8555	2.9059	PGHF	688.7347
691.6391	2.9079	SGLF	694.4627
697.4125	2.9059	SGHF	700.243
703.2335	2.9079	PGLF	706.0687
709.0223	2.9059	PGHF	711.8587
714.8438666666667	2.9079	SGLF	717.6295666666667
720.6053	2.9059	PGHF	723.4185
726.42	2.9079	SGLF	729.243
732.2089	2.9059	SGHF	735.0137
737.9963999999999	2.9079	PGLF	740.8
743.7343	2.9059	SGHF	746.5666666666667
749.5089	2.9079	PGLF	752.3276
755.2089	2.9059	PGHF	758.0137
760.9963999999999	2.9079	SGLF	763.8276
766.8175	2.9059	SGHF	769.6295666666667
772.6053	2.9079	PGHF	775.4185
778.391	2.9059	PGHF	781.2249666666667
784.1304	2.9079	SGLF	786.973
789.9005	2.9059	SGHF	792.7347
795.6848	2.9079	PGHF	798.5106
801.4688	2.9059	PGHF	804.2917
807.2089	2.9079	SGLF	810.0137
812.9963999999999	2.9059	SGHF	815.8
818.7343	2.9079	PGLF	821.5666666666667
824.5089	2.9059	PGHF	827.3276
830.2982	2.9079	PGHF	833.1347
836.0688	2.9059	SGLF	838.9115
841.8304	2.9079	SGHF	844.6627
847.6391	2.9059	PGHF	850.4627
853.4125	2.9079	PGHF	856.243
859.2089	2.9059	SGLF	862.0137
864.9963999999999	2.9079	SGHF	867.8276
870.7343	2.9059	PGLF	873.5666666666667
876.523	2.9079	PGHF	879.3556
882.2982	2.9059	PGHF	885.1347
888.0856	2.9079	SGLF	890.9115
893.8695	2.9059	SGHF	896.6938666666667
899.6391	2.9079	PGHF	902.4627
905.4125	2.9059	PGHF	908.243
911.2089	2.9079	SGLF	914.0137
916.9963999999999	2.9059	SGHF	919.8276
922.7343	2.9079	PGLF	925.5666666666667
928.5089	2.9059	PGHF	931.3276
934.2982	2.9079	SGLF	937.1787
937.28828	2.9059	SGLF	940.1556
943.1492666666666	2.9079	PGLF	945.9793
949.0950333333333	2.9059	PGHF	951.9023
954.8755	2.9079	SGLF	957.7048
960.6591	2.9059	SGHF	963.4837
966.44	2.9079	PGLF	969.2638
972.2289	2.9059	PGHF	975.0347
978.0163999999999	2.9079	SGLF	980.8494
983.7543	2.9059	SGHF	986.5873
989.543	2.9079	PGLF	992.376
995.3306	2.9059	PGHF	998.1556
1001.0888	2.9079	SGLF	1003.9242
1004.8755	2.9059	SGHF	1007.7048
1010.6591	2.9079	PGLF	1013.506
1014.543	2.9059	PGHF	1017.3486
1020.3306	2.9079	SGLF	1023.163
1026.0888	2.9059	SGHF	1028.9173
1031.8755	2.9079	PGLF	1034.7048
1037.6591	2.9059	PGHF	1040.4837
1043.44	2.9079	SGLF	1046.2638
1049.2289	2.9059	PGHF	1052.0347
1055.0163999999999	2.9079	SGLF	1057.8494
1060.799	2.9059	SGHF	1063.6109
1066.5875	2.9079	PGLF	1069.376
1069.543	2.9059	SGLF	1072.376
1075.3306	2.9079	PGHF	1078.1556
1081.0423	2.9059	SGLF	1083.8494
1086.8375	2.9079	PGHF	1089.6506
1092.6253	2.9059	SGHF	1095.4395
1098.411	2.9079	PGLF	1101.246
1104.2155	2.9059	PGHF	1107.0347
1110.0347	2.9079	SGLF	1112.8787
1115.8206	2.9059	SGHF	1118.6506
1121.606	2.9079	PGLF	1124.4395
1127.3951	2.9059	PGHF	1130.2048
1133.182	2.9079	SGLF	1135.9688
1138.9602	2.9059	PGHF	1141.8173
1144.7543	2.9079	SGLF	1147.5873
1150.543	2.9059	PGHF	1153.376
1156.3306	2.9079	SGLF	1159.1556
