name	electrode_name	type	units	sampling_frequency	reference	channel_id	contact_id	file_origin	connector_id	connector_pin_id	nev_dig_factor	nb_sorted_units	nsx	low_cutoff	high_cutoff	hi_pass_order	lo_pass_order	filter_type	electrode_reject_HFC	electrode_reject_LFC	electrode_reject_IFC	connector_aligned_id	coordinates_x	coordinates_y	gain
ainp9	n/a	BEH	uV	1000		137		../../../sourcedata/l101210-001.ns2	5	9	21516	0	2	n/a	n/a										5000
ainp10	n/a	BEH	uV	1000		138		../../../sourcedata/l101210-001.ns2	5	10	21516	0	2	n/a	n/a										5000
ainp11	n/a	BEH	uV	1000		139		../../../sourcedata/l101210-001.ns2	5	11	21516	0	2	n/a	n/a										5000
ainp12	n/a	BEH	uV	1000		140		../../../sourcedata/l101210-001.ns2	5	12	21516	0	2	n/a	n/a										5000
ainp13	n/a	BEH	uV	1000		141		../../../sourcedata/l101210-001.ns2	5	13	21516	0	2	n/a	n/a										5000
ainp15	n/a	BEH	uV	1000		143		../../../sourcedata/l101210-001.ns2	5	15	21516	0	2	n/a	n/a										5000
chan1	1	HP	uV	30000	ref1	1	1.0	../../../sourcedata/l101210-001.ns5	1	1	1000	0	5	0.3	7500.0	1.0	3.0	butterworth	False	False	False	91.0	3.6	0.0	5000
chan2	2	HP	uV	30000	ref1	2	2.0	../../../sourcedata/l101210-001.ns5	1	2	1000	0	5	0.3	7500.0	1.0	3.0	butterworth	False	False	True	92.0	3.6	0.4	5000
chan3	3	HP	uV	30000	ref1	3	3.0	../../../sourcedata/l101210-001.ns5	1	3	1000	1	5	0.3	7500.0	1.0	3.0	butterworth	False	False	False	94.0	3.6	1.2	5000
chan4	4	HP	uV	30000	ref1	4	4.0	../../../sourcedata/l101210-001.ns5	1	4	1000	0	5	0.3	7500.0	1.0	3.0	butterworth	False	False	True	1.0	0.0	0.0	5000
chan5	5	HP	uV	30000	ref1	5	5.0	../../../sourcedata/l101210-001.ns5	1	5	1000	3	5	0.3	7500.0	1.0	3.0	butterworth	False	False	False	75.0	2.8	1.6	5000
chan6	6	HP	uV	30000	ref1	6	6.0	../../../sourcedata/l101210-001.ns5	1	6	1000	1	5	0.3	7500.0	1.0	3.0	butterworth	False	False	False	96.0	3.6	2.0	5000
chan7	7	HP	uV	30000	ref1	7	7.0	../../../sourcedata/l101210-001.ns5	1	7	1000	1	5	0.3	7500.0	1.0	3.0	butterworth	False	False	False	85.0	3.2	1.6	5000
chan8	8	HP	uV	30000	ref1	8	8.0	../../../sourcedata/l101210-001.ns5	1	8	1000	2	5	0.3	7500.0	1.0	3.0	butterworth	False	False	False	97.0	3.6	2.4	5000
chan9	9	HP	uV	30000	ref1	9	9.0	../../../sourcedata/l101210-001.ns5	1	9	1000	1	5	0.3	7500.0	1.0	3.0	butterworth	False	False	False	86.0	3.2	2.0	5000
chan10	10	HP	uV	30000	ref1	10	10.0	../../../sourcedata/l101210-001.ns5	1	10	1000	2	5	0.3	7500.0	1.0	3.0	butterworth	False	False	False	98.0	3.6	2.8	5000
chan11	11	HP	uV	30000	ref1	11	11.0	../../../sourcedata/l101210-001.ns5	1	11	1000	2	5	0.3	7500.0	1.0	3.0	butterworth	False	False	False	87.0	3.2	2.4	5000
chan12	12	HP	uV	30000	ref1	12	12.0	../../../sourcedata/l101210-001.ns5	1	12	1000	1	5	0.3	7500.0	1.0	3.0	butterworth	False	False	False	88.0	3.2	2.8	5000
chan13	13	HP	uV	30000	ref1	13	13.0	../../../sourcedata/l101210-001.ns5	1	13	1000	3	5	0.3	7500.0	1.0	3.0	butterworth	False	False	False	77.0	2.8	2.4	5000
chan14	14	HP	uV	30000	ref1	14	14.0	../../../sourcedata/l101210-001.ns5	1	14	1000	1	5	0.3	7500.0	1.0	3.0	butterworth	False	False	False	99.0	3.6	3.2	5000
chan15	15	HP	uV	30000	ref1	15	15.0	../../../sourcedata/l101210-001.ns5	1	15	1000	2	5	0.3	7500.0	1.0	3.0	butterworth	False	False	False	66.0	2.4	2.0	5000
chan16	16	HP	uV	30000	ref1	16	16.0	../../../sourcedata/l101210-001.ns5	1	16	1000	0	5	0.3	7500.0	1.0	3.0	butterworth	False	False	False	89.0	3.2	3.2	5000
chan17	17	HP	uV	30000	ref1	17	17.0	../../../sourcedata/l101210-001.ns5	1	17	1000	1	5	0.3	7500.0	1.0	3.0	butterworth	False	False	False	76.0	2.8	2.0	5000
chan18	18	HP	uV	30000	ref1	18	18.0	../../../sourcedata/l101210-001.ns5	1	18	1000	1	5	0.3	7500.0	1.0	3.0	butterworth	False	False	False	100.0	3.6	3.6	5000
chan19	19	HP	uV	30000	ref1	19	19.0	../../../sourcedata/l101210-001.ns5	1	19	1000	1	5	0.3	7500.0	1.0	3.0	butterworth	False	False	False	67.0	2.4	2.4	5000
chan20	20	HP	uV	30000	ref1	20	20.0	../../../sourcedata/l101210-001.ns5	1	20	1000	2	5	0.3	7500.0	1.0	3.0	butterworth	False	False	False	79.0	2.8	3.2	5000
chan21	21	HP	uV	30000	ref1	21	21.0	../../../sourcedata/l101210-001.ns5	1	21	1000	0	5	0.3	7500.0	1.0	3.0	butterworth	False	False	False	58.0	2.0	2.8	5000
chan22	22	HP	uV	30000	ref1	22	22.0	../../../sourcedata/l101210-001.ns5	1	22	1000	2	5	0.3	7500.0	1.0	3.0	butterworth	False	False	False	10.0	0.0	3.6	5000
chan23	23	HP	uV	30000	ref1	23	23.0	../../../sourcedata/l101210-001.ns5	1	23	1000	3	5	0.3	7500.0	1.0	3.0	butterworth	False	False	False	78.0	2.8	2.8	5000
chan24	24	HP	uV	30000	ref1	24	24.0	../../../sourcedata/l101210-001.ns5	1	24	1000	2	5	0.3	7500.0	1.0	3.0	butterworth	False	False	False	70.0	2.4	3.6	5000
chan25	25	HP	uV	30000	ref1	25	25.0	../../../sourcedata/l101210-001.ns5	1	25	1000	3	5	0.3	7500.0	1.0	3.0	butterworth	False	False	False	68.0	2.4	2.8	5000
chan26	26	HP	uV	30000	ref1	26	26.0	../../../sourcedata/l101210-001.ns5	1	26	1000	1	5	0.3	7500.0	1.0	3.0	butterworth	False	False	False	60.0	2.0	3.6	5000
chan27	27	HP	uV	30000	ref1	27	27.0	../../../sourcedata/l101210-001.ns5	1	27	1000	1	5	0.3	7500.0	1.0	3.0	butterworth	False	False	False	69.0	2.4	3.2	5000
chan28	28	HP	uV	30000	ref1	28	28.0	../../../sourcedata/l101210-001.ns5	1	28	1000	2	5	0.3	7500.0	1.0	3.0	butterworth	False	False	False	50.0	1.6	3.6	5000
chan29	29	HP	uV	30000	ref1	29	29.0	../../../sourcedata/l101210-001.ns5	1	29	1000	2	5	0.3	7500.0	1.0	3.0	butterworth	False	False	True	59.0	2.0	3.2	5000
chan30	30	HP	uV	30000	ref1	30	30.0	../../../sourcedata/l101210-001.ns5	1	30	1000	0	5	0.3	7500.0	1.0	3.0	butterworth	False	False	False	40.0	1.2	3.6	5000
chan31	31	HP	uV	30000	ref1	31	31.0	../../../sourcedata/l101210-001.ns5	1	31	1000	1	5	0.3	7500.0	1.0	3.0	butterworth	False	False	False	49.0	1.6	3.2	5000
chan32	32	HP	uV	30000	ref1	32	32.0	../../../sourcedata/l101210-001.ns5	1	32	1000	1	5	0.3	7500.0	1.0	3.0	butterworth	False	False	False	30.0	0.8	3.6	5000
chan33	33	HP	uV	30000	ref1	33	33.0	../../../sourcedata/l101210-001.ns5	2	1	1000	1	5	0.3	7500.0	1.0	3.0	butterworth	False	False	False	83.0	3.2	0.8	5000
chan34	34	HP	uV	30000	ref1	34	34.0	../../../sourcedata/l101210-001.ns5	2	2	1000	2	5	0.3	7500.0	1.0	3.0	butterworth	False	False	False	84.0	3.2	1.2	5000
chan35	35	HP	uV	30000	ref1	35	35.0	../../../sourcedata/l101210-001.ns5	2	3	1000	1	5	0.3	7500.0	1.0	3.0	butterworth	False	False	False	73.0	2.8	0.8	5000
chan36	36	HP	uV	30000	ref1	36	36.0	../../../sourcedata/l101210-001.ns5	2	4	1000	2	5	0.3	7500.0	1.0	3.0	butterworth	False	False	False	74.0	2.8	1.2	5000
chan37	37	HP	uV	30000	ref1	37	37.0	../../../sourcedata/l101210-001.ns5	2	5	1000	2	5	0.3	7500.0	1.0	3.0	butterworth	False	False	False	63.0	2.4	0.8	5000
chan38	38	HP	uV	30000	ref1	38	38.0	../../../sourcedata/l101210-001.ns5	2	6	1000	2	5	0.3	7500.0	1.0	3.0	butterworth	False	False	False	64.0	2.4	1.2	5000
chan39	39	HP	uV	30000	ref1	39	39.0	../../../sourcedata/l101210-001.ns5	2	7	1000	2	5	0.3	7500.0	1.0	3.0	butterworth	False	False	False	53.0	2.0	0.8	5000
chan40	40	HP	uV	30000	ref1	40	40.0	../../../sourcedata/l101210-001.ns5	2	8	1000	3	5	0.3	7500.0	1.0	3.0	butterworth	False	False	False	54.0	2.0	1.2	5000
chan41	41	HP	uV	30000	ref1	41	41.0	../../../sourcedata/l101210-001.ns5	2	9	1000	1	5	0.3	7500.0	1.0	3.0	butterworth	False	False	False	43.0	1.6	0.8	5000
chan42	42	HP	uV	30000	ref1	42	42.0	../../../sourcedata/l101210-001.ns5	2	10	1000	1	5	0.3	7500.0	1.0	3.0	butterworth	False	False	False	55.0	2.0	1.6	5000
chan43	43	HP	uV	30000	ref1	43	43.0	../../../sourcedata/l101210-001.ns5	2	11	1000	0	5	0.3	7500.0	1.0	3.0	butterworth	False	False	False	44.0	1.6	1.2	5000
chan44	44	HP	uV	30000	ref1	44	44.0	../../../sourcedata/l101210-001.ns5	2	12	1000	1	5	0.3	7500.0	1.0	3.0	butterworth	False	False	False	45.0	1.6	1.6	5000
chan45	45	HP	uV	30000	ref1	45	45.0	../../../sourcedata/l101210-001.ns5	2	13	1000	1	5	0.3	7500.0	1.0	3.0	butterworth	False	False	False	33.0	1.2	0.8	5000
chan46	46	HP	uV	30000	ref1	46	46.0	../../../sourcedata/l101210-001.ns5	2	14	1000	2	5	0.3	7500.0	1.0	3.0	butterworth	False	False	False	46.0	1.6	2.0	5000
chan47	47	HP	uV	30000	ref1	47	47.0	../../../sourcedata/l101210-001.ns5	2	15	1000	1	5	0.3	7500.0	1.0	3.0	butterworth	False	False	False	34.0	1.2	1.2	5000
chan48	48	HP	uV	30000	ref1	48	48.0	../../../sourcedata/l101210-001.ns5	2	16	1000	2	5	0.3	7500.0	1.0	3.0	butterworth	False	False	False	65.0	2.4	1.6	5000
chan49	49	HP	uV	30000	ref1	49	49.0	../../../sourcedata/l101210-001.ns5	2	17	1000	1	5	0.3	7500.0	1.0	3.0	butterworth	False	False	False	24.0	0.8	1.2	5000
chan50	50	HP	uV	30000	ref1	50	50.0	../../../sourcedata/l101210-001.ns5	2	18	1000	0	5	0.3	7500.0	1.0	3.0	butterworth	False	False	False	56.0	2.0	2.0	5000
chan51	51	HP	uV	30000	ref1	51	51.0	../../../sourcedata/l101210-001.ns5	2	19	1000	1	5	0.3	7500.0	1.0	3.0	butterworth	False	False	False	35.0	1.2	1.6	5000
chan52	52	HP	uV	30000	ref1	52	52.0	../../../sourcedata/l101210-001.ns5	2	20	1000	2	5	0.3	7500.0	1.0	3.0	butterworth	False	False	False	47.0	1.6	2.4	5000
chan53	53	HP	uV	30000	ref1	53	53.0	../../../sourcedata/l101210-001.ns5	2	21	1000	0	5	0.3	7500.0	1.0	3.0	butterworth	False	False	False	25.0	0.8	1.6	5000
chan54	54	HP	uV	30000	ref1	54	54.0	../../../sourcedata/l101210-001.ns5	2	22	1000	2	5	0.3	7500.0	1.0	3.0	butterworth	False	False	False	57.0	2.0	2.4	5000
chan55	55	HP	uV	30000	ref1	55	55.0	../../../sourcedata/l101210-001.ns5	2	23	1000	1	5	0.3	7500.0	1.0	3.0	butterworth	False	False	False	26.0	0.8	2.0	5000
chan56	56	HP	uV	30000	ref1	56	56.0	../../../sourcedata/l101210-001.ns5	2	24	1000	3	5	0.3	7500.0	1.0	3.0	butterworth	False	False	False	36.0	1.2	2.0	5000
chan57	57	HP	uV	30000	ref1	57	57.0	../../../sourcedata/l101210-001.ns5	2	25	1000	2	5	0.3	7500.0	1.0	3.0	butterworth	False	False	False	27.0	0.8	2.4	5000
chan58	58	HP	uV	30000	ref1	58	58.0	../../../sourcedata/l101210-001.ns5	2	26	1000	2	5	0.3	7500.0	1.0	3.0	butterworth	False	False	False	37.0	1.2	2.4	5000
chan59	59	HP	uV	30000	ref1	59	59.0	../../../sourcedata/l101210-001.ns5	2	27	1000	1	5	0.3	7500.0	1.0	3.0	butterworth	False	False	False	28.0	0.8	2.8	5000
chan60	60	HP	uV	30000	ref1	60	60.0	../../../sourcedata/l101210-001.ns5	2	28	1000	2	5	0.3	7500.0	1.0	3.0	butterworth	False	False	False	38.0	1.2	2.8	5000
chan61	61	HP	uV	30000	ref1	61	61.0	../../../sourcedata/l101210-001.ns5	2	29	1000	2	5	0.3	7500.0	1.0	3.0	butterworth	False	False	False	29.0	0.8	3.2	5000
chan62	62	HP	uV	30000	ref1	62	62.0	../../../sourcedata/l101210-001.ns5	2	30	1000	2	5	0.3	7500.0	1.0	3.0	butterworth	False	False	False	48.0	1.6	2.8	5000
chan63	63	HP	uV	30000	ref1	63	63.0	../../../sourcedata/l101210-001.ns5	2	31	1000	2	5	0.3	7500.0	1.0	3.0	butterworth	False	False	False	19.0	0.4	3.2	5000
chan64	64	HP	uV	30000	ref1	64	64.0	../../../sourcedata/l101210-001.ns5	2	32	1000	1	5	0.3	7500.0	1.0	3.0	butterworth	False	False	False	39.0	1.2	3.2	5000
chan65	65	HP	uV	30000	ref1	65	65.0	../../../sourcedata/l101210-001.ns5	3	1	1000	0	5	0.3	7500.0	1.0	3.0	butterworth	False	False	False	81.0	3.2	0.0	5000
chan66	66	HP	uV	30000	ref1	66	66.0	../../../sourcedata/l101210-001.ns5	3	2	1000	1	5	0.3	7500.0	1.0	3.0	butterworth	False	False	False	82.0	3.2	0.4	5000
chan67	67	HP	uV	30000	ref1	67	67.0	../../../sourcedata/l101210-001.ns5	3	3	1000	0	5	0.3	7500.0	1.0	3.0	butterworth	False	False	False	71.0	2.8	0.0	5000
chan68	68	HP	uV	30000	ref1	68	68.0	../../../sourcedata/l101210-001.ns5	3	4	1000	2	5	0.3	7500.0	1.0	3.0	butterworth	False	False	False	72.0	2.8	0.4	5000
chan69	69	HP	uV	30000	ref1	69	69.0	../../../sourcedata/l101210-001.ns5	3	5	1000	1	5	0.3	7500.0	1.0	3.0	butterworth	False	False	False	61.0	2.4	0.0	5000
chan70	70	HP	uV	30000	ref1	70	70.0	../../../sourcedata/l101210-001.ns5	3	6	1000	3	5	0.3	7500.0	1.0	3.0	butterworth	False	False	False	62.0	2.4	0.4	5000
chan71	71	HP	uV	30000	ref1	71	71.0	../../../sourcedata/l101210-001.ns5	3	7	1000	2	5	0.3	7500.0	1.0	3.0	butterworth	False	False	False	51.0	2.0	0.0	5000
chan72	72	HP	uV	30000	ref1	72	72.0	../../../sourcedata/l101210-001.ns5	3	8	1000	0	5	0.3	7500.0	1.0	3.0	butterworth	False	False	False	52.0	2.0	0.4	5000
chan73	73	HP	uV	30000	ref1	73	73.0	../../../sourcedata/l101210-001.ns5	3	9	1000	1	5	0.3	7500.0	1.0	3.0	butterworth	False	False	False	41.0	1.6	0.0	5000
chan74	74	HP	uV	30000	ref1	74	74.0	../../../sourcedata/l101210-001.ns5	3	10	1000	1	5	0.3	7500.0	1.0	3.0	butterworth	False	False	False	42.0	1.6	0.4	5000
chan75	75	HP	uV	30000	ref1	75	75.0	../../../sourcedata/l101210-001.ns5	3	11	1000	2	5	0.3	7500.0	1.0	3.0	butterworth	False	False	False	31.0	1.2	0.0	5000
chan76	76	HP	uV	30000	ref1	76	76.0	../../../sourcedata/l101210-001.ns5	3	12	1000	2	5	0.3	7500.0	1.0	3.0	butterworth	False	False	False	32.0	1.2	0.4	5000
chan77	77	HP	uV	30000	ref1	77	77.0	../../../sourcedata/l101210-001.ns5	3	13	1000	2	5	0.3	7500.0	1.0	3.0	butterworth	False	False	False	21.0	0.8	0.0	5000
chan78	78	HP	uV	30000	ref1	78	78.0	../../../sourcedata/l101210-001.ns5	3	14	1000	3	5	0.3	7500.0	1.0	3.0	butterworth	False	False	False	22.0	0.8	0.4	5000
chan79	79	HP	uV	30000	ref1	79	79.0	../../../sourcedata/l101210-001.ns5	3	15	1000	1	5	0.3	7500.0	1.0	3.0	butterworth	False	False	False	11.0	0.4	0.0	5000
chan80	80	HP	uV	30000	ref1	80	80.0	../../../sourcedata/l101210-001.ns5	3	16	1000	2	5	0.3	7500.0	1.0	3.0	butterworth	False	False	False	12.0	0.4	0.4	5000
chan81	81	HP	uV	30000	ref1	81	81.0	../../../sourcedata/l101210-001.ns5	3	17	1000	1	5	0.3	7500.0	1.0	3.0	butterworth	False	False	False	2.0	0.0	0.4	5000
chan82	82	HP	uV	30000	ref1	82	82.0	../../../sourcedata/l101210-001.ns5	3	18	1000	1	5	0.3	7500.0	1.0	3.0	butterworth	False	False	False	23.0	0.8	0.8	5000
chan83	83	HP	uV	30000	ref1	83	83.0	../../../sourcedata/l101210-001.ns5	3	19	1000	1	5	0.3	7500.0	1.0	3.0	butterworth	False	False	False	3.0	0.0	0.8	5000
chan84	84	HP	uV	30000	ref1	84	84.0	../../../sourcedata/l101210-001.ns5	3	20	1000	3	5	0.3	7500.0	1.0	3.0	butterworth	False	False	False	13.0	0.4	0.8	5000
chan85	85	HP	uV	30000	ref1	85	85.0	../../../sourcedata/l101210-001.ns5	3	21	1000	1	5	0.3	7500.0	1.0	3.0	butterworth	False	False	False	4.0	0.0	1.2	5000
chan86	86	HP	uV	30000	ref1	86	86.0	../../../sourcedata/l101210-001.ns5	3	22	1000	1	5	0.3	7500.0	1.0	3.0	butterworth	False	False	False	14.0	0.4	1.2	5000
chan87	87	HP	uV	30000	ref1	87	87.0	../../../sourcedata/l101210-001.ns5	3	23	1000	2	5	0.3	7500.0	1.0	3.0	butterworth	False	False	False	15.0	0.4	1.6	5000
chan88	88	HP	uV	30000	ref1	88	88.0	../../../sourcedata/l101210-001.ns5	3	24	1000	1	5	0.3	7500.0	1.0	3.0	butterworth	False	False	False	5.0	0.0	1.6	5000
chan89	89	HP	uV	30000	ref1	89	89.0	../../../sourcedata/l101210-001.ns5	3	25	1000	1	5	0.3	7500.0	1.0	3.0	butterworth	False	False	False	16.0	0.4	2.0	5000
chan90	90	HP	uV	30000	ref1	90	90.0	../../../sourcedata/l101210-001.ns5	3	26	1000	1	5	0.3	7500.0	1.0	3.0	butterworth	False	False	False	6.0	0.0	2.0	5000
chan91	91	HP	uV	30000	ref1	91	91.0	../../../sourcedata/l101210-001.ns5	3	27	1000	1	5	0.3	7500.0	1.0	3.0	butterworth	False	False	False	17.0	0.4	2.4	5000
chan92	92	HP	uV	30000	ref1	92	92.0	../../../sourcedata/l101210-001.ns5	3	28	1000	1	5	0.3	7500.0	1.0	3.0	butterworth	False	False	False	7.0	0.0	2.4	5000
chan93	93	HP	uV	30000	ref1	93	93.0	../../../sourcedata/l101210-001.ns5	3	29	1000	1	5	0.3	7500.0	1.0	3.0	butterworth	False	False	False	8.0	0.0	2.8	5000
chan94	94	HP	uV	30000	ref1	94	94.0	../../../sourcedata/l101210-001.ns5	3	30	1000	1	5	0.3	7500.0	1.0	3.0	butterworth	False	False	False	18.0	0.4	2.8	5000
chan95	95	HP	uV	30000	ref1	95	95.0	../../../sourcedata/l101210-001.ns5	3	31	1000	2	5	0.3	7500.0	1.0	3.0	butterworth	False	False	False	20.0	0.4	3.6	5000
chan96	96	HP	uV	30000	ref1	96	96.0	../../../sourcedata/l101210-001.ns5	3	32	1000	2	5	0.3	7500.0	1.0	3.0	butterworth	False	False	False	9.0	0.0	3.2	5000
