onset	duration	sample	type	value
26.2839207199663	0	26285	Markers	BASE-START
64.6908048735102	0	64692	Markers	BASE-END
220.846333862517	0	220848	Markers	START-stand , Sub-No.-76
220.866333802192	0	220868	Markers	Trial Start: No.0-angle:40-right-right-kongruent-blue-FA:no
222.328329392383	0	222330	Markers	Stim-40-R-stand-140-blue-1-kongruent
223.223326692808	0	223225	Markers	WiimoteButtonB pressed
223.224326689792	0	223226	Markers	BUT-RIGHT-ButtonB-Press
223.348326315772	0	223350	Markers	WiimoteButtonB released
223.433326059388	0	223435	Markers	WiimoteButtonB pressed
223.434326056372	0	223436	Markers	BUT-RIGHT-ButtonB-Press
223.561325673304	0	223563	Markers	WiimoteButtonB released
223.879324714125	0	223881	Markers	Reaction: 0.896-right-blue-correct
223.881324708093	0	223883	Markers	End-Trial-3.015
223.915324605539	0	223917	Markers	Trial Start: No.1-angle:60-right-right-kongruent-yellow-FA:no
225.328320343528	0	225330	Markers	Stim-60-R-stand-125-yellow-1-kongruent
225.850318769028	0	225852	Markers	WiimoteButtonB pressed
225.851318766011	0	225853	Markers	BUT-RIGHT-ButtonB-Press
225.954318455334	0	225956	Markers	WiimoteButtonB released
226.87931566527	0	226881	Markers	Reaction: 0.522-right-yellow-correct
226.881315659238	0	226883	Markers	End-Trial-2.965
226.915315556684	0	226917	Markers	Trial Start: No.2-angle:40-right-right-kongruent-yellow-FA:no
228.478310842231	0	228480	Markers	Stim-40-R-stand-139-yellow-1-kongruent
228.898309575391	0	228900	Markers	WiimoteButtonB pressed
228.899309572375	0	228901	Markers	BUT-RIGHT-ButtonB-Press
229.041309144062	0	229043	Markers	WiimoteButtonB released
230.029306163973	0	230031	Markers	Reaction: 0.422-right-yellow-correct
230.03130615794	0	230033	Markers	End-Trial-3.116
230.065306055386	0	230067	Markers	Trial Start: No.3-angle:60-left-left-kongruent-blue-FA:no
231.412301992451	0	231414	Markers	Stim-60-L-stand-128-blue-1-kongruent
231.86430062909	0	231866	Markers	WiimoteButtonB pressed
231.86430062909	0	231866	Markers	BUT-LEFT-ButtonB-Press
231.997300227924	0	231999	Markers	WiimoteButtonB released
232.090299947409	0	232092	Markers	WiimoteButtonB pressed
232.091299944393	0	232093	Markers	BUT-LEFT-ButtonB-Press
232.224299543227	0	232226	Markers	WiimoteButtonB released
232.963297314193	0	232965	Markers	Reaction: 0.453-left-blue-correct
232.96529730816	0	232967	Markers	End-Trial-2.9
232.998297208623	0	233000	Markers	Trial Start: No.4-angle:60-right-right-kongruent-blue-FA:no
234.347293139654	0	234349	Markers	Stim-60-R-stand-125-blue-1-kongruent
234.873291553088	0	234875	Markers	WiimoteButtonB pressed
234.874291550072	0	234876	Markers	BUT-RIGHT-ButtonB-Press
234.997291179069	0	234999	Markers	WiimoteButtonB released
235.088290904587	0	235090	Markers	WiimoteButtonB pressed
235.089290901571	0	235091	Markers	BUT-RIGHT-ButtonB-Press
235.2102905366	0	235212	Markers	WiimoteButtonB released
235.898288461396	0	235900	Markers	Reaction: 0.526-right-blue-correct
235.900288455364	0	235902	Markers	End-Trial-2.901
235.93428835281	0	235936	Markers	Trial Start: No.5-angle:60-right-right-kongruent-blue-FA:no
237.512283593112	0	237514	Markers	Stim-60-R-stand-125-blue-1-kongruent
