name	type	units	sampling_frequency_effective	tracked_point	component	placement	tracking_system
t2_ornt_z	ORNT	rad	430.713345734503	LeftThigh	z	LeftThigh	OPTpos
t2_ornt_x	ORNT	rad	430.713345734503	LeftThigh	x	LeftThigh	OPTpos
t2_ornt_y	ORNT	rad	430.713345734503	LeftThigh	y	LeftThigh	OPTpos
t2_pos_x	POS	m	430.713345734503	LeftThigh	x	LeftThigh	OPTpos
t2_pos_y	POS	m	430.713345734503	LeftThigh	y	LeftThigh	OPTpos
t2_pos_z	POS	m	430.713345734503	LeftThigh	z	LeftThigh	OPTpos
t9_ornt_z	ORNT	rad	430.713345734503	RightForeFoot	z	RightForeFoot	OPTpos
t9_ornt_x	ORNT	rad	430.713345734503	RightForeFoot	x	RightForeFoot	OPTpos
t9_ornt_y	ORNT	rad	430.713345734503	RightForeFoot	y	RightForeFoot	OPTpos
t9_pos_x	POS	m	430.713345734503	RightForeFoot	x	RightForeFoot	OPTpos
t9_pos_y	POS	m	430.713345734503	RightForeFoot	y	RightForeFoot	OPTpos
t9_pos_z	POS	m	430.713345734503	RightForeFoot	z	RightForeFoot	OPTpos
t7_ornt_z	ORNT	rad	430.713345734503	RightLowerLeg	z	RightLowerLeg	OPTpos
t7_ornt_x	ORNT	rad	430.713345734503	RightLowerLeg	x	RightLowerLeg	OPTpos
t7_ornt_y	ORNT	rad	430.713345734503	RightLowerLeg	y	RightLowerLeg	OPTpos
t7_pos_x	POS	m	430.713345734503	RightLowerLeg	x	RightLowerLeg	OPTpos
t7_pos_y	POS	m	430.713345734503	RightLowerLeg	y	RightLowerLeg	OPTpos
t7_pos_z	POS	m	430.713345734503	RightLowerLeg	z	RightLowerLeg	OPTpos
t6_ornt_z	ORNT	rad	430.713345734503	RightThigh	z	RightThigh	OPTpos
t6_ornt_x	ORNT	rad	430.713345734503	RightThigh	x	RightThigh	OPTpos
t6_ornt_y	ORNT	rad	430.713345734503	RightThigh	y	RightThigh	OPTpos
t6_pos_x	POS	m	430.713345734503	RightThigh	x	RightThigh	OPTpos
t6_pos_y	POS	m	430.713345734503	RightThigh	y	RightThigh	OPTpos
t6_pos_z	POS	m	430.713345734503	RightThigh	z	RightThigh	OPTpos
t5_ornt_z	ORNT	rad	430.713345734503	LeftForeFoot	z	LeftForeFoot	OPTpos
t5_ornt_x	ORNT	rad	430.713345734503	LeftForeFoot	x	LeftForeFoot	OPTpos
t5_ornt_y	ORNT	rad	430.713345734503	LeftForeFoot	y	LeftForeFoot	OPTpos
t5_pos_x	POS	m	430.713345734503	LeftForeFoot	x	LeftForeFoot	OPTpos
t5_pos_y	POS	m	430.713345734503	LeftForeFoot	y	LeftForeFoot	OPTpos
t5_pos_z	POS	m	430.713345734503	LeftForeFoot	z	LeftForeFoot	OPTpos
t3_ornt_z	ORNT	rad	430.713345734503	LeftLowerLeg	z	LeftLowerLeg	OPTpos
t3_ornt_x	ORNT	rad	430.713345734503	LeftLowerLeg	x	LeftLowerLeg	OPTpos
t3_ornt_y	ORNT	rad	430.713345734503	LeftLowerLeg	y	LeftLowerLeg	OPTpos
t3_pos_x	POS	m	430.713345734503	LeftLowerLeg	x	LeftLowerLeg	OPTpos
t3_pos_y	POS	m	430.713345734503	LeftLowerLeg	y	LeftLowerLeg	OPTpos
t3_pos_z	POS	m	430.713345734503	LeftLowerLeg	z	LeftLowerLeg	OPTpos
t4_ornt_z	ORNT	rad	430.713345734503	LeftAnkle	z	LeftAnkle	OPTpos
t4_ornt_x	ORNT	rad	430.713345734503	LeftAnkle	x	LeftAnkle	OPTpos
t4_ornt_y	ORNT	rad	430.713345734503	LeftAnkle	y	LeftAnkle	OPTpos
t4_pos_x	POS	m	430.713345734503	LeftAnkle	x	LeftAnkle	OPTpos
t4_pos_y	POS	m	430.713345734503	LeftAnkle	y	LeftAnkle	OPTpos
t4_pos_z	POS	m	430.713345734503	LeftAnkle	z	LeftAnkle	OPTpos
