name	x	y	z
g1	9.614	82.52	-13.755
g2	19.426	88.225	7.393
g3	28.368	95.221	31.855
g4	40.6	96.143	56.58
g5	37.791	77.606	-26.739
g6	40.523	85.024	-1.754
g7	51.661	87.33	21.916
g8	67.741	88.491	45.447
g9	63.807	74.626	-10.982
g10	86.19	60.245	12.263
g11	94.754	74.664	35.46
g12	103.206	38.428	7.772
g13	119.882	45.804	30.855
g14	108.538	12.944	2.495
g15	127.172	17.365	31.445
g16	70.116	32.769	-43.824
g17	126.107	-15.782	31.699
g18	108.993	-7.797	2.225
g19	116.687	-41.897	38.122
g20	102.047	-33.379	7.048
g21	94.614	-65.664	41.632
g22	78.763	-57.248	18.419
g23	61.784	-73.378	-2.842
g24	64.044	-79.711	53.996
g25	48.588	-83.045	31.861
g26	38.766	-80.358	4.945
g27	41.113	-74.489	-23.012
g28	36.907	-86.995	65.994
g29	24.04	-87.83	41.689
g30	18.203	-83.878	11.342
g31	11.089	-80.059	-9.982
g32	68.933	-33.899	-45.683
y1	38.527	95.893	81.104
y2	63.82	82.111	101.613
y3	57.794	64.68	127.652
y4	46.593	37.28	150.226
y5	65.123	90.016	72.765
y6	87.493	68.912	92.667
y7	78.611	57.969	117.49
y8	72.111	35.945	137.305
y9	89.502	78.158	63.546
y10	111.306	58.66	60.492
y11	103.84	53.565	90.506
y12	98.439	34.491	112.621
y13	124.952	34.074	59.545
y14	117.486	21.748	89.095
y15	129.997	3.112	60.867
y16	104.007	6.942	113.045
y17	116.239	-12.095	91.904
y18	120.802	-28.647	65.351
y19	86.009	8.941	133.37
y20	94.85	-21.737	117.13
y21	102.124	-42.209	94.495
y22	106.592	-53.112	69.831
y23	84.296	-70.203	74.569
y24	71.507	-15.791	140.469
y25	76.458	-39.223	123.561
y26	82.499	-56.389	102.233
y27	60.428	-79.701	84.507
y28	33.165	14.413	158.485
y29	44.496	-13.255	154.505
y30	52.966	-45.145	136.393
y31	58.279	-67.376	112.73
y32	33.798	-83.779	96.112
r1	-9.688	95.655	56.403
r2	16.539	98.481	68.432
r3	-5.193	94.325	81.959
r4	-26.522	81.428	97.361
r5	-46.225	61.706	105.975
r6	17.609	93.664	100.138
r7	-7.62	83.292	114.889
r8	-25.072	65.2	125.039
r9	-39.077	37.762	129.738
r10	40.514	83.404	117.464
r11	13.663	75.206	132.486
r12	-6.578	60.504	140.712
r13	-20.272	26.966	145.647
r14	36.627	59.205	142.314
r15	16.191	39.228	155.352
r16	3.733	12.409	157.316
r17	11.644	-16.3	156.538
r18	29.651	-37.116	148.235
r19	-19.837	0.396	146.09
r20	-8.174	-34.575	144.175
r21	29.542	-67.873	124.651
r22	28.166	-68.424	124.676
r23	-42.923	13.099	133.687
r24	-41.892	-15.407	129.185
r25	-29.617	-40.242	127.168
r26	-12.713	-63.017	118.847
r27	7.118	-77.931	105.654
r28	-48.777	-38.384	106.595
r29	-34.971	-58.746	101.251
r30	-17.725	-74.06	91.859
r31	5.603	-86.853	77.838
r32	-14.173	-85.299	61.143
w1	-35.318	77.669	7.042
w2	-51.798	71.957	24.135
w3	-81.446	34.298	44.034
w4	-26.265	89.361	33.264
w5	-39.097	82.375	42.511
w6	-55.453	70.226	55.145
w7	-71.163	50.412	63.811
w8	-73.964	49.498	62.556
w9	-80.539	28.836	66.777
w10	-27.925	88.645	66.463
w11	-45.826	76.213	75.63
w12	-59.919	61.136	83.78
w13	-72.292	36.207	89.466
w14	-58.928	35.106	111.466
w15	-60.213	11.037	114.063
w16	-58.893	-11.807	111.431
w17	-75.7	14.203	93.532
w18	-70.831	-12.485	91.802
w19	-61.778	-36.46	87.87
w20	-49.724	-54.221	81.379
w21	-30.813	-70.777	69.416
w22	-83.336	13.531	68.831
w23	-80.28	-9.093	71.122
w24	-75.603	-28.506	65.673
w25	-61.392	-50.26	59.287
w26	-47.225	-65.038	48.768
w27	-31.015	-74.715	36.595
w28	-87.192	8.874	45.701
w29	-83.246	-18.655	44.963
w30	-70.694	-43.03	39.416
w31	-55.227	-57.871	26.298
w32	-42.492	-66.283	9.882
n1	-32.27	43.687	-73.715
n2	-49.461	61.976	-49.663
n3	-67.251	55.964	-19.014
n4	-93.746	38.041	3.506
n5	-95.263	5.851	11.134
n6	-85.517	-26.355	5.296
n7	-63.925	-47.583	-18.859
n8	-45.636	-50.361	-52.55
n9	-56.686	55.58	-70.108
n10	-73.469	61.066	-34.411
n11	-94.048	50.111	-16.78
n12	-106.311	15.481	0.789
n13	-103.88	-14.043	-3.402
n14	-88.791	-36.464	-13.698
n15	-68.05	-50.537	-42
n16	-73.873	62.55	-66.197
n17	-97.069	55.937	-33.147
n18	-116.231	36.169	-15.546
n19	-117.106	1.92	-8.735
n20	-108.747	-29.081	-17.119
n21	-87.897	-53.292	-38.035
n22	-79.574	59.787	-84.796
n23	-102.873	68.543	-52.795
n24	-124.294	51.307	-28.2
n25	-137.492	18.695	-7.496
n26	-134.317	-18.82	-11.485
n27	-119.313	-44.449	-21.303
n28	-95.035	-59.25	-53.129
n32	61.693	10.519	141.406
