name	type	units	sampling_frequency
BrainVision RDA_G01	EEG	microvolts	999.998585982395
BrainVision RDA_G02	EEG	microvolts	999.998585982395
BrainVision RDA_G03	EEG	microvolts	999.998585982395
BrainVision RDA_G04	EEG	microvolts	999.998585982395
BrainVision RDA_G05	EEG	microvolts	999.998585982395
BrainVision RDA_G06	EEG	microvolts	999.998585982395
BrainVision RDA_G07	EEG	microvolts	999.998585982395
BrainVision RDA_G08	EEG	microvolts	999.998585982395
BrainVision RDA_G09	EEG	microvolts	999.998585982395
BrainVision RDA_G10	EEG	microvolts	999.998585982395
BrainVision RDA_G11	EEG	microvolts	999.998585982395
BrainVision RDA_G12	EEG	microvolts	999.998585982395
BrainVision RDA_G13	EEG	microvolts	999.998585982395
BrainVision RDA_G14	EEG	microvolts	999.998585982395
BrainVision RDA_G15	EEG	microvolts	999.998585982395
BrainVision RDA_G16	EEG	microvolts	999.998585982395
BrainVision RDA_G17	EEG	microvolts	999.998585982395
BrainVision RDA_G18	EEG	microvolts	999.998585982395
BrainVision RDA_G19	EEG	microvolts	999.998585982395
BrainVision RDA_G20	EEG	microvolts	999.998585982395
BrainVision RDA_G21	EEG	microvolts	999.998585982395
BrainVision RDA_G22	EEG	microvolts	999.998585982395
BrainVision RDA_G23	EEG	microvolts	999.998585982395
BrainVision RDA_G24	EEG	microvolts	999.998585982395
BrainVision RDA_G25	EEG	microvolts	999.998585982395
BrainVision RDA_G26	EEG	microvolts	999.998585982395
BrainVision RDA_G27	EEG	microvolts	999.998585982395
BrainVision RDA_G28	EEG	microvolts	999.998585982395
BrainVision RDA_G29	EEG	microvolts	999.998585982395
BrainVision RDA_G30	EEG	microvolts	999.998585982395
BrainVision RDA_G31	EEG	microvolts	999.998585982395
BrainVision RDA_G32	EEG	microvolts	999.998585982395
BrainVision RDA_Y01	EEG	microvolts	999.998585982395
BrainVision RDA_Y02	EEG	microvolts	999.998585982395
BrainVision RDA_Y03	EEG	microvolts	999.998585982395
BrainVision RDA_Y04	EEG	microvolts	999.998585982395
BrainVision RDA_Y05	EEG	microvolts	999.998585982395
BrainVision RDA_Y06	EEG	microvolts	999.998585982395
BrainVision RDA_Y07	EEG	microvolts	999.998585982395
BrainVision RDA_Y08	EEG	microvolts	999.998585982395
BrainVision RDA_Y09	EEG	microvolts	999.998585982395
BrainVision RDA_Y10	EEG	microvolts	999.998585982395
BrainVision RDA_Y11	EEG	microvolts	999.998585982395
BrainVision RDA_Y12	EEG	microvolts	999.998585982395
BrainVision RDA_Y13	EEG	microvolts	999.998585982395
BrainVision RDA_Y14	EEG	microvolts	999.998585982395
BrainVision RDA_Y15	EEG	microvolts	999.998585982395
BrainVision RDA_Y16	EEG	microvolts	999.998585982395
BrainVision RDA_Y17	EEG	microvolts	999.998585982395
BrainVision RDA_Y18	EEG	microvolts	999.998585982395
BrainVision RDA_Y19	EEG	microvolts	999.998585982395
BrainVision RDA_Y20	EEG	microvolts	999.998585982395
BrainVision RDA_Y21	EEG	microvolts	999.998585982395
BrainVision RDA_Y22	EEG	microvolts	999.998585982395
BrainVision RDA_Y23	EEG	microvolts	999.998585982395
BrainVision RDA_Y24	EEG	microvolts	999.998585982395
BrainVision RDA_Y25	EEG	microvolts	999.998585982395
BrainVision RDA_Y26	EEG	microvolts	999.998585982395
BrainVision RDA_Y27	EEG	microvolts	999.998585982395
BrainVision RDA_Y28	EEG	microvolts	999.998585982395
BrainVision RDA_Y29	EEG	microvolts	999.998585982395
BrainVision RDA_Y30	EEG	microvolts	999.998585982395
BrainVision RDA_Y31	EEG	microvolts	999.998585982395
BrainVision RDA_Y32	EEG	microvolts	999.998585982395
BrainVision RDA_R01	EEG	microvolts	999.998585982395
BrainVision RDA_R02	EEG	microvolts	999.998585982395
BrainVision RDA_R03	EEG	microvolts	999.998585982395
BrainVision RDA_R04	EEG	microvolts	999.998585982395
BrainVision RDA_R05	EEG	microvolts	999.998585982395
BrainVision RDA_R06	EEG	microvolts	999.998585982395
BrainVision RDA_R07	EEG	microvolts	999.998585982395
BrainVision RDA_R08	EEG	microvolts	999.998585982395
BrainVision RDA_R09	EEG	microvolts	999.998585982395
BrainVision RDA_R10	EEG	microvolts	999.998585982395
BrainVision RDA_R11	EEG	microvolts	999.998585982395
BrainVision RDA_R12	EEG	microvolts	999.998585982395
BrainVision RDA_R13	EEG	microvolts	999.998585982395
BrainVision RDA_R14	EEG	microvolts	999.998585982395
BrainVision RDA_R15	EEG	microvolts	999.998585982395
BrainVision RDA_R16	EEG	microvolts	999.998585982395
BrainVision RDA_R17	EEG	microvolts	999.998585982395
BrainVision RDA_R18	EEG	microvolts	999.998585982395
BrainVision RDA_R19	EEG	microvolts	999.998585982395
BrainVision RDA_R20	EEG	microvolts	999.998585982395
BrainVision RDA_R21	EEG	microvolts	999.998585982395
BrainVision RDA_R22	EEG	microvolts	999.998585982395
BrainVision RDA_R23	EEG	microvolts	999.998585982395
BrainVision RDA_R24	EEG	microvolts	999.998585982395
BrainVision RDA_R25	EEG	microvolts	999.998585982395
BrainVision RDA_R26	EEG	microvolts	999.998585982395
BrainVision RDA_R27	EEG	microvolts	999.998585982395
BrainVision RDA_R28	EEG	microvolts	999.998585982395
BrainVision RDA_R29	EEG	microvolts	999.998585982395
BrainVision RDA_R30	EEG	microvolts	999.998585982395
BrainVision RDA_R31	EEG	microvolts	999.998585982395
BrainVision RDA_R32	EEG	microvolts	999.998585982395
BrainVision RDA_W01	EEG	microvolts	999.998585982395
BrainVision RDA_W02	EEG	microvolts	999.998585982395
BrainVision RDA_W03	EEG	microvolts	999.998585982395
BrainVision RDA_W04	EEG	microvolts	999.998585982395
BrainVision RDA_W05	EEG	microvolts	999.998585982395
BrainVision RDA_W06	EEG	microvolts	999.998585982395
BrainVision RDA_W07	EEG	microvolts	999.998585982395
BrainVision RDA_W08	EEG	microvolts	999.998585982395
BrainVision RDA_W09	EEG	microvolts	999.998585982395
BrainVision RDA_W10	EEG	microvolts	999.998585982395
BrainVision RDA_W11	EEG	microvolts	999.998585982395
BrainVision RDA_W12	EEG	microvolts	999.998585982395
BrainVision RDA_W13	EEG	microvolts	999.998585982395
BrainVision RDA_W14	EEG	microvolts	999.998585982395
BrainVision RDA_W15	EEG	microvolts	999.998585982395
BrainVision RDA_W16	EEG	microvolts	999.998585982395
BrainVision RDA_W17	EEG	microvolts	999.998585982395
BrainVision RDA_W18	EEG	microvolts	999.998585982395
BrainVision RDA_W19	EEG	microvolts	999.998585982395
BrainVision RDA_W20	EEG	microvolts	999.998585982395
BrainVision RDA_W21	EEG	microvolts	999.998585982395
BrainVision RDA_W22	EEG	microvolts	999.998585982395
BrainVision RDA_W23	EEG	microvolts	999.998585982395
BrainVision RDA_W24	EEG	microvolts	999.998585982395
BrainVision RDA_W25	EEG	microvolts	999.998585982395
BrainVision RDA_W26	EEG	microvolts	999.998585982395
BrainVision RDA_W27	EEG	microvolts	999.998585982395
BrainVision RDA_W28	EEG	microvolts	999.998585982395
BrainVision RDA_W29	EEG	microvolts	999.998585982395
BrainVision RDA_W30	EEG	microvolts	999.998585982395
BrainVision RDA_W31	EEG	microvolts	999.998585982395
BrainVision RDA_W32	EEG	microvolts	999.998585982395
BrainVision RDA_N01	EEG	microvolts	999.998585982395
BrainVision RDA_N02	EEG	microvolts	999.998585982395
BrainVision RDA_N03	EEG	microvolts	999.998585982395
BrainVision RDA_N04	EEG	microvolts	999.998585982395
BrainVision RDA_N05	EEG	microvolts	999.998585982395
BrainVision RDA_N06	EEG	microvolts	999.998585982395
BrainVision RDA_N07	EEG	microvolts	999.998585982395
BrainVision RDA_N08	EEG	microvolts	999.998585982395
BrainVision RDA_N09	EEG	microvolts	999.998585982395
BrainVision RDA_N10	EEG	microvolts	999.998585982395
