name	type	units	sampling_frequency	tracking_system	tracked_point	component	placement
Rigid1_quat_w	ORNT	n/a	84.7117990589249	PhaseSpace	Rigid1	w	Rigid1
Rigid1_quat_x	ORNT	n/a	84.7117990589249	PhaseSpace	Rigid1	x	Rigid1
Rigid1_quat_y	ORNT	n/a	84.7117990589249	PhaseSpace	Rigid1	y	Rigid1
Rigid1_quat_z	ORNT	n/a	84.7117990589249	PhaseSpace	Rigid1	z	Rigid1
Rigid1_cart_x	POS	m	84.7117990589249	PhaseSpace	Rigid1	x	Rigid1
Rigid1_cart_y	POS	m	84.7117990589249	PhaseSpace	Rigid1	y	Rigid1
Rigid1_cart_z	POS	m	84.7117990589249	PhaseSpace	Rigid1	z	Rigid1
Rigid1_Conf	MISC	n/a	84.7117990589249	PhaseSpace	Rigid1	Conf	Rigid1
Rigid2_quat_w	ORNT	n/a	84.7117990589249	PhaseSpace	Rigid2	w	Rigid2
Rigid2_quat_x	ORNT	n/a	84.7117990589249	PhaseSpace	Rigid2	x	Rigid2
Rigid2_quat_y	ORNT	n/a	84.7117990589249	PhaseSpace	Rigid2	y	Rigid2
Rigid2_quat_z	ORNT	n/a	84.7117990589249	PhaseSpace	Rigid2	z	Rigid2
Rigid2_cart_x	POS	m	84.7117990589249	PhaseSpace	Rigid2	x	Rigid2
Rigid2_cart_y	POS	m	84.7117990589249	PhaseSpace	Rigid2	y	Rigid2
Rigid2_cart_z	POS	m	84.7117990589249	PhaseSpace	Rigid2	z	Rigid2
Rigid2_Conf	MISC	n/a	84.7117990589249	PhaseSpace	Rigid2	Conf	Rigid2
Rigid3_quat_w	ORNT	n/a	84.7117990589249	PhaseSpace	Rigid3	w	Rigid3
Rigid3_quat_x	ORNT	n/a	84.7117990589249	PhaseSpace	Rigid3	x	Rigid3
Rigid3_quat_y	ORNT	n/a	84.7117990589249	PhaseSpace	Rigid3	y	Rigid3
Rigid3_quat_z	ORNT	n/a	84.7117990589249	PhaseSpace	Rigid3	z	Rigid3
Rigid3_cart_x	POS	m	84.7117990589249	PhaseSpace	Rigid3	x	Rigid3
Rigid3_cart_y	POS	m	84.7117990589249	PhaseSpace	Rigid3	y	Rigid3
Rigid3_cart_z	POS	m	84.7117990589249	PhaseSpace	Rigid3	z	Rigid3
Rigid3_Conf	MISC	n/a	84.7117990589249	PhaseSpace	Rigid3	Conf	Rigid3
Rigid4_quat_w	ORNT	n/a	84.7117990589249	PhaseSpace	Rigid4	w	Rigid4
Rigid4_quat_x	ORNT	n/a	84.7117990589249	PhaseSpace	Rigid4	x	Rigid4
Rigid4_quat_y	ORNT	n/a	84.7117990589249	PhaseSpace	Rigid4	y	Rigid4
Rigid4_quat_z	ORNT	n/a	84.7117990589249	PhaseSpace	Rigid4	z	Rigid4
Rigid4_cart_x	POS	m	84.7117990589249	PhaseSpace	Rigid4	x	Rigid4
Rigid4_cart_y	POS	m	84.7117990589249	PhaseSpace	Rigid4	y	Rigid4
Rigid4_cart_z	POS	m	84.7117990589249	PhaseSpace	Rigid4	z	Rigid4
Rigid4_Conf	MISC	n/a	84.7117990589249	PhaseSpace	Rigid4	Conf	Rigid4
PhaseSpace_latency	LATENCY	seconds	84.7117990589249	PhaseSpace	n/a	latency	n/a
