name	x	y	z
g1	26.31	80.944	-46.192
g2	18.81	83.428	-19.78
g3	12.928	86.651	8.463
g4	16.27	89.322	35.374
g5	53.853	75.289	-47.493
g6	46.147	82.045	-21.396
g7	38.811	85.611	8.683
g8	46.745	82.441	36.339
g9	71.798	72.416	-20.788
g10	75.721	63.081	24.259
g11	76.77	71.457	43.848
g12	96.929	45.139	28.702
g13	101.77	49.621	47.315
g14	109.366	23.304	29.521
g15	113.224	17.437	50.721
g16	86.465	28.362	-33.618
g17	113.614	-17.385	49.914
g18	109.482	-10.236	29.759
g19	99.043	-47.349	52.362
g20	97.687	-39.8	30.166
g21	73.21	-67.073	48.467
g22	67.593	-60.846	26.687
g23	62.327	-70.915	-11.705
g24	42.03	-76.295	44.669
g25	33.707	-78.241	15.624
g26	40.017	-77.563	-16.913
g27	47.342	-70.586	-42.917
g28	9.532	-80.333	44.463
g29	5.026	-78.288	14.654
g30	15.664	-78.658	-14.765
g31	15.225	-73.392	-41.487
g32	88.591	-29.908	-33.41
y1	3.616	90.999	63.187
y2	21.633	80.548	89.847
y3	3.236	66.175	117.736
y4	-17.169	40.872	137.333
y5	33.176	83.783	62.547
y6	47.916	67.615	93.554
y7	30.425	56.441	115.83
y8	15.087	36.693	132.623
y9	58.31	75.462	67.239
y10	83.437	57.152	74.386
y11	68.4	51.565	97.816
y12	48.032	37.306	121.603
y13	98.877	33.406	79.737
y14	81.962	22.641	107.547
y15	106.844	0.484	80.506
y16	58.329	8.614	125.56
y17	84.47	-13.742	108.376
y18	98.748	-30.37	79.236
y19	29.238	12.951	135.661
y20	47.805	-20.71	124.87
y21	66.458	-42.29	102.935
y22	78.631	-52.71	77.474
y23	52.923	-69.657	72.364
y24	13.968	-15.699	136.814
y25	25.011	-40.686	120.941
y26	40.538	-58.292	101.611
y27	24.184	-76.633	71.02
y28	-34.978	16.074	142.355
y29	-18.561	-13.947	141.814
y30	-3.57	-46.368	124.808
y31	11.216	-68.331	99.684
y32	-4.163	-79.913	68.221
r1	-36.937	88.426	11.373
r2	-16.359	91.639	31.754
r3	-45.506	88.782	39.464
r4	-73.109	78.647	43.425
r5	-96.42	62.656	46.318
r6	-27.485	92.335	61.653
r7	-58.647	83.059	70.502
r8	-82.558	67.224	76.638
r9	-101.72	41.452	79.481
r10	-11.761	88.683	90.823
r11	-44.682	79.869	97.707
r12	-72.663	61.549	100.646
r13	-87.881	28.345	106.25
r14	-29.349	65.992	121.716
r15	-53.933	45.675	126.44
r16	-65.291	16.206	128.532
r17	-55.414	-14.135	131.496
r18	-33.191	-35.505	130.476
r19	-87.846	-3.127	108.915
r20	-71.183	-33.545	110.846
r21	-50.875	-53.692	107.917
r22	-21.638	-64.588	106.236
r23	-106.423	13.618	81.862
r24	-101.373	-18.197	83.119
r25	-84.067	-45.368	83.746
r26	-62.475	-63.147	79.673
r27	-33.346	-75.875	73.924
r28	-97.878	-43.635	52.654
r29	-76.024	-60.329	51.161
r30	-55.655	-70.624	48.904
r31	-22.637	-78.951	44.084
r32	-34.947	-74.588	18.92
w1	-36.02	77.202	-37.653
w2	-64.338	67.705	-37.834
w3	-82.096	52.246	-30.959
w4	-99.682	35.041	-29.51
w5	-38.017	85.555	-13.769
w6	-59.187	77.482	-10.754
w7	-77.75	66.251	-8.921
w8	-94.793	52.556	-5.709
w9	-108.071	27.957	-5.603
w10	-59.498	82.614	15.799
w11	-82.135	71.046	21.106
w12	-98.866	56.433	21.984
w13	-117.131	28.607	20.209
w14	-110.019	38.807	53.229
w15	-117.058	11.144	55.402
w16	-112.1	-17.197	55.37
w17	-116.303	7.188	22.853
w18	-108.852	-21.399	25.604
w19	-96.953	-40.779	24.957
w20	-76.856	-58.024	23.791
w21	-55.709	-69.251	19.882
w22	-108.299	10.371	-4.883
w23	-104.144	-17.408	-0.693
w24	-93.566	-35.381	-2.986
w25	-76.558	-50.971	-4.863
w26	-58.212	-63.843	-11.417
w27	-41.639	-71.547	-11.721
w28	-103.25	6.984	-32.029
w29	-95.753	-16.834	-30.974
w30	-78.386	-40.64	-29.126
w31	-58.153	-56.223	-32.099
w32	-35.695	-65.762	-36.779
n1	-8.32	67.313	-90.588
n2	-35.885	70.18	-73.548
n3	-69.403	55.57	-65.191
n4	-97.8	25.883	-56.939
n5	-101.026	-3.765	-55.594
n6	-80.397	-36.695	-62.871
n7	-46.664	-53.491	-71.312
n8	-15.003	-57.906	-89.575
n9	-30.695	71.598	-104.726
n10	-65.59	62.408	-82.422
n11	-90.653	46.976	-78.699
n12	-104.759	11.796	-72.253
n13	-94.84	-22.694	-73.011
n14	-75.389	-45.85	-79.492
n15	-41.106	-60.501	-94.572
n16	-50.429	74.491	-112.597
n17	-85.005	58.724	-95.394
n18	-109.298	25.531	-87.381
n19	-112.116	-2.359	-86.601
n20	-97.855	-42.36	-86.089
n21	-62.125	-57.456	-97.216
n22	-38.64	75.601	-128.408
n23	-76.732	73.148	-110.479
n24	-109.492	48.512	-104.307
n25	-124.755	10.848	-99.852
n26	-112.681	-29.666	-99.941
n27	-87.137	-57.035	-103.106
n28	-50.643	-65.122	-117.591
n32	-0.983	15.028	143.241
