name	x	y	z
g1	18.701	81.492	-20.884
g2	18.39	86.177	4.914
g3	13.481	89.283	30.998
g4	21.983	90.068	58.399
g5	49.342	72.068	-27.763
g6	41.513	82.887	0.903
g7	41.78	85.602	27.61
g8	53.874	84.13	52.829
g9	66.862	71.091	-1.798
g10	84.424	60.59	20.967
g11	83.53	71.86	49.845
g12	101.262	40.964	20.657
g13	104.779	53.617	47.925
g14	107.069	16.055	16.819
g15	120.17	19.827	43.56
g16	69.1	37.726	-32.4
g17	120.152	-10.868	39.459
g18	106.969	-13.963	16.054
g19	105.35	-42.615	44.193
g20	96.118	-37.368	22.451
g21	84.848	-59.148	43.998
g22	74.598	-53.984	23.78
g23	60.5	-62.257	-4.315
g24	53.337	-73.796	46.847
g25	40.346	-72.98	21.795
g26	40.078	-71.614	-4.018
g27	42.496	-66.563	-31.222
g28	24.309	-80.186	51.922
g29	10.501	-76.664	25.235
g30	14.399	-74.664	-0.415
g31	9.743	-71.146	-23.45
g32	75.349	-24.548	-37.203
y1	17.61	87.866	85.949
y2	37.14	76.756	108.052
y3	25.361	61.446	133.709
y4	14.071	31.08	154.534
y5	44.063	84.696	78.291
y6	66.791	66.437	103.167
y7	52.439	54.84	128.655
y8	44.853	31.664	145.867
y9	71.483	75.588	75.636
y10	95.734	59.456	76.347
y11	86.949	52.83	101.425
y12	75.137	33.117	127.303
y13	115.717	35.772	73.882
y14	105.513	23.075	103.811
y15	122.682	4.264	71.296
y16	86.065	5.341	126.701
y17	107.315	-12.361	103.689
y18	116.312	-25.278	72.8
y19	59.924	6.319	143.053
y20	77.753	-24.319	128.037
y21	90.603	-42.838	102.137
y22	95.321	-51.799	73.952
y23	70.621	-67.978	73.97
y24	46.236	-20.795	145.119
y25	55.229	-43.933	128.832
y26	65.593	-60.242	103.803
y27	43.558	-77.06	77.371
y28	0.309	7.429	161.471
y29	14.945	-23.326	154.968
y30	25.721	-51.384	134.202
y31	36.081	-69.32	106.761
y32	17.495	-79.992	82.662
r1	-29.199	89.357	45.87
r2	-7.219	91.078	66.272
r3	-31.834	86.211	77.126
r4	-59.528	73.11	87.865
r5	-78.916	53.2	95.054
r6	-11.088	87.05	97.043
r7	-38.453	76.43	109.655
r8	-61.145	56.85	117.22
r9	-74.755	25.769	122.95
r10	10.31	78.064	118.768
r11	-18.695	68.133	132.132
r12	-39.484	48.233	140.854
r13	-54.721	14.257	144.256
r14	1.048	51.325	147.177
r15	-19.696	28.61	156.35
r16	-30.329	2.25	158.784
r17	-21.287	-28.152	153.633
r18	-0.323	-47.078	144.711
r19	-54.919	-14.928	141.32
r20	-36.574	-47.456	135.787
r21	-20.089	-62.118	124.033
r22	4.88	-69.589	111.937
r23	-76.285	1.975	122.277
r24	-69.601	-27.366	117.348
r25	-54.337	-51.444	110.133
r26	-34.197	-67.5	100.26
r27	-10.052	-76.526	89.241
r28	-71.737	-47.759	84.345
r29	-52.865	-62.536	79.232
r30	-33.883	-73.189	70.113
r31	-6.988	-79.207	58.193
r32	-22.978	-74.959	32.119
w1	-47.117	79.445	-5.809
w2	-68.732	70.792	9.812
w3	-89.441	52.974	19.083
w4	-100.938	28.288	20.821
w5	-44.119	86.059	20.231
w6	-58.777	79.053	27.455
w7	-78.36	66.523	37.845
w8	-90.349	50.697	48.137
w9	-100.456	23.439	47.22
w10	-50.176	83.111	55.135
w11	-72.478	69.311	63.895
w12	-87.518	51.063	69.938
w13	-98.032	26.543	73.105
w14	-90.151	25.643	99.295
w15	-90.427	-2.284	100.524
w16	-85.21	-24.481	95.51
w17	-100.396	8.331	70.771
w18	-95.539	-22.8	67.934
w19	-80.92	-48.687	61.194
w20	-63.337	-61.675	55.441
w21	-41.387	-72.068	46.588
w22	-103.334	5.865	43.885
w23	-98.428	-20.174	42.326
w24	-84.119	-45.782	37.829
w25	-70.727	-57.91	29.362
w26	-53.633	-68.693	21.036
w27	-37.458	-72.651	10.66
w28	-102.553	1.13	19.823
w29	-98.296	-25.506	17.083
w30	-78.902	-49.282	6.03
w31	-63.96	-59.666	-4.737
w32	-37.858	-66.266	-13.371
n1	-38.095	66.691	-89.381
n2	-63.648	66.51	-59.914
n3	-92.991	48.209	-36.859
n4	-113.587	10.879	-23.727
n5	-103.905	-22.165	-26.1
n6	-81.76	-49.505	-43.292
n7	-54.381	-62.018	-67.607
n8	-29.434	-51.682	-95.259
n9	-63.61	70.603	-86.362
n10	-89.585	58.544	-57.307
n11	-111.288	36.155	-43.226
n12	-115.703	-4.677	-36.598
n13	-102.92	-37.261	-52.563
n14	-82.424	-56.725	-65.659
n15	-50.9	-63.653	-97.232
n16	-86.43	71.17	-85.341
n17	-111.06	48.658	-65.254
n18	-127.209	14.104	-53.992
n19	-125.225	-16.077	-55.346
n20	-103.359	-48.701	-66.865
n21	-76.183	-66.89	-90.091
n22	-81.59	76.501	-106.667
n23	-114.106	65.18	-80.334
n24	-134.886	33.732	-67.808
n25	-139.17	-2.01	-63.444
n26	-126.146	-40.17	-66.861
n27	-102.612	-65.824	-83.718
n28	-74.171	-71.486	-120.964
n32	35.984	8.184	154.429
