name	type	units	sampling_frequency	tracked_point	component	orientation_component
lToe_POS_x	POS	m	199.889012208657	lToe	x	x
lToe_POS_y	POS	m	199.889012208657	lToe	y	y
lToe_POS_z	POS	m	199.889012208657	lToe	z	z
lHeel_POS_x	POS	m	199.889012208657	lHeel	x	x
lHeel_POS_y	POS	m	199.889012208657	lHeel	y	y
lHeel_POS_z	POS	m	199.889012208657	lHeel	z	z
lAnk_POS_x	POS	m	199.889012208657	lAnk	x	x
lAnk_POS_y	POS	m	199.889012208657	lAnk	y	y
lAnk_POS_z	POS	m	199.889012208657	lAnk	z	z
lSk1_POS_x	POS	m	199.889012208657	lSk1	x	x
lSk1_POS_y	POS	m	199.889012208657	lSk1	y	y
lSk1_POS_z	POS	m	199.889012208657	lSk1	z	z
lSk2_POS_x	POS	m	199.889012208657	lSk2	x	x
lSk2_POS_y	POS	m	199.889012208657	lSk2	y	y
lSk2_POS_z	POS	m	199.889012208657	lSk2	z	z
lSk3_POS_x	POS	m	199.889012208657	lSk3	x	x
lSk3_POS_y	POS	m	199.889012208657	lSk3	y	y
lSk3_POS_z	POS	m	199.889012208657	lSk3	z	z
lSk4_POS_x	POS	m	199.889012208657	lSk4	x	x
lSk4_POS_y	POS	m	199.889012208657	lSk4	y	y
lSk4_POS_z	POS	m	199.889012208657	lSk4	z	z
lTh1_POS_x	POS	m	199.889012208657	lTh1	x	x
lTh1_POS_y	POS	m	199.889012208657	lTh1	y	y
lTh1_POS_z	POS	m	199.889012208657	lTh1	z	z
lTh2_POS_x	POS	m	199.889012208657	lTh2	x	x
lTh2_POS_y	POS	m	199.889012208657	lTh2	y	y
lTh2_POS_z	POS	m	199.889012208657	lTh2	z	z
lTh3_POS_x	POS	m	199.889012208657	lTh3	x	x
lTh3_POS_y	POS	m	199.889012208657	lTh3	y	y
lTh3_POS_z	POS	m	199.889012208657	lTh3	z	z
lTh4_POS_x	POS	m	199.889012208657	lTh4	x	x
lTh4_POS_y	POS	m	199.889012208657	lTh4	y	y
lTh4_POS_z	POS	m	199.889012208657	lTh4	z	z
rToe_POS_x	POS	m	199.889012208657	rToe	x	x
rToe_POS_y	POS	m	199.889012208657	rToe	y	y
rToe_POS_z	POS	m	199.889012208657	rToe	z	z
rHeel_POS_x	POS	m	199.889012208657	rHeel	x	x
rHeel_POS_y	POS	m	199.889012208657	rHeel	y	y
rHeel_POS_z	POS	m	199.889012208657	rHeel	z	z
rAnk_POS_x	POS	m	199.889012208657	rAnk	x	x
rAnk_POS_y	POS	m	199.889012208657	rAnk	y	y
rAnk_POS_z	POS	m	199.889012208657	rAnk	z	z
rSk1_POS_x	POS	m	199.889012208657	rSk1	x	x
rSk1_POS_y	POS	m	199.889012208657	rSk1	y	y
rSk1_POS_z	POS	m	199.889012208657	rSk1	z	z
rSk2_POS_x	POS	m	199.889012208657	rSk2	x	x
rSk2_POS_y	POS	m	199.889012208657	rSk2	y	y
rSk2_POS_z	POS	m	199.889012208657	rSk2	z	z
rSk3_POS_x	POS	m	199.889012208657	rSk3	x	x
rSk3_POS_y	POS	m	199.889012208657	rSk3	y	y
rSk3_POS_z	POS	m	199.889012208657	rSk3	z	z
rSk4_POS_x	POS	m	199.889012208657	rSk4	x	x
rSk4_POS_y	POS	m	199.889012208657	rSk4	y	y
rSk4_POS_z	POS	m	199.889012208657	rSk4	z	z
rTh1_POS_x	POS	m	199.889012208657	rTh1	x	x
rTh1_POS_y	POS	m	199.889012208657	rTh1	y	y
