name	component	type	tracked_point	units	sampling_frequency
head_ACCEL_x	x	ACCEL	head	m/s^2	199.87460815047
head_ACCEL_y	y	ACCEL	head	m/s^2	199.87460815047
head_ACCEL_z	z	ACCEL	head	m/s^2	199.87460815047
sternum_ACCEL_x	x	ACCEL	sternum	m/s^2	199.87460815047
sternum_ACCEL_y	y	ACCEL	sternum	m/s^2	199.87460815047
sternum_ACCEL_z	z	ACCEL	sternum	m/s^2	199.87460815047
leftUpperArm_ACCEL_x	x	ACCEL	leftUpperArm	m/s^2	199.87460815047
leftUpperArm_ACCEL_y	y	ACCEL	leftUpperArm	m/s^2	199.87460815047
leftUpperArm_ACCEL_z	z	ACCEL	leftUpperArm	m/s^2	199.87460815047
leftForeArm_ACCEL_x	x	ACCEL	leftForeArm	m/s^2	199.87460815047
leftForeArm_ACCEL_y	y	ACCEL	leftForeArm	m/s^2	199.87460815047
leftForeArm_ACCEL_z	z	ACCEL	leftForeArm	m/s^2	199.87460815047
rightUpperArm_ACCEL_x	x	ACCEL	rightUpperArm	m/s^2	199.87460815047
rightUpperArm_ACCEL_y	y	ACCEL	rightUpperArm	m/s^2	199.87460815047
rightUpperArm_ACCEL_z	z	ACCEL	rightUpperArm	m/s^2	199.87460815047
rightForeArm_ACCEL_x	x	ACCEL	rightForeArm	m/s^2	199.87460815047
rightForeArm_ACCEL_y	y	ACCEL	rightForeArm	m/s^2	199.87460815047
rightForeArm_ACCEL_z	z	ACCEL	rightForeArm	m/s^2	199.87460815047
pelvis_ACCEL_x	x	ACCEL	pelvis	m/s^2	199.87460815047
pelvis_ACCEL_y	y	ACCEL	pelvis	m/s^2	199.87460815047
pelvis_ACCEL_z	z	ACCEL	pelvis	m/s^2	199.87460815047
leftThigh_ACCEL_x	x	ACCEL	leftThigh	m/s^2	199.87460815047
leftThigh_ACCEL_y	y	ACCEL	leftThigh	m/s^2	199.87460815047
leftThigh_ACCEL_z	z	ACCEL	leftThigh	m/s^2	199.87460815047
leftShank_ACCEL_x	x	ACCEL	leftShank	m/s^2	199.87460815047
leftShank_ACCEL_y	y	ACCEL	leftShank	m/s^2	199.87460815047
leftShank_ACCEL_z	z	ACCEL	leftShank	m/s^2	199.87460815047
leftFoot_ACCEL_x	x	ACCEL	leftFoot	m/s^2	199.87460815047
leftFoot_ACCEL_y	y	ACCEL	leftFoot	m/s^2	199.87460815047
leftFoot_ACCEL_z	z	ACCEL	leftFoot	m/s^2	199.87460815047
rightThigh_ACCEL_x	x	ACCEL	rightThigh	m/s^2	199.87460815047
