name	type	units	sampling_frequency	tracked_point	component
lToe_POS_x	POS	m	199.907063197026	lToe	x
lToe_POS_y	POS	m	199.907063197026	lToe	y
lToe_POS_z	POS	m	199.907063197026	lToe	z
lHeel_POS_x	POS	m	199.907063197026	lHeel	x
lHeel_POS_y	POS	m	199.907063197026	lHeel	y
lHeel_POS_z	POS	m	199.907063197026	lHeel	z
lAnk_POS_x	POS	m	199.907063197026	lAnk	x
lAnk_POS_y	POS	m	199.907063197026	lAnk	y
lAnk_POS_z	POS	m	199.907063197026	lAnk	z
lSk1_POS_x	POS	m	199.907063197026	lSk1	x
lSk1_POS_y	POS	m	199.907063197026	lSk1	y
lSk1_POS_z	POS	m	199.907063197026	lSk1	z
lSk2_POS_x	POS	m	199.907063197026	lSk2	x
lSk2_POS_y	POS	m	199.907063197026	lSk2	y
lSk2_POS_z	POS	m	199.907063197026	lSk2	z
lSk3_POS_x	POS	m	199.907063197026	lSk3	x
lSk3_POS_y	POS	m	199.907063197026	lSk3	y
lSk3_POS_z	POS	m	199.907063197026	lSk3	z
lSk4_POS_x	POS	m	199.907063197026	lSk4	x
lSk4_POS_y	POS	m	199.907063197026	lSk4	y
lSk4_POS_z	POS	m	199.907063197026	lSk4	z
lTh1_POS_x	POS	m	199.907063197026	lTh1	x
lTh1_POS_y	POS	m	199.907063197026	lTh1	y
lTh1_POS_z	POS	m	199.907063197026	lTh1	z
lTh2_POS_x	POS	m	199.907063197026	lTh2	x
lTh2_POS_y	POS	m	199.907063197026	lTh2	y
lTh2_POS_z	POS	m	199.907063197026	lTh2	z
lTh3_POS_x	POS	m	199.907063197026	lTh3	x
lTh3_POS_y	POS	m	199.907063197026	lTh3	y
lTh3_POS_z	POS	m	199.907063197026	lTh3	z
lTh4_POS_x	POS	m	199.907063197026	lTh4	x
lTh4_POS_y	POS	m	199.907063197026	lTh4	y
lTh4_POS_z	POS	m	199.907063197026	lTh4	z
rToe_POS_x	POS	m	199.907063197026	rToe	x
rToe_POS_y	POS	m	199.907063197026	rToe	y
rToe_POS_z	POS	m	199.907063197026	rToe	z
rHeel_POS_x	POS	m	199.907063197026	rHeel	x
rHeel_POS_y	POS	m	199.907063197026	rHeel	y
rHeel_POS_z	POS	m	199.907063197026	rHeel	z
rAnk_POS_x	POS	m	199.907063197026	rAnk	x
rAnk_POS_y	POS	m	199.907063197026	rAnk	y
rAnk_POS_z	POS	m	199.907063197026	rAnk	z
rSk1_POS_x	POS	m	199.907063197026	rSk1	x
rSk1_POS_y	POS	m	199.907063197026	rSk1	y
rSk1_POS_z	POS	m	199.907063197026	rSk1	z
rSk2_POS_x	POS	m	199.907063197026	rSk2	x
rSk2_POS_y	POS	m	199.907063197026	rSk2	y
rSk2_POS_z	POS	m	199.907063197026	rSk2	z
rSk3_POS_x	POS	m	199.907063197026	rSk3	x
rSk3_POS_y	POS	m	199.907063197026	rSk3	y
rSk3_POS_z	POS	m	199.907063197026	rSk3	z
rSk4_POS_x	POS	m	199.907063197026	rSk4	x
rSk4_POS_y	POS	m	199.907063197026	rSk4	y
rSk4_POS_z	POS	m	199.907063197026	rSk4	z
rTh1_POS_x	POS	m	199.907063197026	rTh1	x
rTh1_POS_y	POS	m	199.907063197026	rTh1	y
rTh1_POS_z	POS	m	199.907063197026	rTh1	z
rTh2_POS_x	POS	m	199.907063197026	rTh2	x
rTh2_POS_y	POS	m	199.907063197026	rTh2	y
rTh2_POS_z	POS	m	199.907063197026	rTh2	z
rTh3_POS_x	POS	m	199.907063197026	rTh3	x
rTh3_POS_y	POS	m	199.907063197026	rTh3	y
rTh3_POS_z	POS	m	199.907063197026	rTh3	z
rTh4_POS_x	POS	m	199.907063197026	rTh4	x
rTh4_POS_y	POS	m	199.907063197026	rTh4	y
rTh4_POS_z	POS	m	199.907063197026	rTh4	z
lAsis_POS_x	POS	m	199.907063197026	lAsis	x
lAsis_POS_y	POS	m	199.907063197026	lAsis	y
lAsis_POS_z	POS	m	199.907063197026	lAsis	z
rAsis_POS_x	POS	m	199.907063197026	rAsis	x
rAsis_POS_y	POS	m	199.907063197026	rAsis	y
rAsis_POS_z	POS	m	199.907063197026	rAsis	z
lPsis_POS_x	POS	m	199.907063197026	lPsis	x
lPsis_POS_y	POS	m	199.907063197026	lPsis	y
lPsis_POS_z	POS	m	199.907063197026	lPsis	z
rPsis_POS_x	POS	m	199.907063197026	rPsis	x
rPsis_POS_y	POS	m	199.907063197026	rPsis	y
rPsis_POS_z	POS	m	199.907063197026	rPsis	z
mSter1_POS_x	POS	m	199.907063197026	mSter1	x
mSter1_POS_y	POS	m	199.907063197026	mSter1	y
mSter1_POS_z	POS	m	199.907063197026	mSter1	z
mSter2_POS_x	POS	m	199.907063197026	mSter2	x
mSter2_POS_y	POS	m	199.907063197026	mSter2	y
mSter2_POS_z	POS	m	199.907063197026	mSter2	z
mSter3_POS_x	POS	m	199.907063197026	mSter3	x
mSter3_POS_y	POS	m	199.907063197026	mSter3	y
mSter3_POS_z	POS	m	199.907063197026	mSter3	z
lSho_POS_x	POS	m	199.907063197026	lSho	x
lSho_POS_y	POS	m	199.907063197026	lSho	y
lSho_POS_z	POS	m	199.907063197026	lSho	z
lUa_POS_x	POS	m	199.907063197026	lUa	x
lUa_POS_y	POS	m	199.907063197026	lUa	y
lUa_POS_z	POS	m	199.907063197026	lUa	z
lElbl_POS_x	POS	m	199.907063197026	lElbl	x
lElbl_POS_y	POS	m	199.907063197026	lElbl	y
lElbl_POS_z	POS	m	199.907063197026	lElbl	z
lFrm_POS_x	POS	m	199.907063197026	lFrm	x
lFrm_POS_y	POS	m	199.907063197026	lFrm	y
lFrm_POS_z	POS	m	199.907063197026	lFrm	z
lWrr_POS_x	POS	m	199.907063197026	lWrr	x
lWrr_POS_y	POS	m	199.907063197026	lWrr	y
lWrr_POS_z	POS	m	199.907063197026	lWrr	z
lWru_POS_x	POS	m	199.907063197026	lWru	x
lWru_POS_y	POS	m	199.907063197026	lWru	y
lWru_POS_z	POS	m	199.907063197026	lWru	z
lHand_POS_x	POS	m	199.907063197026	lHand	x
lHand_POS_y	POS	m	199.907063197026	lHand	y
lHand_POS_z	POS	m	199.907063197026	lHand	z
rSho_POS_x	POS	m	199.907063197026	rSho	x
rSho_POS_y	POS	m	199.907063197026	rSho	y
rSho_POS_z	POS	m	199.907063197026	rSho	z
rUa_POS_x	POS	m	199.907063197026	rUa	x
rUa_POS_y	POS	m	199.907063197026	rUa	y
rUa_POS_z	POS	m	199.907063197026	rUa	z
rElbl_POS_x	POS	m	199.907063197026	rElbl	x
rElbl_POS_y	POS	m	199.907063197026	rElbl	y
rElbl_POS_z	POS	m	199.907063197026	rElbl	z
rFrm_POS_x	POS	m	199.907063197026	rFrm	x
rFrm_POS_y	POS	m	199.907063197026	rFrm	y
rFrm_POS_z	POS	m	199.907063197026	rFrm	z
rWrr_POS_x	POS	m	199.907063197026	rWrr	x
rWrr_POS_y	POS	m	199.907063197026	rWrr	y
rWrr_POS_z	POS	m	199.907063197026	rWrr	z
rWru_POS_x	POS	m	199.907063197026	rWru	x
rWru_POS_y	POS	m	199.907063197026	rWru	y
rWru_POS_z	POS	m	199.907063197026	rWru	z
rHand_POS_x	POS	m	199.907063197026	rHand	x
rHand_POS_y	POS	m	199.907063197026	rHand	y
rHand_POS_z	POS	m	199.907063197026	rHand	z
lfHd_POS_x	POS	m	199.907063197026	lfHd	x
lfHd_POS_y	POS	m	199.907063197026	lfHd	y
lfHd_POS_z	POS	m	199.907063197026	lfHd	z
rfHd_POS_x	POS	m	199.907063197026	rfHd	x
rfHd_POS_y	POS	m	199.907063197026	rfHd	y
rfHd_POS_z	POS	m	199.907063197026	rfHd	z
lbHd_POS_x	POS	m	199.907063197026	lbHd	x
lbHd_POS_y	POS	m	199.907063197026	lbHd	y
lbHd_POS_z	POS	m	199.907063197026	lbHd	z
rbHd_POS_x	POS	m	199.907063197026	rbHd	x
rbHd_POS_y	POS	m	199.907063197026	rbHd	y
rbHd_POS_z	POS	m	199.907063197026	rbHd	z
start1_POS_x	POS	m	199.907063197026	start1	x
start1_POS_y	POS	m	199.907063197026	start1	y
start1_POS_z	POS	m	199.907063197026	start1	z
start2_POS_x	POS	m	199.907063197026	start2	x
start2_POS_y	POS	m	199.907063197026	start2	y
start2_POS_z	POS	m	199.907063197026	start2	z
end1_POS_x	POS	m	199.907063197026	end1	x
end1_POS_y	POS	m	199.907063197026	end1	y
end1_POS_z	POS	m	199.907063197026	end1	z
end2_POS_x	POS	m	199.907063197026	end2	x
end2_POS_y	POS	m	199.907063197026	end2	y
end2_POS_z	POS	m	199.907063197026	end2	z
