frame_start	frame_end	Left-Cerebral-White-Matter	Left-Lateral-Ventricle	Left-Inf-Lat-Vent	Left-Cerebellum-White-Matter	Left-Cerebellum-Cortex	Left-Thalamus	Left-Caudate	Left-Putamen	Left-Pallidum	3rd-Ventricle	4th-Ventricle	Brain-Stem	Left-Hippocampus	Left-Amygdala	CSF	Left-Accumbens-area	Left-VentralDC	Left-vessel	Left-choroid-plexus	Right-Cerebral-White-Matter	Right-Lateral-Ventricle	Right-Inf-Lat-Vent	Right-Cerebellum-White-Matter	Right-Cerebellum-Cortex	Right-Thalamus	Right-Caudate	Right-Putamen	Right-Pallidum	Right-Hippocampus	Right-Amygdala	Right-Accumbens-area	Right-VentralDC	Right-vessel	Right-choroid-plexus	Optic-Chiasm	AirCavity	Skull	Vermis	Pons	CSF-ExtraCerebral	Head-ExtraCerebral	ctx-lh-bankssts	ctx-lh-caudalanteriorcingulate	ctx-lh-caudalmiddlefrontal	ctx-lh-cuneus	ctx-lh-entorhinal	ctx-lh-fusiform	ctx-lh-inferiorparietal	ctx-lh-inferiortemporal	ctx-lh-isthmuscingulate	ctx-lh-lateraloccipital	ctx-lh-lateralorbitofrontal	ctx-lh-lingual	ctx-lh-medialorbitofrontal	ctx-lh-middletemporal	ctx-lh-parahippocampal	ctx-lh-paracentral	ctx-lh-parsopercularis	ctx-lh-parsorbitalis	ctx-lh-parstriangularis	ctx-lh-pericalcarine	ctx-lh-postcentral	ctx-lh-posteriorcingulate	ctx-lh-precentral	ctx-lh-precuneus	ctx-lh-rostralanteriorcingulate	ctx-lh-rostralmiddlefrontal	ctx-lh-superiorfrontal	ctx-lh-superiorparietal	ctx-lh-superiortemporal	ctx-lh-supramarginal	ctx-lh-frontalpole	ctx-lh-temporalpole	ctx-lh-transversetemporal	ctx-lh-insula	ctx-rh-bankssts	ctx-rh-caudalanteriorcingulate	ctx-rh-caudalmiddlefrontal	ctx-rh-cuneus	ctx-rh-entorhinal	ctx-rh-fusiform	ctx-rh-inferiorparietal	ctx-rh-inferiortemporal	ctx-rh-isthmuscingulate	ctx-rh-lateraloccipital	ctx-rh-lateralorbitofrontal	ctx-rh-lingual	ctx-rh-medialorbitofrontal	ctx-rh-middletemporal	ctx-rh-parahippocampal	ctx-rh-paracentral	ctx-rh-parsopercularis	ctx-rh-parsorbitalis	ctx-rh-parstriangularis	ctx-rh-pericalcarine	ctx-rh-postcentral	ctx-rh-posteriorcingulate	ctx-rh-precentral	ctx-rh-precuneus	ctx-rh-rostralanteriorcingulate	ctx-rh-rostralmiddlefrontal	ctx-rh-superiorfrontal	ctx-rh-superiorparietal	ctx-rh-superiortemporal	ctx-rh-supramarginal	ctx-rh-frontalpole	ctx-rh-temporalpole	ctx-rh-transversetemporal	ctx-rh-insula
0	30	15.441346625356395	16.362883899053124	9.912787756416947	26.328466774638912	19.737805191177	22.28947327589326	30.425964282769808	17.624421609837814	8.29257302055731	17.234037951344877	42.12288165839915	19.283335066769176	40.08137008024957	45.023628114374716	64.43824056678277	9.520924147381887	7.8027718045945385	1.7889798421126146	10.288239792201399	14.9402947134991	7.178527017750021	8.95616963195994	26.75013282017497	30.086437358396037	16.57083138470896	2.329383833202493	16.952419179413287	13.938941167736948	21.773298254216304	16.124162724483156	1.7761469461013006	15.401298939317051	87.99058818817139	5.895087900823088	99.85289794122274	10.538032230027731	7.868840371829915	13.618737300244225	11.307661517716795	17.08023303452579	5.4618961887974296	36.189077818720186	16.664286353862305	11.465083146799396	7.139196766700328	42.720649972751644	9.37035866527733	14.60525046100709	16.755735440281477	5.764298195658	6.899457660829939	25.271218250766772	14.478458529583168	16.267869392716015	21.389692041581675	2.689563497868629	8.243690741694692	14.991998303859559	6.116037971405666	27.126255607436956	11.074711391380726	18.90585922679687	3.843389473522292	15.018821578435285	7.199698774306991	30.041106597621503	23.510446579475666	11.082662723747559	12.066108267275936	29.144528147488867	23.265531225717876	6.533613652465633	10.623792995658654	19.692709555335913	62.13055549924034	17.54273906028517	13.069576377377478	14.58759345378185	16.55808543434634	21.92208089616369	23.287501981590616	11.760816292226195	20.778863336452464	11.12618208974577	18.49253544665295	30.026605214890655	11.94505459896691	15.47956104151239	19.26141832613451	48.579600794194945	12.512711517148158	37.201080927634635	14.385965605441971	15.856858737139367	3.2296120336794143	14.374450465673489	7.09462391538553	15.802938319492243	8.491698555130693	16.563172245765053	12.212558544432277	20.150698945120162	3.748564446555113	31.093151385950733	12.200570928629372	64.70016018453192	54.96137727572373	16.032373912071407	18.378092885154157
30	60	1596.1376672835286	1292.2839057273577	2045.5991069120519	1658.1150248756792	2212.764867214716	2151.8557720394606	1875.2029253487708	2417.1727964090887	1752.8450420402287	1808.7878404272221	1734.1607028999406	1751.6194582840635	2120.850741995115	2241.687942548712	2420.348051555012	1798.9373106484418	1867.722701503644	1930.1080228365386	1948.4487545911004	1599.047397793433	1281.6730812445073	1736.4105827048973	1542.4508033369837	2150.8324699583236	2280.209136788909	1855.9368433519676	2800.6523484789736	2030.462799623077	1858.8474278658414	1689.0342360499822	1580.9476875379248	1654.51929306188	2076.052032470703	2375.5821698552913	2373.184743053508	295.6751041117366	448.8464943077978	2832.4595739509487	1694.063079658721	2229.308325245435	313.80167948879875	2733.1682672133384	2109.676156739813	2518.6596126822537	2621.414864555186	1390.1440899139384	2009.2026223833707	2307.3944589413522	2031.9902024683165	2231.763781479817	1952.5240034989542	2657.490883175214	2545.953784722983	2836.5050871398726	2099.4506082125567	2056.497400447735	2155.1700991647854	3019.701208810068	2142.149878892913	2379.320908669025	2867.43677209627	2574.1646009699	2549.6149472944553	2395.3466845980947	2437.9821862516787	2650.33566028372	2313.134625278361	2552.050023955887	2032.762067534768	2465.3309295917566	2536.722068501946	2670.9070325287453	1680.6977210459586	3432.5575719621447	2969.9113056287993	2587.97946771757	2764.0584635526243	2273.4336479289377	2448.7585796716207	1756.2027099941226	1820.7193117133522	2253.105076216041	2028.9853102711797	2408.753379203814	2154.266884713329	2579.36281464057	2462.180725874021	2724.903655162205	2039.8760695788867	1903.4710270799326	2587.695098115571	3027.5290692840613	2716.8424727037363	2486.774315216632	2934.1882137841	2490.8436770579683	2993.643606393644	2470.9478752075715	2634.4999557994897	2614.4387753409464	2506.6100753478545	2716.8464412195603	1978.8299155508764	2759.099806666495	2419.104682705195	2366.4114794904776	1667.3098535425522	3631.193050732719	2466.99536849083
60	90	5620.481946951536	4594.530534988584	7907.807821834788	6197.091984731028	7981.414254847173	7586.585664369606	7170.897011137408	8838.039848301121	7159.898589699626	6425.240418935725	4951.038813613555	5615.011955924939	6924.428457997573	6259.420406249199	6756.242573600988	7543.241338574979	6309.820688146223	5637.122934194712	7938.762321920956	5595.866553054119	3852.890399659617	5698.712823260272	6022.626092993315	7955.290677705552	8274.478340534488	6971.864985839141	9501.006255980876	7151.894888070913	6205.927246611334	5293.101832617525	7879.3436441267195	6207.89791963723	7843.6514892578125	6534.787372159091	5779.427432654039	905.0401055546647	1474.5941636512478	8196.03259866449	5769.40205863885	7102.069352280891	960.1874683655507	8487.786659124991	7480.046328643085	8850.846796282898	8888.073079618443	5386.020503176669	7057.505865719311	8033.317671880459	7393.576469940115	8066.3002259296945	7306.618903170023	8885.923445713692	8821.580032594116	8539.895950873244	7647.3131324139695	6984.120364141925	7402.004622907535	9073.40269609088	8001.562338252205	8686.133790843882	10305.879373564483	8078.994600187855	8303.254053577293	8478.886565932624	8912.872501828711	8121.798814003659	8582.241472836162	8813.40311681995	7562.123277701996	8167.067026156918	8326.519410015952	8912.363992722216	5650.985375338547	11674.809266493055	8647.768814053148	8534.878341989059	8952.502910766967	9263.16743224	9935.965985705063	5168.78792450449	6878.085637759215	8086.749497857844	7407.5492924736545	8795.27297633851	7756.935874747694	8481.94624204606	8564.110092127796	8822.464035593912	7727.197215884788	6477.873551895456	8941.384715124603	10140.232654705946	8882.726819796335	9113.16336064552	11695.075684036377	8163.340811632037	9205.073701401512	8555.895214486252	9204.655323960567	8323.573004631753	9146.147468186535	8988.296282965059	7159.699911982722	7916.004976410067	8535.989984543536	8224.291577165533	5992.485198017195	10428.381276840611	7704.439965526651
90	120	10248.44324803661	7716.773320817075	11782.441011316636	10947.077249372673	14595.095405675738	14265.932652751813	13535.249402788346	16980.33582619039	12813.532512532138	10190.577899007276	9098.319823729491	9872.87112892746	12177.459568488644	10474.693279029992	12407.715135782748	13436.75068544042	11173.486887097339	8692.435208834135	13104.706794289981	10323.588611344954	7952.400065750362	9919.885167100694	11062.385691816375	14664.351417004447	15011.902025841115	14222.424376533058	16752.437362879384	12859.111648959564	10978.362933751732	10546.896501692934	15287.486300734898	11257.935012669992	10186.847412109375	12324.895254794033	10126.991726857312	1605.2283942318145	2634.063394694527	15469.507752044292	10112.09887975734	12396.345150928253	1723.599911216292	15144.05479404445	13529.542966800218	16490.459603243096	16577.881222245836	9613.969328078287	12781.467444821412	14935.739844708534	13252.778088108467	15280.902402658214	13793.191743389812	15210.06243437302	16504.84160751614	15656.499080641648	14278.829894198641	12489.776500235108	14511.464039473436	16591.133294018735	14047.761632430174	16306.473433845884	19246.70612916454	14535.119123764081	15494.205029993198	15534.331606623702	16387.019819783534	14768.726079202754	16131.83748612049	16030.4779124684	14172.109087926838	14764.623053883986	14936.8052976973	15461.30540232779	10613.402268683487	20239.875029839408	14881.15103842521	15415.63728390482	15810.197537671585	16516.282776035718	17373.269271100155	8917.679369433063	12183.164372165977	14685.480395657307	13056.036655981563	15552.749583159231	14324.474973869517	14939.617399476321	16229.626549587183	15636.247171615933	14058.749517634986	10968.251884769355	15059.566909149786	16956.792519419465	15522.088857962779	15931.571832261441	19696.085831016495	14793.754729618024	16219.19923361599	15547.154931163963	16384.302482161398	16108.66430388998	16718.23255524433	16209.89536524863	13054.227130973426	14513.664685988064	15242.819264729058	14777.861572607559	9714.970158595665	18760.472929608266	13355.987858578248
120	150	14838.915780780859	10977.660373979286	17472.306830193014	16577.072691831385	21601.62076232364	20327.94229006289	19728.014772214294	24412.968514267377	18507.606142569843	17080.059181331082	12284.28599307991	14820.784054156622	16936.17828617121	14283.875383091403	17997.437391423722	21592.774421666436	16269.237350750183	17717.715970552883	15677.626332900103	14879.565717617976	10638.493404972149	14402.335340711805	16418.26042392976	21112.779373107012	21050.68336048471	19755.1706697681	24395.799460276936	18278.866100145708	16436.20500821128	14778.448745252352	20055.706312786544	15764.58151309762	13817.870361328125	16690.463815696025	8700.102810841687	2135.5910141307645	3716.0215751147352	22422.855842686906	15645.57565118091	17492.17519759609	2372.1481198266874	21342.550060508132	18561.01005474989	23944.122104540853	23763.132190823402	14468.652412084124	19389.410909031347	21711.668644865913	19486.05901958173	22991.797985532918	20027.54429246105	21926.452437682343	22970.482288331525	22137.3164802396	20471.025371455253	17161.150454126575	21624.6373219279	23436.29882605484	20211.31631659593	23216.493556788617	27753.089561534758	21284.95339820172	22336.904747774697	22337.923140820483	24027.65720088065	20402.53879819682	22905.015903919135	22819.474292878032	20604.474342757836	20618.26979731529	21760.536522593116	22204.89031229685	16673.003003856804	28774.34269273546	20697.788921545747	21838.336652156035	20402.74805111203	23386.47172924045	24451.331432851268	13872.060937336628	18300.884503762183	21680.78416038383	18922.086013231	22915.18354779707	20926.612841145365	21183.502686029686	22997.327605836002	22646.665433373622	20488.121121797343	16115.621199127734	22146.498182207204	24878.242654035224	22259.471627169485	23270.99614300854	28213.53298914627	21994.776888851928	22661.019511186958	22542.510780260924	23783.677523865405	21802.721889236673	24140.82415817262	23414.63014959324	19606.73776108281	20596.46115106108	22274.822848206364	22428.707681265867	15968.367638202742	28056.847245222172	19349.0244762585
150	180	16721.768062188166	12516.609653173145	19540.615263097425	18673.11021457523	24178.892622553176	23286.40263523617	22731.371451542294	27626.70547137268	20398.4829557126	19265.903307985624	13841.524538530186	16485.139411173448	18246.95245249337	16579.062899120334	19452.222256888977	24459.841932659554	17785.679463070504	17829.127103365383	17059.595088285558	16741.356836332885	11890.688913511618	15391.503063512731	18720.05820157082	23725.222758855314	24872.46286627935	22696.70152501744	27673.893209178088	19712.018443895708	16859.316031837338	16488.09782478306	23825.051743063985	17645.5677928165	16517.437255859375	17725.625270774148	9280.082353699881	2359.951264874319	4009.8142254372983	24512.80407637584	17164.29852523127	18864.37686781773	2537.183868543348	24360.888351102138	21029.682961184844	25881.530186974407	26382.52641207013	15142.309015590912	21314.98987023077	24146.498969289827	22369.78497900403	24917.144085184507	23210.56618826786	24181.60027298256	26164.66513549908	24579.70035682027	22696.607906685058	17957.467033512155	24097.67471754081	25954.4391109969	22785.78135150915	25131.24972301801	31566.111134407518	23739.02587040725	25930.923246634193	24339.096593839422	27164.34180788151	23619.00723586597	26304.382046761453	24957.08038263172	22924.325278796783	22416.176169610026	23962.27817429903	24400.479390613393	16723.73262942942	31887.70732421875	22360.306088644214	24867.1163222254	23490.068326355384	26592.48910992029	27448.043714909516	15885.567724466424	20225.350320782192	24347.44333359807	21998.61641762743	24981.836036688015	23605.38852603045	23268.106641654995	25306.165464301706	24496.1752178835	22727.88192522885	18491.400118694495	24192.12156242912	27755.72744177305	24298.57877282699	25844.92067398435	31446.509861738377	24504.514312012052	26675.994084786897	24652.924333208608	26566.978537739604	22851.40163858452	26545.793356621874	25745.704670602943	22128.791789670435	22173.8193546818	24655.20546597754	25789.341871416535	17536.48423473882	31804.37624595905	21858.065622851504
180	240	17070.768047509177	12286.26748474362	15848.310724954044	19547.5823973339	24747.45023996241	23759.143092086684	23515.204579491096	28780.477641501282	22044.26655269296	18489.827311426194	14159.257135755886	16337.212855128219	17973.423186415926	16301.766515206646	17519.315432183506	24445.16752229039	17825.69477227215	16105.727764423076	16773.68505231072	16967.68035535313	11034.454014406921	14882.146869574653	19457.273133679933	24249.88785354524	24994.790344892925	23243.279985813355	27730.97600538373	20266.585151046143	17852.62867421289	17495.233628005717	24616.74791203142	17599.767239364886	17558.697265625	15930.29151455966	8922.996347103479	2234.0424302636097	3990.324192260988	25455.398115327087	17421.680158414467	18651.2421928089	2567.892750249366	23561.318079909477	21161.18696353127	26508.970902330773	26850.12527994235	16125.900231468038	21725.31910427402	24682.811543496897	22939.97836840702	24149.359947281995	23267.068779426325	24064.28142518873	26036.971040084543	24383.205478804568	22966.17856692987	19396.50473364633	24723.546835323457	25710.4299037625	22122.685815985395	25565.283360434692	31232.526119959744	23885.931682480288	25094.48198600122	24760.707606646578	27506.311786126127	23478.464787566696	26514.500177547154	25145.36485335521	23558.768278045958	22698.669567282406	24277.13916252702	24212.33550363345	18259.596965000062	28927.05187242296	21919.252468025486	25306.413891322227	22768.466781387924	26094.3731261876	27497.59324354612	15773.925833937814	21229.808145474908	24644.201950059636	21930.0950821071	24863.39460382047	24459.993992793785	23290.051501233786	25978.05888401835	24614.217398854915	23295.581690299474	18208.1861569468	24549.908847448045	26788.4273462652	24275.962841146953	25590.926963295533	31420.920271171246	24150.26650869201	26178.2682281192	25052.85045938358	26914.415959917627	23760.606876080252	26947.049518711432	25597.29898620079	22592.234712889098	22176.281473506406	24705.738143940278	25058.576674517462	17566.230869667204	31019.962728194725	21507.703182828725
240	300	16758.01275329577	11424.275311697585	16897.799813304227	18801.933451199795	24096.58307070006	24144.85182292255	22466.273162984005	27459.985706549913	21704.35113261371	19618.163707759904	13266.88428536761	16324.613328272097	17927.12314366732	16466.749420554217	17278.122021328374	23775.1937048109	17532.664380651924	14643.896559495191	14237.041260663202	16638.18956758108	11062.630185474178	14275.648506221065	18787.601969550124	23466.517095679712	24008.958567762435	22086.963321826806	28076.14097678855	20390.46379374597	16833.34855589148	15758.205995764287	24580.50414644013	17276.266634826196	17133.49560546875	14228.191720525569	7585.735388413915	2172.451029170031	3925.9854204038156	24845.3494088861	17599.466643436175	17797.7510415619	2559.1253727718135	23320.093632060423	21022.804219552196	25586.11305008695	25834.954695996385	15731.490748222366	22156.22446999241	23764.09750078968	22362.4806751225	23569.8115170836	22306.88740281735	22791.882334996066	25256.75645525591	23441.706752578113	22827.453855545555	18783.540732785932	24102.07866842692	25113.71401085646	21942.382233823737	24413.930156505787	29763.72485222932	23037.814661670353	24763.306668233596	24003.828143976258	25962.35024506191	22246.91267483278	25096.232435961825	24242.353243477304	22734.59385964165	22097.826210959596	23606.704237573267	23604.870120633765	17235.558932296983	26968.710981580945	21178.47892115088	24198.324898991705	21783.51361284878	25427.81554078089	26832.88958331891	15457.426776396187	20913.027215352377	23784.161773287946	21701.124364552914	23212.128996146985	23525.180955284155	22965.53754693827	24825.526676407742	23917.58797310845	22584.04637061344	17882.584525718135	23296.601030252397	25353.765477581157	23184.536657049197	24400.26089809317	29261.11060727467	23325.67110024257	24557.646677270266	23960.775106355344	25884.25705907308	23111.30802795056	25689.67390223104	24537.859343328142	22393.717221893534	21909.825959522226	23966.16522328516	24466.715062587537	17629.016597732843	26184.645491965643	20922.017661052996
300	360	16052.612783330345	10699.281435974362	14539.825485409008	18489.51505043977	22892.33313455217	22759.368706440335	21752.82408894364	26359.573693751234	22158.966948867554	18023.11811270052	12770.75657702123	16089.998639582138	16862.014916896194	16933.14226275582	17387.397463745507	21994.178663141338	17644.736338716055	16980.439227764422	12060.900541417739	16012.552654681103	9911.540467570694	11997.182879412616	18206.692097888594	22284.41436378278	23774.888023223863	20980.00785914809	26191.06523613316	20327.885521862914	16388.503483104767	15892.268020577085	23619.54283074602	16622.60101836553	17822.766845703125	12878.385495383523	7300.698691314122	2035.7532072109725	3845.8288135546964	24297.54766845703	17302.21481002208	16688.813204221304	2527.783146464612	22641.282255335198	20497.87338669424	23753.533239299988	23930.815232621448	16121.907510788269	20848.78627923151	22377.091209375914	21588.01192577528	21720.820868951087	21139.493604510186	22093.21237597372	23594.891728387458	22992.82450318406	21492.89098419037	18196.009007774705	22539.2059935195	23365.95755845022	20435.528372474866	22834.263628208315	26309.051526792184	21923.334621708604	23001.321239464756	21991.119530158216	24424.475350805904	22137.44918763774	23835.557384808046	22513.849136646906	21428.080980507093	21048.919129134403	22070.37090467295	21057.629673497282	17084.783154476318	25623.554922824434	20330.303917162903	22953.15039866991	20918.168952617725	23554.86757653596	24803.03448516075	14778.73670122824	20361.10571096285	22133.216673737905	20558.861054563058	22098.772770178108	21975.64767646139	21364.135674364272	23000.243533477093	22823.909448813276	21219.40907341436	17167.34112712024	21454.35619546843	22979.88059492935	22054.964650450165	22459.593316556737	26771.79644400738	21938.962802105198	23499.13807385133	22476.411864012927	24148.64088111618	21766.81680467683	24257.14687642611	22965.733295402704	20689.137272648815	20856.032713325618	22548.39638660931	22881.1708628764	17870.57964034735	26091.624803895156	19871.124873800858
360	480	15321.131069210813	9145.850324539715	14379.42900390625	17540.193944445968	21134.964232206614	21705.381063053497	19190.21319619896	23722.46681970774	20133.54330131136	17475.695615193286	11486.286625399236	15235.024861559581	16139.541921313124	15965.289244027621	14641.316361633886	21311.893844723305	16647.89556732414	18361.04387019231	10568.783735387466	15254.67981114497	8800.114706029648	12196.20853407118	17188.30049965249	20336.70553211246	21670.369147419136	18871.6194011745	23643.35079989903	19760.51496318691	15105.41838361388	15647.316327263326	22314.563486043688	16420.03730672304	16539.299560546875	11460.894162819603	6519.111314305719	1991.7413225461166	3843.799741782109	21354.916600867164	16539.00855640948	14810.197934959064	2426.9521912320383	20419.584797702286	19197.739493457644	21288.7810241902	21186.94098424891	15429.405118936096	19513.70622898303	20420.82727488787	20032.432134936716	19965.369659060365	19031.474030730933	20116.7136883299	21312.88106413477	20647.059524131633	19981.746513107726	17166.80297393017	20134.480125831316	20604.57995791783	19614.020418899374	20786.81288934606	22897.08824924674	19465.910948576115	21466.267939724323	20193.247395118473	22218.0092181532	19660.454088271825	21639.192975415994	20685.116477895386	19418.40024110512	19839.214885527705	19912.439964756715	19976.316799124143	16209.237183464551	23723.107611083986	19194.36573945289	21132.977865328234	19668.769927193203	20876.407134565463	21532.643318551487	14605.986440852415	18959.30234253989	20430.2571007316	19313.64759927398	20657.702376695488	19949.702273626583	19515.467159028038	21155.376828612054	20592.58147456784	19898.21163391774	16222.087480118113	19897.80070815732	21597.628402860064	20257.807545905565	20561.95979738002	23392.276514645655	19628.759596910273	22129.917572807084	20080.0969159334	21703.71230921755	19402.128986268777	21855.555424488874	20641.99010355645	18820.208790099907	19255.514641125676	20161.601262198823	20846.84128329066	15864.40251010072	22841.28337545956	18641.23514238516
