frame_start	frame_end	Left-Cerebral-White-Matter	Left-Lateral-Ventricle	Left-Inf-Lat-Vent	Left-Cerebellum-White-Matter	Left-Cerebellum-Cortex	Left-Thalamus	Left-Caudate	Left-Putamen	Left-Pallidum	3rd-Ventricle	4th-Ventricle	Brain-Stem	Left-Hippocampus	Left-Amygdala	CSF	Left-Accumbens-area	Left-VentralDC	Left-vessel	Left-choroid-plexus	Right-Cerebral-White-Matter	Right-Lateral-Ventricle	Right-Inf-Lat-Vent	Right-Cerebellum-White-Matter	Right-Cerebellum-Cortex	Right-Thalamus	Right-Caudate	Right-Putamen	Right-Pallidum	Right-Hippocampus	Right-Amygdala	Right-Accumbens-area	Right-VentralDC	Right-vessel	Right-choroid-plexus	Optic-Chiasm	AirCavity	Skull	Vermis	Pons	CSF-ExtraCerebral	Head-ExtraCerebral	ctx-lh-bankssts	ctx-lh-caudalanteriorcingulate	ctx-lh-caudalmiddlefrontal	ctx-lh-cuneus	ctx-lh-entorhinal	ctx-lh-fusiform	ctx-lh-inferiorparietal	ctx-lh-inferiortemporal	ctx-lh-isthmuscingulate	ctx-lh-lateraloccipital	ctx-lh-lateralorbitofrontal	ctx-lh-lingual	ctx-lh-medialorbitofrontal	ctx-lh-middletemporal	ctx-lh-parahippocampal	ctx-lh-paracentral	ctx-lh-parsopercularis	ctx-lh-parsorbitalis	ctx-lh-parstriangularis	ctx-lh-pericalcarine	ctx-lh-postcentral	ctx-lh-posteriorcingulate	ctx-lh-precentral	ctx-lh-precuneus	ctx-lh-rostralanteriorcingulate	ctx-lh-rostralmiddlefrontal	ctx-lh-superiorfrontal	ctx-lh-superiorparietal	ctx-lh-superiortemporal	ctx-lh-supramarginal	ctx-lh-frontalpole	ctx-lh-temporalpole	ctx-lh-transversetemporal	ctx-lh-insula	ctx-rh-bankssts	ctx-rh-caudalanteriorcingulate	ctx-rh-caudalmiddlefrontal	ctx-rh-cuneus	ctx-rh-entorhinal	ctx-rh-fusiform	ctx-rh-inferiorparietal	ctx-rh-inferiortemporal	ctx-rh-isthmuscingulate	ctx-rh-lateraloccipital	ctx-rh-lateralorbitofrontal	ctx-rh-lingual	ctx-rh-medialorbitofrontal	ctx-rh-middletemporal	ctx-rh-parahippocampal	ctx-rh-paracentral	ctx-rh-parsopercularis	ctx-rh-parsorbitalis	ctx-rh-parstriangularis	ctx-rh-pericalcarine	ctx-rh-postcentral	ctx-rh-posteriorcingulate	ctx-rh-precentral	ctx-rh-precuneus	ctx-rh-rostralanteriorcingulate	ctx-rh-rostralmiddlefrontal	ctx-rh-superiorfrontal	ctx-rh-superiorparietal	ctx-rh-superiortemporal	ctx-rh-supramarginal	ctx-rh-frontalpole	ctx-rh-temporalpole	ctx-rh-transversetemporal	ctx-rh-insula
0	30	6899.311223515094	4556.545041138465	7119.62604437934	7140.6650956475705	9102.765187774192	10029.785432950674	8414.926482944795	11480.741414640575	7538.33084782477	7940.790214773113	5704.74575860335	7364.358409059283	8819.930764073912	7902.0477212330325	10259.466293281794	10485.541331210727	8031.50758365056	7929.668914145612	7935.797066824777	7041.1265942184	4821.758014098977	6444.16681640625	6709.975667472593	9581.236907346463	10071.269872556657	9016.307112308352	11443.037821428887	8048.174604710524	8207.559729539797	8179.321200882676	10158.450769839079	7909.322304389478	12784.225390625	6405.421549030172	7105.240771484375	1275.195679880562	1980.4915148508044	10243.78047261145	7567.983648726124	9903.532799904193	1562.9523624121491	9856.865569044903	10171.447534194142	10785.07584073353	12402.422847459296	11368.091431330506	9086.227615476715	9558.591865300365	8539.877136729057	9990.224509810429	9813.955127650732	10165.931816366712	11024.08456982842	11178.687561289758	8363.972796373353	8296.365542704403	9223.828580551804	10492.51197603816	8603.496444845787	10235.056423445521	13443.05611813423	9788.317183880023	10341.821448937311	10040.385726108914	10724.274317861393	11617.747603942806	10582.949252604696	10435.0913925469	9267.073463556248	9281.451478958617	10716.00005895904	12169.967303527228	7137.328870291369	10268.749770702307	11218.086262219058	10625.496876560419	10632.060454823899	11200.806802754387	12954.720992987388	8315.34857575939	8829.563658728399	9591.239682527228	8269.104418113906	10492.97905483926	9927.11053195581	11238.389143367533	11021.766638206374	10101.335825335518	9056.226192673706	8718.419048937552	10461.701926038204	11778.896608656309	9775.530485768271	11874.600970517113	14002.96800041735	9949.486314979193	11597.53120490453	10318.536635458659	10986.685294467983	10333.019786611725	10758.747238848779	10962.319537934325	9636.259697249336	9850.41125392025	10448.63789360827	11386.495852801983	9525.92035118456	14360.339660644531	11492.45170772424
30	60	13911.107897932594	8662.215774247194	14044.196571180555	14717.018495979732	17992.347858151734	19098.85983239401	16478.374954328385	21859.088953258004	14947.54939190878	14982.028555181962	10916.071414665394	13830.982705080976	16214.580490333447	16382.839743318675	19935.212056974084	20231.285531446363	15616.96457400312	15803.79282330452	15037.76498300058	14276.230223470535	9516.030383845715	11574.386512586805	13997.74108014113	18698.643033593846	18886.605460519182	17203.890515897896	22293.546036976524	16855.15630756161	15876.96324638461	14620.379919995208	18574.992385200832	13735.478410129472	16514.4685546875	12080.445876212285	13704.986274857954	2312.82846788991	3747.8208208109613	19577.23691720515	15364.502011975825	18228.87464405314	2970.7149841145497	18098.115475724382	19148.596507097856	21092.74178687869	24983.948808087687	17308.361385883472	18344.74323938006	19407.965236653927	17273.42899038524	18784.501770175102	19795.986337050897	19578.118828904444	21539.040260885562	21432.587804523075	17035.969287069674	16528.783147978465	18342.265864562214	20435.642778462203	17219.984796014407	19587.424465979642	26854.408913967032	19359.082877648514	20467.64404978369	19544.12824820538	21730.233361393177	21528.238778878003	20786.49713881536	21091.631590163204	18961.988523433818	18386.60403222748	21006.579275021704	20959.95901724938	13207.11229827385	21752.493373910835	20244.49154242154	19485.882298428485	20653.37989524233	23218.133128104662	25661.47575834058	14460.084460023552	17690.191975272795	19933.061211351236	17440.627420027242	20473.354522331527	19831.23918979991	20859.584909838955	21098.620215794017	19875.34626684296	17957.678657710378	17061.975557198817	20096.840019535888	23469.14934765501	19444.38757363981	22936.510293101615	26376.138002833588	19371.52877121957	22586.38185486867	20561.99768863177	21865.554553864098	20308.41663834156	21945.16762899525	21910.498256711468	18351.863458399577	18664.35877323371	20615.286150300635	22357.30928936298	16945.642963884566	25279.74104856095	21225.380831668732
60	90	20684.9910130631	13309.81863945427	22011.331065538194	21176.645628745653	26590.9240094401	28359.398066016725	26258.88026913571	32613.576849701854	23143.0645544262	21850.340938630197	15787.113127162163	20596.16849688076	23377.771767215454	22894.964331021652	28589.589868702817	29283.497836484516	21693.591049835788	26122.121758643618	21643.09382104621	21164.004574194463	14143.13039099566	18194.936853298612	20258.708138388356	27448.309324266254	27810.57508238082	25521.045767063908	34015.8854552007	25768.973522155266	22876.18558643016	22209.73975719692	27744.436374830162	20674.000677892458	29153.81796875	19255.854408674568	17030.217613636363	3460.4128173290337	5373.762163781638	28396.321368297457	22234.244530750722	25380.66770185929	4273.095675737887	28316.73238316978	28293.347497826006	31236.924641011672	37536.45934340533	23674.35793103816	26587.609083165153	28292.18968155484	25008.01057561487	28734.36482657511	29123.198495752313	28353.02634674125	31663.778180783233	31459.179612508	25318.57911938395	22784.422572927382	27503.782285710608	30790.978082927886	25965.04780595187	30026.19056896417	40310.389651221994	28267.12416646266	30062.325351871936	29671.498433349738	31673.699798429436	31176.250220167938	31225.682705130363	30872.41189017801	27240.358475788984	26360.51918848413	30145.103709484887	31973.716753364788	19854.889329105277	31504.719272061713	28572.823862160367	30008.374529706918	30769.16926285948	33076.38613162256	38285.7808997577	22105.25569075594	25015.54980178896	28692.010843561045	25084.858410654077	29944.22871260062	29125.359284501996	30869.073453680267	31640.585758901794	29731.20894459928	26275.641283184046	24110.57061867749	28580.245918427925	33873.336618331945	28512.482452094362	33844.04002391582	40148.12488101863	27988.40561463898	32064.36378524769	29473.826857872675	31985.981316386235	28156.946897834394	32289.784203278617	32032.819322825588	27502.496245569226	27308.859870242806	29756.28183386218	32676.354224008413	25133.25552053214	38780.30770701283	30126.693767458288
90	120	23552.414403895753	14004.134569063179	22040.823220486112	24865.962112686408	31079.196359913753	32384.76556800498	27953.343079032285	37384.935147521726	25344.84194361973	26720.717708097876	18160.765435698497	22933.093951011906	26060.261403622833	25242.009701533956	30205.435636478294	30072.718097789497	25010.82809078921	26883.256524268618	25062.89848723235	24088.482197330566	15562.742066824927	23122.028059895834	23263.24993312122	31348.457959329768	31444.022277438646	31057.948919071612	39381.36616102675	28089.94670042953	26028.51659445678	23943.983044685352	30334.641365382984	23491.418316226573	29647.6078125	21248.08495016164	16908.951693892046	3719.9713601683443	5929.68813674073	33515.058689701196	24987.677325924786	27089.82509988932	4902.131329511884	32665.1490701815	32264.428750832594	35504.259975217945	40022.288813572304	24472.53355767317	30193.793674996956	32894.24978745359	28962.773058714047	31880.255450330555	33269.76781973084	32828.48454512182	35476.788398739336	35248.71390514641	29649.152567312143	25340.76610814615	30876.268948183286	33872.646448967775	30314.292744232553	33421.44156042982	43560.397041274184	32601.104702512097	34350.5580588693	33159.59925778012	35977.43854323277	34001.652312247985	35053.054696228166	34698.43413840935	31451.540614978072	29793.27149801577	34283.76640407108	32919.90001353651	23403.253262184582	35367.88434183373	31986.318032100284	33543.08449064442	33104.45164514664	38276.102096891445	40705.49018156685	25671.32857098917	28966.73635141158	32560.97409608722	28487.08015116994	31669.90957519791	32287.777215606307	34396.09773174289	35068.23846349307	32375.702637633134	29547.143490027524	26289.09128455274	33404.735672754396	37042.01853327574	31954.566320681493	37004.779401307394	43688.68399645619	31494.37030629848	36895.50401197879	33818.18520169839	35610.39833604661	31892.814074875892	36200.32906596247	35750.56617945057	30904.312697267254	29968.913939214333	32297.694291479173	36847.94279071515	28286.421991422932	41573.380963019605	33306.410914667365
120	150	23254.027352224224	14186.26849079046	25498.27689887153	24045.176977542094	30777.117261405474	32705.83039273274	28236.613101356907	38201.11802395981	26569.972109034174	27026.371420448122	16316.666762513636	22754.823796605393	26680.29682082024	25236.97109758225	29051.917740771994	33399.90110244614	24727.96726110503	28884.082737699468	26425.15672988488	23919.245045208972	16617.267311607888	20735.012473958333	23570.76191670867	30421.793105146495	30871.163277304047	29828.744686417438	37918.54605294063	29783.522884710048	26600.897973970335	24251.981166442194	30926.86206585428	24200.28256907204	31602.93984375	22510.799877424568	15761.226161221592	3791.374850342688	5830.773135514362	33099.97853702178	25421.496828482355	25833.994319082467	4959.680235418688	31720.200085151486	33541.47673017503	34155.98343798334	39476.00461542039	24007.636174931755	29832.341773576216	32437.879699500816	28918.52019852888	29430.272978258417	32439.653442588628	31542.700432421196	34808.25721223939	33678.130355169524	29627.525905153187	23684.74251168124	31843.415497645954	32915.21802961919	28376.206841028918	32314.9467889953	43048.67556167261	31600.656837511884	34820.170016915785	32990.6430645298	34649.835540616936	33227.58197759272	34014.42156700162	33742.76804112273	30751.0753216993	29532.865448634857	33664.16257666811	31994.36023456838	23020.755179865733	36585.431368333986	30680.27667642227	33205.58495530265	32453.368147645742	36532.8432369734	40277.08614484965	25843.671099462175	29144.646434362894	31392.37913261657	27904.654995595247	30848.234613033863	31386.242433402367	33463.431443329406	34960.21519144374	32430.99790575501	29321.584570933355	24692.157338753892	32038.69692819958	36049.627708432636	31180.605443938315	35635.73169377126	43767.02943050023	31240.511860229537	35897.27914614004	32993.145987173266	34498.01423722747	30653.357322955013	35148.480366095115	34780.77556781922	30152.00113791115	29619.115778309813	31721.268871441902	35611.53725661058	27191.369125854926	39404.49508954894	33003.71578142358
150	180	22816.348219893578	14095.39162462267	24933.150412326388	23585.27485700898	29398.578166945215	31331.215111877522	28170.57219327669	34980.816290912066	24974.532577329737	25045.548713339173	15702.741103053586	22321.897810743485	25819.973372307377	22850.855110633034	26801.248657084787	29292.87038543537	24633.888868016853	26888.824010970744	26093.98682609437	23300.031797676776	16725.233930734616	21669.38681423611	22919.9717172064	30049.244159366437	30997.230422027995	31050.24157686652	37090.33155856586	29578.413714153012	25827.715297568517	22460.303812157093	32575.36452583645	22970.361391832637	32723.938671875	21021.756427801723	15241.649829545455	3467.510277680117	5614.39833788741	32398.734414115992	24644.869987481983	24851.813036103566	4920.223715116021	31738.137059653676	30320.489297707594	33027.427234559545	37456.33942248775	22756.858457528862	28847.46658553062	31137.15598604345	26914.05509335974	28318.907241497185	31422.57365373203	31255.496273699573	33054.455749004504	33661.12207475647	28632.289108068213	24391.20790957576	29475.344450373006	31782.679502913805	28109.59737127195	31759.605225422274	41897.16052937246	30935.20468175682	32506.09263677032	31263.399037374726	33168.39286401776	32291.633559547812	33050.45243613629	32655.451193584187	29917.91886120811	28638.746358663684	32386.279973942666	30343.821806350556	23297.47405240019	33208.84031053459	30295.10261738594	33293.24086547797	31243.573882910063	34439.27138133698	38042.60050944334	24148.554537006115	27259.17779372139	30430.679024014513	27028.982117308988	30555.61048773034	30526.465302452496	32907.592695353065	34183.70982503624	32183.359238451936	27967.096422486167	26096.336547644314	32126.252067687306	35864.974661507986	29853.680747404316	34976.98259486607	42226.48430727214	29850.916554426236	34327.39889149083	31241.64573245789	32791.45626269639	30279.898829693775	34213.21717286985	33468.64413615045	29244.347346991635	28594.4314611024	30669.263579738024	33717.87802058293	26272.103337080876	37109.37199891288	31657.240286449432
180	240	22145.964092759357	13536.404486749923	22576.02021484375	22744.723481979625	28549.7604651091	31103.338050856288	25726.55973875277	34371.85191128469	24864.85716152145	26482.051167989943	15871.193223679016	21676.17359394675	25354.467575073242	23111.541168254185	26747.389094938662	29448.764429280745	23470.11908775378	25859.781873337764	24248.20695503679	22569.488012648988	15408.489177573054	20993.685243055555	22504.76526467994	28797.553204740012	30394.474039511806	27852.044899321594	36551.32855254428	28795.600372562563	25078.504839941335	23203.349086751386	30627.8326814071	22867.673303346834	28080.089453125	21083.522167295258	15265.71092684659	3494.183654367039	5510.302143567592	30257.111182359422	24046.87925430907	23479.567177425826	4937.07467914573	29305.49221876191	29285.6238089291	30922.118832606862	37038.28148354068	22844.987597034236	28399.56234754402	29598.76252957234	26667.219150882684	28544.74938228481	30074.618329581568	29301.231930713202	32327.557487909362	32203.124722066685	27461.113353329823	23909.959437157064	29531.66392539518	30906.821510878348	26271.592495884437	30677.883383425968	39310.67009133146	30035.03462849824	31372.6208996163	30541.869153649757	32520.806580707354	31277.628169587468	31431.762978977822	31247.34437500526	28958.54687400241	27522.726727686368	31498.383660677056	28920.68973255724	21638.077419498575	33974.257652810535	29391.973140472262	30330.943841804678	29668.076247861132	32868.08866516806	36249.619950608845	23048.125812886672	26871.46777383052	29523.373600743904	26248.912301701224	27742.531490632486	29180.123515777068	31157.970343350677	32838.67949510339	29954.15249751897	26977.230271590073	24171.67563258259	29751.043698794823	33504.87067978928	27755.870397432307	33495.73517299107	39586.979700862525	28356.783604101587	33756.221746125186	30313.136319631696	31669.50181801734	29366.603988436385	31862.07579350275	31712.871047812456	28042.199363646137	27373.197952757866	29376.894937636684	32863.90082857572	24208.637960304994	37058.831973669665	29894.943475707943
240	300	21488.114708510755	12849.171119215254	22688.364952256943	22135.251825217267	27323.621617557565	29704.943227700966	25456.590233983927	32805.544263790674	24683.166903667294	24683.353909428686	15748.427183965176	21381.76184057972	24668.93914463209	23389.736863978982	27145.186675422836	28138.907393121634	22998.674065941814	25688.99168882979	23979.68553137401	21904.74765815965	14523.510363419406	20673.272938368056	21560.41502608367	27399.63322705755	29276.38707860626	26256.889798417655	34158.21505220077	28040.262592098577	25433.795572285046	22812.29483459892	29271.28088113536	22707.005884210183	29828.87421875	19912.382842133622	15648.017610085228	3380.9704409668234	5410.814799781252	28540.04853893412	22836.344312269695	22062.740892107213	4993.069970058444	29047.8267126316	28390.16689447343	29129.70039765537	34652.12893292082	22793.909963425558	27051.445096562074	28533.957634360024	25503.45294081352	26218.574361459217	29073.16782090941	28223.12939447477	30607.970233851054	30180.813260104107	26243.54939232386	25247.15385302355	27689.01853191919	29171.102441171937	25811.80072379475	28849.88088728453	37833.91402272149	28860.142166678197	28972.26745287745	29117.06879662422	30367.78252871862	30165.9000617578	29868.651427821787	29361.47111384525	27521.130084095184	26330.096633358797	29709.016751309915	28978.33225943688	21550.2407153987	32707.721956073114	28265.5640848094	29332.851943068963	29800.22280165556	30485.948390930058	34692.60421688618	21589.43458019896	25861.910896212994	27065.2720540959	24972.7013021003	26237.587324644923	27944.378806155124	29086.516694182134	31362.961693157868	28673.333268412043	25642.085264021676	24637.84051579301	28634.032430409196	30328.919124985106	26791.604176633755	30541.344735863095	36921.14854549848	27256.69284604008	31775.56365515842	28557.468159321663	29687.723104548408	27637.861295006416	29896.93478263255	29926.35598923796	26244.237750289954	26190.4828305456	27475.9505782624	31670.786822415866	23712.842411570702	35456.62199430646	28308.3768541502
300	360	20825.27450474768	11796.756834313932	23727.21646050347	21908.214118181408	26042.963536551124	29326.494178024248	22700.885509499694	31318.713408433454	24688.831440484126	24074.06541732595	14922.378136707985	20963.8606076259	24803.96981148098	23523.26514200461	25041.657167583115	26344.833984375	22629.292446879976	24550.578748337764	23964.64797376199	21206.649552799336	14057.578041285617	20127.896788194445	21124.1512437311	26198.048999316088	28540.213750624574	24322.300896272372	32108.782710623356	26625.51862515085	25445.322802580416	22901.351525833717	27269.367922575577	23017.731511611633	26454.451171875	19719.79318830819	14608.665408380682	3358.3686895559044	5304.753812813242	26874.157603346455	22136.440653511843	20807.26987870316	5007.093510164104	26262.57216886195	27050.64088576358	27372.84270247469	33369.91040551963	21012.601827744682	26126.57735961635	26979.06090812716	24507.424587991296	25135.79650702594	27852.565453432122	27249.230057678753	29634.53843604206	28248.098740578782	25339.848286970508	23494.15740338863	26421.866897946496	27276.995665999482	24362.15155670144	27022.80981553699	35903.2815228806	27002.701019314827	28170.513864535198	27532.01559880331	28469.81151763595	28046.54999681518	28099.944546603634	27655.00474404914	26289.56464343421	25636.769073702064	27636.833854814646	25853.20722366182	21397.369351600308	32126.16261710561	26736.53103412196	27522.622395399885	28020.161293696718	28732.251698640008	34047.354606734596	21913.264848912928	25017.445492504277	25680.336490734822	23728.27945730239	25706.077070998537	26803.79488914365	27460.657719181774	29876.409143499233	27337.24347693435	24107.506791796088	23755.289145400042	26642.609131729027	29568.445248264718	25588.12891706535	29521.798123937075	35426.374839832766	26061.102559223335	29762.50495067895	26742.400879701974	28304.75334325235	26405.290375041834	28186.631212449283	27627.78092396722	25170.806731154542	24904.992693476826	25605.36289463251	29627.644016676684	23279.850061599893	34070.351758273144	27687.220750192275
360	480	20065.453866226497	11613.1648828147	21877.913433159723	20862.66249879916	24835.465545793268	28283.642280723303	21880.521924330933	30198.543298831242	23309.653543743185	24443.640796295775	14275.801584211358	20505.51609891689	24320.537338477978	21811.54247518289	24419.55546330575	27469.11928789834	22555.300281565153	24266.280003324468	22762.14508734809	20421.5659040496	13313.56012872429	19729.597065972222	20530.126552450856	24802.94623983964	27899.79543605912	22499.253562874386	30554.737909121337	24924.811793381607	24016.602387000137	21925.753727566433	26436.91293467646	21822.552867405186	27193.140234375	19434.48323747306	14351.586061789772	3286.2083957042128	5219.180827589828	25728.615617511125	22298.78250488228	19591.497667494525	5039.146019707541	25851.371986203078	25118.977407813425	25930.224273455075	32470.28240470993	19773.5793539226	24748.258137896682	24997.783994457528	23650.848326140953	24290.447658490204	26554.649513200624	25408.487086217647	28815.67696596739	27008.651254792083	23861.707146471846	21684.20431232496	24825.96550526839	25865.67538968775	22689.380351647356	26065.52290613511	34055.2658525331	25628.58299484045	26846.51798665303	25914.742153356	26950.43953710481	25806.93847136986	26197.957644667993	25606.875966913973	24562.424445632343	24290.406876144494	26121.488034305617	24175.29637318224	20757.107888383598	29808.797626359406	25680.761036689644	25184.971075024965	26965.480750649167	26555.36196609535	31768.606583157307	21234.19286560127	23752.36947248332	24163.09010221687	22437.05504415613	23940.768597304916	25177.508630088287	26164.943104389313	28849.519028389306	25458.23368844974	22925.72786569381	22281.228315006898	25379.30417637586	27303.65664503148	23708.30341160678	27111.420813403485	33935.39286276505	24393.642888200982	29054.10597060454	24918.174958471594	26487.130341217002	25058.83294767612	26274.483943898253	25996.607290549557	23771.410208743288	23888.656246266426	23866.720421794133	26919.080932241588	23085.146362304688	32398.562951429834	26098.454038472322
