frame_start	frame_end	Left-Cerebral-White-Matter	Left-Lateral-Ventricle	Left-Inf-Lat-Vent	Left-Cerebellum-White-Matter	Left-Cerebellum-Cortex	Left-Thalamus	Left-Caudate	Left-Putamen	Left-Pallidum	3rd-Ventricle	4th-Ventricle	Brain-Stem	Left-Hippocampus	Left-Amygdala	CSF	Left-Accumbens-area	Left-VentralDC	Left-vessel	Left-choroid-plexus	Right-Cerebral-White-Matter	Right-Lateral-Ventricle	Right-Inf-Lat-Vent	Right-Cerebellum-White-Matter	Right-Cerebellum-Cortex	Right-Thalamus	Right-Caudate	Right-Putamen	Right-Pallidum	Right-Hippocampus	Right-Amygdala	Right-Accumbens-area	Right-VentralDC	Right-vessel	Right-choroid-plexus	Optic-Chiasm	AirCavity	Skull	Vermis	Pons	CSF-ExtraCerebral	Head-ExtraCerebral	ctx-lh-bankssts	ctx-lh-caudalanteriorcingulate	ctx-lh-caudalmiddlefrontal	ctx-lh-cuneus	ctx-lh-entorhinal	ctx-lh-fusiform	ctx-lh-inferiorparietal	ctx-lh-inferiortemporal	ctx-lh-isthmuscingulate	ctx-lh-lateraloccipital	ctx-lh-lateralorbitofrontal	ctx-lh-lingual	ctx-lh-medialorbitofrontal	ctx-lh-middletemporal	ctx-lh-parahippocampal	ctx-lh-paracentral	ctx-lh-parsopercularis	ctx-lh-parsorbitalis	ctx-lh-parstriangularis	ctx-lh-pericalcarine	ctx-lh-postcentral	ctx-lh-posteriorcingulate	ctx-lh-precentral	ctx-lh-precuneus	ctx-lh-rostralanteriorcingulate	ctx-lh-rostralmiddlefrontal	ctx-lh-superiorfrontal	ctx-lh-superiorparietal	ctx-lh-superiortemporal	ctx-lh-supramarginal	ctx-lh-frontalpole	ctx-lh-temporalpole	ctx-lh-transversetemporal	ctx-lh-insula	ctx-rh-bankssts	ctx-rh-caudalanteriorcingulate	ctx-rh-caudalmiddlefrontal	ctx-rh-cuneus	ctx-rh-entorhinal	ctx-rh-fusiform	ctx-rh-inferiorparietal	ctx-rh-inferiortemporal	ctx-rh-isthmuscingulate	ctx-rh-lateraloccipital	ctx-rh-lateralorbitofrontal	ctx-rh-lingual	ctx-rh-medialorbitofrontal	ctx-rh-middletemporal	ctx-rh-parahippocampal	ctx-rh-paracentral	ctx-rh-parsopercularis	ctx-rh-parsorbitalis	ctx-rh-parstriangularis	ctx-rh-pericalcarine	ctx-rh-postcentral	ctx-rh-posteriorcingulate	ctx-rh-precentral	ctx-rh-precuneus	ctx-rh-rostralanteriorcingulate	ctx-rh-rostralmiddlefrontal	ctx-rh-superiorfrontal	ctx-rh-superiorparietal	ctx-rh-superiortemporal	ctx-rh-supramarginal	ctx-rh-frontalpole	ctx-rh-temporalpole	ctx-rh-transversetemporal	ctx-rh-insula
0	30	610.2323634001532	261.3516399150931	668.9909383985731	569.7744637097118	850.461995197826	774.0304433896611	528.8588209523216	922.1921040656233	662.9333494540505	620.1947371360407	506.9410855595979	766.8478178326009	713.3752353001332	831.0513696838296	901.0817220335638	1008.3925328143409	592.9767442982668	993.8918236265791	461.9769648900108	654.2612719253741	421.4943049013139	709.027846069336	592.4789894830027	884.5562871694648	684.2188856524882	684.8740011572012	987.5014714639199	1108.224579826603	956.8101833527626	903.8037719726562	1163.1355028152466	901.039301909793	326.73435668945314	661.1179757585197	2284.8056600674718	130.9943377784401	169.1270947089526	774.4575395280472	650.5872886767263	968.5770120029543	97.88878740651894	836.4133966492443	995.0821409253696	825.5403433371716	1176.0932508623566	1338.5348596824529	745.8685731046411	773.8348400115667	711.8506963610313	860.3872104732284	835.9685202014722	867.489810888446	1032.7261765042483	1049.9239406202344	786.8557641376314	942.1473645636302	838.2474110598982	962.6807060679001	810.6395486243647	964.5228096012535	1241.737121513662	878.8054851052113	924.5191945436089	764.8294496758307	1015.712570480953	1059.6747108954396	866.5259027710313	978.5013264932614	757.330669526276	1016.5262035454023	815.0645254402782	829.159307181481	698.7396084231322	1301.462423968365	1301.3727427186636	878.3463595441538	1140.0768393334233	943.4335286814696	1201.485615366638	921.9628285685862	914.238213952392	874.2153162238332	790.5309281337998	938.0086290928961	813.3740803971746	1058.4431011454792	1022.603569834177	888.5728956894035	831.6760489643775	1005.1457806313584	826.6083201886469	1214.5094071186115	875.9965045717718	1084.1316805137583	1154.2619641276308	792.7154796825548	1169.1975490650996	877.7405302101879	926.7110613157291	948.1162887089808	898.1011031360364	1033.7471409806578	885.0205407719297	924.8205739521496	858.165019770447	930.079595090426	687.9462908782144	1382.6828042156292	1251.3395356272983
30	60	5870.171279562513	3106.8478948801244	5894.107503255208	5744.951269200716	7884.181528619358	8153.631522883083	6076.1226847842845	9607.633740312305	6398.553660878612	6830.192389876243	3889.5623408656193	6285.698617104379	7304.33992291879	7339.717354863519	9387.040137172438	7807.131962171791	6228.428064249933	5449.354263630319	6071.698874821738	6214.098870137244	3776.471001390396	4428.0040462239585	5701.765421433972	8400.021670942913	7778.545656203278	6229.127268379335	9788.298580497962	8009.9719305271055	6237.023037092795	7123.577380571209	9326.39236649223	5896.613407261548	7750.9806640625	4736.184918002425	7813.902686434659	957.7636853700416	1391.5165478250628	8298.130344264191	6426.178383327498	7646.570141982414	933.5244178949235	7701.438709072951	9341.402636314016	8346.64132584013	11595.366757689404	8727.440121235037	7279.091871716651	8130.8483991649155	7382.533705049039	8896.292876134206	8057.216756101848	8285.046570141927	9298.31238189844	8998.950902227836	7472.367394255282	6768.40408946152	7988.834239776039	9138.560455102597	7794.545779052461	8007.483862060818	11500.757282550758	7850.539880210329	8890.898865275632	7990.75674963928	9085.330246108397	9467.17154249795	8759.213107275214	8952.130102568666	7714.5476530040005	8098.627912886067	8817.914627711049	8359.072169660814	5511.773921224183	11145.533085917026	8996.475834888777	8287.62006127247	9507.563771829597	10179.958877178944	11312.127465092259	6735.361010385176	7163.13075576446	8260.622772179644	7292.856878788835	8849.058660924404	7983.926181165882	8377.657313984957	9309.428116727466	8541.149758747306	7688.428429999745	7006.276566838435	8145.307138008619	10121.537224967478	7666.213305266439	9361.979269504676	11167.16024640127	7662.894932462385	9886.019303897392	8412.272912782975	8887.200480662434	8337.503566784499	8623.075400500351	9141.11554162817	7617.085759597027	8103.286911554006	7874.467026893173	8752.650383112981	6580.757487558385	11706.537171561762	8896.810450654135
60	90	13249.194223426024	7160.471594353858	12342.198611111111	12973.413914881497	17132.584663616482	17960.690402982287	14979.389079148492	20986.619715929242	15268.624652546352	16039.488494928233	8887.29005285639	13466.609794881242	14588.631567692411	15246.797471310998	17392.260514209494	20969.102132307562	14542.33040063943	18907.611245013297	12511.326522584945	13856.303523323857	8328.938865018297	10646.629127604167	13155.053248519405	17846.55142722986	17866.482717518767	16141.219557411952	21351.023318961972	17898.319808339686	14351.955932824438	13653.36133845353	19569.50763868249	13317.153814208661	19789.43828125	10713.455642510777	15180.960486505683	1916.5141150271652	2924.7937934087936	18629.346187394352	13935.70211534719	15248.009018064728	1995.5987195728749	17880.63533187494	20542.348279538557	18669.630523235377	23722.17833036535	16508.585055350388	15643.904882075878	17969.38644501018	15975.030340486603	18415.62469093498	17682.76719474471	18348.19430950423	20276.10405914845	19683.634916719995	16287.46744535079	14906.009889090721	17046.170710846425	19495.396975259722	17623.461660999736	18602.80293556747	24953.61361896958	17327.32224084506	21559.398660735336	18361.66158183551	20200.11504007064	20377.261077632047	18980.80742095259	19319.111415509953	16761.373752285246	17097.43381449754	19021.836042387276	16459.23119633741	12538.521913836334	24473.69748468619	18447.594860058114	17381.564139090588	20990.25529393499	20747.241950999334	24516.18910560077	14587.091448651927	15747.199696124877	17676.009581147344	15924.37651536438	17638.91424258457	18145.350428632308	18625.910250897803	20221.436494408783	18415.334800386845	15899.708093293897	14611.07492422936	16722.24624147508	21071.188690990428	16891.024141611106	20143.18075441114	23858.489779500058	16273.623750323044	21444.524352446908	18380.34093996423	19359.26956632697	18570.123341456103	18302.838176339636	19704.603779250112	16704.883922148667	16901.75480269626	17135.77241934168	20308.764731820913	15238.989271279332	23570.398688550264	18958.750911469462
90	120	20457.5826889904	10397.163553552653	20233.032101779514	19583.305909840634	26172.816550075357	27118.0461628012	23292.686294660416	33061.648109670095	23273.651384228822	22528.291156899864	13401.965799453448	20033.859415205945	21840.024589428	22586.007981647497	26732.4110908464	27943.463791797578	19959.14532784302	29188.96600731383	18039.611755048158	21582.38396962327	12871.848265206323	16395.28943142361	20259.60153452621	27169.57975268924	26296.283429835654	24834.820451767286	34299.986399688205	26692.675738575013	20396.547695710422	21247.67846770062	31038.627677585766	20753.469097044657	28226.4046875	15625.442868399785	21070.425639204546	2875.248805021773	4393.812878722633	28121.332489943514	21253.67213048056	22109.92430299932	2915.6391408951245	26105.689175861637	31252.713280324897	28854.187525045698	35548.853556657035	24004.625562034376	24218.769449311116	26994.51979136997	25026.262334634568	26179.940756591175	27032.416709418536	27825.933220973107	30812.403501700548	29659.1661806074	25736.328653291286	22694.662160726024	26115.547364518658	29818.40037812833	27098.043197217496	29446.397706432956	35458.351227167135	26665.129630134714	31525.933341413027	27811.926740814088	30527.706875464122	30498.9701752066	29311.691371618366	29439.39951940687	25671.783011319407	25995.77514883408	28856.714452825934	27340.1275090888	18301.20171332203	34491.09317266117	27672.226929763267	28348.257460538727	31819.53974262278	30551.493559447263	36582.19746132579	21389.36395243075	23654.349894758416	26912.39523071953	24307.973493424768	26708.906498948076	27738.1125310716	29254.138843029774	30681.59023570277	27961.225036544896	25386.977964652346	21827.354890660372	27402.678767291025	32271.61344571715	25628.671304013133	30422.911754357992	36680.38306785233	25563.207181630958	32433.48246830994	28174.672586125795	29101.06822201064	25832.109580248074	28762.435071821845	29562.43176635725	25785.0781219457	25372.09553779775	26198.459319064805	30514.88152719351	21498.793392303574	36556.30003270563	28463.441576159523
120	150	25208.151948835108	12760.992296856948	23046.478385416667	25082.107626806355	32575.3154463263	33591.6790135966	28560.462755146506	41011.97544271757	28299.355802475915	28642.756025372964	16948.137851418953	25140.528521484805	25580.93865237029	26088.73238355252	29846.427826246734	34072.858649152826	25178.21522234939	35214.89349235372	21868.441850611773	26309.749491033046	15090.569272651532	25381.553294270834	24613.29639764995	33147.716902994245	33902.44725400502	29724.946623134834	42738.19423868494	33603.746940798876	25888.53020427518	27043.701343328597	35037.700235118034	25255.694269314426	41954.93359375	19438.350010775863	20281.187219460226	3446.80590331899	5195.7506576331025	33460.62497258537	26705.50513170687	25573.409955126263	3641.4326238526733	33283.480924652846	35786.86316561205	34870.86523920838	41732.11568846289	25937.300407597104	30936.845177309122	33247.85128396445	30456.95154801358	32830.54585653741	32708.601380515684	34286.67354571826	37290.07949665813	35844.05324080246	30956.063944419664	25984.18239928055	32413.405645154904	35181.19763896294	31221.510054058654	35201.30290725149	42374.311850814665	32567.06293728003	38847.209120673804	34322.03643378007	36283.35473613791	34690.09818312988	35402.34081674189	35093.357837594944	31518.475860965	31035.19935798564	34751.71021514495	32657.16090849319	24198.93010506233	40326.46164791339	32336.28745649366	34133.7054912027	37161.68266174727	37101.22896239356	43491.81389630964	26785.809009530545	29022.586687092044	33171.54422082027	30086.882973606087	31870.70284850652	33433.100139613576	34840.43302890544	36272.324354521086	34305.64164194781	30619.02695306443	26250.35630604043	32174.741840334467	37278.698089202015	31760.534657471497	37834.39013605442	42781.74102697399	31297.847142561382	39939.47122962578	34561.12907318448	35703.31546432294	33199.83547645443	35141.18984606644	35298.44948694824	31527.13026154608	30375.296019078556	32147.22200646068	34196.82038912259	25937.393761034113	44505.03825176887	33008.83982055017
150	180	25355.75297508181	12641.134370024727	23748.069661458332	25009.10709358455	32769.382808447284	33258.4314716712	29971.17720558987	42236.83960060516	30658.201051638996	28767.163101830924	17218.706178271776	25180.832742891675	25570.742925671562	24983.16618014737	28572.064446319688	34893.79105419659	25121.691725136014	31451.426653922874	22523.205866092096	26251.89872676098	14964.724548932163	21455.395842013888	25194.956952778477	33107.49873180949	33040.006521955955	31210.566300812825	43385.65581328096	35149.80450687563	26018.983511418413	25445.811572498016	35715.08164380944	25761.66195777242	35486.99375	18583.627459590516	17963.51892755682	3152.436138305725	5058.5314533539095	32780.85973506772	26490.383334668277	24914.836476043085	3695.067788864155	32656.049764493615	36241.24229041778	34772.11544748313	42164.35869455204	23125.235619028663	31040.46556208087	34316.22829310349	30623.25880625277	30452.15383265519	33343.13890940786	34224.01153157082	36639.625203741205	35285.79806487308	31583.955424937467	25745.69986309371	32107.655227405918	34395.74420414973	32457.876789592297	35104.05355946734	43099.96536166624	32577.873956138064	36782.56406117385	34047.08307036077	36847.52232170031	35328.806918950504	35492.44260690149	35765.29812395796	31535.24084881284	30954.763066940235	34791.844816710014	30979.082512762994	22528.38341774596	37867.90295384565	32481.45921227967	33484.2257268087	35190.48517473058	38016.16261618146	43120.79966839588	23765.260581807157	29722.41187326677	33514.19294932338	30832.868896802516	31625.058969510876	33978.56245465828	34569.38189554308	37848.440328021905	34691.69733222266	30936.777711569866	25679.90719948182	32319.00567292137	37568.505693045954	31403.54115686075	36691.07259034864	44005.33226189081	31552.982875316913	37740.26923549515	34722.69451133178	35423.59806736191	32379.222791774737	35436.163991421854	35033.30955559598	31136.89202423732	30090.84646967406	31860.85585277334	35240.8283984375	26794.82893083783	40361.24922381707	32094.514221327016
180	240	24580.144079190042	12582.015722579199	24311.596549479167	25008.205582841998	31656.744742608917	33138.42402276838	29110.38572766197	41390.96772338846	28208.051891776235	27015.0609759974	16598.82176792353	24121.681090359583	25630.847713304604	25903.241475230465	26785.4786233758	36046.89737152155	25569.92493976828	30818.03951961436	21959.2527333416	25377.774241915413	14594.207814900865	22878.446358506946	24723.990597845263	32165.489722358565	33063.912065800076	31003.528750800648	41246.1906568548	33419.685681847055	26161.549331683542	25804.269801341055	33091.158025326935	25200.270111961316	32917.828125	18525.642662984912	16314.898753551137	3029.6861554564557	4930.095898857773	33106.91811852747	25664.905842027816	23818.438282919855	3724.9643955197885	32792.45314844643	35729.986845026644	34113.83496621028	40457.79595861782	22170.59992660231	29973.538874288868	32633.1686403813	29878.927057706773	28550.04639543065	32376.38165871944	32176.593593207777	34170.602450931256	34901.796343945534	30388.38065919248	24765.179682141632	30249.520998321084	33892.199577508494	29402.53378664938	33054.45511443448	40836.691387156316	31576.87534725179	35384.27595350222	32989.2243016375	35101.54314308181	34102.546932465215	34452.11521850561	34034.54196824161	30926.886571183626	29365.980681595876	33174.321198808175	28429.577801090654	23016.799858359616	37404.40205712788	31645.330787696275	32161.21810069213	33961.799423818746	35776.44484815278	40184.104489469435	24136.278581754428	29529.635097630704	32295.872400509674	29576.2839674245	29128.91940059124	32597.090773672648	33189.55385843032	35258.67398693682	33839.744733146064	29729.57988573507	25609.021440161643	31565.81026278831	35307.72279961571	30435.333874631007	34791.40933886055	40993.20902922183	30266.24866631957	37172.971929007406	32833.95756220717	33963.293377899565	31925.00694182982	34153.56575075833	34011.79011665661	30377.448891491607	29141.58087384259	30514.57502007334	33760.42598407452	25482.712099557244	40118.90005665905	31667.551568708874
240	300	23746.404719859966	11954.899851600365	23802.760015190972	24561.365242319956	30366.781531961802	32224.02136799523	28440.717480971558	38267.68872195868	28808.613202670564	28717.67136641049	15748.980040354416	23052.30690057355	25245.888475943302	24671.013291293133	25844.97776136941	32425.999375841562	24095.107071369923	26399.587350398935	20968.7734349165	24500.04802640763	14717.408045489237	21367.661549479166	24301.559689327118	30938.366932461606	32890.1878713552	29241.5868418916	38605.95974991779	32730.303372514925	25001.7065828792	24297.786908485094	32856.198841924255	24378.212132936027	33130.011328125	18223.44440059267	14996.785617897727	2926.533596168221	4901.1366102670745	31459.816766652046	24893.333280183462	22502.384515474885	3768.857097017909	31213.521749356896	32155.304415750816	33153.933951420135	36717.8859555541	21961.349968810424	29224.696492006075	31073.910180190243	28338.079179536424	27941.604946450854	30222.575708768247	30675.757107838708	32711.789395661723	33340.22402110442	28789.696918194957	24083.372052897805	30097.66008942996	31592.786136197014	28922.806594280642	32079.878053519093	38927.66460110107	29650.40678218665	33338.18966678258	31653.573121138197	33319.226948540825	32186.214935832817	32753.61463071007	32027.43705603619	29633.072572882287	28649.211246496652	31865.716661867344	27007.143254950493	22548.46657509776	34008.00722492466	29964.52465264081	31165.263123560948	31818.34250795509	33856.852657245225	37183.54774012177	23911.033299792605	28141.428895658046	30585.863793071472	28515.05791063982	27836.747814038386	31028.10592281633	31059.595047576295	32893.52711620651	31628.269471815016	28423.963287897714	23867.9332709925	29650.825077503487	34126.1319448582	28482.369327985038	33004.9830078125	38149.65897558868	28666.435986876357	35048.21431510607	30647.12810349033	32091.51932844133	30355.081181496822	32218.510275942914	32354.34545473217	28752.408685623435	27723.49199607664	29419.825212219188	31662.742885366588	25814.578870888705	36477.457487286265	30696.613995938194
300	360	23235.982771579253	11747.867594712914	23946.016764322918	23883.859055837154	29642.806539348992	31482.614273943167	27294.854944154926	37510.000157247516	29604.291541065802	26845.568984516274	15874.20781447376	23356.30661314381	24819.282667740532	23944.18490001797	25742.361602605983	33098.48141200067	23990.248658522425	29689.009059175532	19822.60476862186	23810.145217485602	14159.849898215947	21369.122890625	23880.216562531503	29994.352977117036	32280.637011065126	28964.512765791897	38613.357697118096	31134.904320693597	24871.460559949523	23700.87283462371	32366.277776303497	24843.56340173302	30270.927734375	16900.688981681036	13162.045394176137	2793.4521588946523	4860.193984446265	31496.88606180193	24277.7118486786	21560.531939832115	3843.6523947975197	30116.06300912252	31152.18542661153	30755.29960520072	34800.57467899269	21214.585802878326	28512.624420551398	29334.1211713256	27661.86055886936	26083.078454392788	29377.283831057546	29428.42466133784	30854.65389010447	31749.769217209425	27909.52959167883	23027.31673623614	27970.10654529508	30178.80717954379	27798.66255898997	30755.731215533087	34993.4484215886	28337.588064694384	32098.75641746334	29732.880103423937	31311.24040775574	30240.14040864	31298.41855191697	30885.629760714775	28331.96810601819	28018.6127146591	30301.595146645657	26631.374760210398	22392.71356574598	33705.222967439724	28804.446371895927	30659.902194643255	31086.316859352486	32343.751484180284	34914.06118290259	24234.989750487734	27555.84650518554	29279.76512399752	27473.14560215161	27506.216264157298	29085.728945351442	29628.962742343443	31684.566859384373	31413.34832817011	27554.484099172958	24116.225500274122	27676.234337199076	32040.213752060496	26946.341827730557	31266.032168367346	35413.012693482015	28057.041788810668	31866.98292908742	29613.880260906943	30122.229212160437	28809.694736410922	30426.49873388245	30731.09669032374	27659.738745707687	27098.360962701612	27917.606551270022	29862.906138070914	24806.27978298418	35385.345898898144	29652.556608245384
360	480	22521.27201408579	11515.960351584514	22612.11306423611	23587.637503905764	28326.059826917543	31212.880919237698	26184.19882684005	36143.05735724419	28774.946677699347	24900.05832532776	15536.160068776557	22705.826458663156	24227.325941002888	25038.785762802352	24684.62507372423	29808.1421012399	24383.09896559017	27735.269406582447	19405.368012281953	23130.71070133554	13622.033525557	21686.16294270833	23811.838016948084	28801.589875516016	31245.866291914237	27509.321252131296	36351.106370813366	31025.15103074981	24233.488494421537	25201.224516934657	31976.900831139606	23525.023331248616	28443.968359375	17675.006249326507	13113.440568181819	2872.8088904739247	4903.34373552647	29086.559699361842	23864.012329300742	20472.67894010048	4014.726445134471	28750.72451670577	29244.856599689167	29025.904623128165	32471.406195290616	20442.709296270757	27198.079032990416	27773.93767218561	26616.749860712946	24890.020662137584	27428.34691418729	27787.614531351668	28788.25015063466	29779.898106794535	26829.235867502288	22988.23538549883	26276.261279717593	28898.221689580696	25413.21468501882	28605.898385474473	31636.462161087067	27139.740374517485	29803.536620909563	28239.918601223413	29412.732540569003	29584.197183927463	29385.45196236892	29002.43843340727	26749.138109541982	26551.985133642924	28547.88212955779	24358.987672107054	21367.846734034738	30209.634012218292	27806.794866702825	28558.814688921717	29703.504412824208	30112.301902228002	33078.29271402833	23167.342823419047	26659.679865932187	27994.59772449286	26291.165752459605	24730.997981909426	28053.23771804827	28105.215649383077	29938.9329685261	29494.95480091414	25996.77312010583	24105.175598869908	27184.839220614536	30516.055857388983	25414.154018220685	29327.53262728529	32379.283191226863	25891.588633982064	31227.56695203914	27776.08676714676	28555.06382664539	28526.78097197819	28711.30031040301	28961.476616666874	26386.18105305854	25705.36623715029	26352.307202302745	27818.353838641826	25452.034442507924	32784.11071777344	28378.029323246028
