onset	duration	shot_number	LLR
0	n/a	video_start	video_start
0	7.25	1	n/a
7.25	3.542	2	-1.557820733
10.792	5.208	3	0.3358234903
16	5	4	-0.03306866929
21	4.208	5	-0.2070276568
25.208	9.375	6	0.04327900913
34.583	0.792	7	-0.1644478802
35.375	1.333	8	-0.06762669846
36.708	3.167	9	0.1579466073
39.875	3.292	10	0.2663627968
43.167	3.5	11	-0.2664832696
46.667	2.333	12	0.04315495832
49	1.917	13	-0.04155285906
50.917	4.125	14	0.04001208653
55.042	2.917	15	-0.08485806694
57.958	2.042	16	0.008346347475
60	3.958	17	0.02230250862
63.958	1.458	18	-0.06699408597
65.417	1.083	19	0.04519596032
66.5	1.917	20	0.07562682269
68.417	2.208	21	-0.09718166316
70.625	4.667	22	0.04645434208
75.292	1.667	23	0.01865315886
76.958	0.833	24	0.02023945652
77.792	1.583	25	-0.01044289204
79.375	2.292	26	0.07107341152
81.667	4.5	27	-0.07068154365
86.167	2.625	28	-0.09355068459
88.792	2.542	29	0.127618289
91.333	5.583	30	-0.03570772929
96.917	4.458	31	0.1251853136
101.375	3.042	32	-0.1428285775
104.417	1.25	33	0.0998938008
105.667	0.792	34	-0.007754262065
106.458	1.5	35	-0.06120459462
107.958	0.667	36	-0.02361673076
108.625	2.208	37	0.01752653383
110.833	3	38	0.07973702237
113.833	2.292	39	-0.08752530512
116.125	1	40	0.05044258775
117.125	2.25	41	-0.0466125638
119.375	2.708	42	0.09235464595
122.083	3.375	43	-0.1067268907
125.458	6.292	44	0.02212250449
131.75	4.833	45	0.1053584879
136.583	3.583	46	-0.06164775268
140.167	1.708	47	0.001148701321
141.875	4.292	48	-0.1751332264
146.167	4.708	49	0.1760542644
150.875	3.667	50	-0.06821788465
154.542	2.958	51	0.01782704926
157.5	3.125	52	-0.0693816018
160.625	1.833	53	0.0899746917
162.458	2.792	54	0.09733030527
165.25	6.667	55	-0.2270603551
171.917	31.292	56	0.1188704433
203.208	n/a	video_stop	video_stop
