onset	duration	annotation_type	channel
36.2312	39.807	eyem	FP1-F7
91.5725	112.2058	eyem+musc	FP1-F7
36.2146	39.948	eyem	FP2-F8
91.589	112.2306	eyem+musc	FP2-F8
3.9989	6.3053	elec	C3-CZ
23.448	26.0946	elec	C3-CZ
27.2146	30.1267	elec	C3-CZ
31.0476	36.0337	elec	C3-CZ
63.2113	73.1919	elec	C3-CZ
91.0913	112.1477	elec	C3-CZ
3.9989	6.3053	elec	CZ-C4
23.448	26.0946	elec	CZ-C4
27.2146	30.1267	elec	CZ-C4
31.0476	36.0337	elec	CZ-C4
63.2113	73.1919	elec	CZ-C4
91.0913	112.1477	elec	CZ-C4
36.4552	39.9729	eyem	FP1-F3
91.5808	112.1311	eyem+musc	FP1-F3
36.4054	40.0393	eyem	FP2-F4
91.5559	112.1311	eyem+musc	FP2-F4
