onset	duration	event_type	stim_frequency
0.656	88.625	eyes_open	n/a
4.016	7.742	photicstim	1
14.954	8.16	photicstim	3
26.012	8.1	photicstim	8
37.128	7.453	photicstim	10
48.024	8.066	photicstim	12
59.035	8.022	photicstim	15
70.164	7.887	photicstim	20
81.123	8.003	photicstim	30
95.027	92.095	eyes_closed	n/a
102.031	7.905	photicstim	1
112.887	8.042	photicstim	3
123.866	7.992	photicstim	8
134.945	8.015	photicstim	10
145.902	8.019	photicstim	12
156.821	7.951	photicstim	15
167.902	8.079	photicstim	20
178.954	7.995	photicstim	30
