onset	duration	trial_number	event_type	executed_movement	correct_movement	shown_stimulus	included_trial	reason_for_exclusion
9.98000000001048	25.02	1	stimulus	n/a	n/a	white X	0	test trial
35	9.50741029999335	1	stimulus	n/a	n/a	red X	0	test trial
36.3299999999872	0	1	foot step	2	2	n/a	0	test trial
37.109999999986	0	1	foot step	1	1	n/a	0	test trial
37.7999999999884	0	1	foot step	2	2	n/a	0	test trial
38.359999999986	0	1	foot step	3	3	n/a	0	test trial
39.070000000007	0	1	foot step	2	2	n/a	0	test trial
39.6300000000047	0	1	foot step	1	1	n/a	0	test trial
40.179999999993	0	1	foot step	3	3	n/a	0	test trial
40.8999999999942	0	1	foot step	2	2	n/a	0	test trial
41.5199999999895	0	1	foot step	4	4	n/a	0	test trial
42.1300000000047	0	1	foot step	2	2	n/a	0	test trial
42.7099999999919	0	1	foot step	4	4	n/a	0	test trial
43.320000000007	0	1	foot step	1	1	n/a	0	test trial
44.5	5	1	stimulus	n/a	n/a	white X	0	test trial
56.179999999993	25	2	stimulus	n/a	n/a	white X	1	n/a
81.1927897999994	9.50689459999558	2	stimulus	n/a	n/a	red X	1	n/a
82.2427897999878	0	2	foot step	2	2	n/a	1	n/a
82.8027897999855	0	2	foot step	1	1	n/a	1	n/a
83.4827898000076	0	2	foot step	2	2	n/a	1	n/a
84.1527897999913	0	2	foot step	3	3	n/a	1	n/a
84.8527898000029	0	2	foot step	2	2	n/a	1	n/a
85.3727897999925	0	2	foot step	1	1	n/a	1	n/a
85.9827898000076	0	2	foot step	3	3	n/a	1	n/a
86.7027898000088	0	2	foot step	2	2	n/a	1	n/a
87.3627898000123	0	2	foot step	4	4	n/a	1	n/a
87.962789799989	0	2	foot step	2	2	n/a	1	n/a
88.5727898000041	0	2	foot step	4	4	n/a	1	n/a
89.0927897999936	0	2	foot step	1	1	n/a	1	n/a
90.7000000000116	5	2	stimulus	n/a	n/a	white X	1	n/a
97.7000000000116	24.02	3	stimulus	n/a	n/a	white X	1	n/a
121.718219599978	9.5081900000223	3	stimulus	n/a	n/a	red X	1	n/a
122.798219599965	0	3	foot step	2	2	n/a	1	n/a
123.38821959999	0	3	foot step	1	1	n/a	1	n/a
124.018219599966	0	3	foot step	2	2	n/a	1	n/a
