onset	duration	trial_number	event_type	executed_movement	correct_movement	shown_stimulus	included_trial	reason_for_exclusion
9.97999999999956	25.02	1	stimulus	n/a	n/a	white X	0	test trial
35	9.50346519999948	1	stimulus	n/a	n/a	red X	0	test trial
35.4168073000001	0	1	finger press	2	2	n/a	0	test trial
36.0737297999985	0	1	finger press	1	1	n/a	0	test trial
36.650815099998	0	1	finger press	2	2	n/a	0	test trial
37.2607048999998	0	1	finger press	3	3	n/a	0	test trial
37.8904898000001	0	1	finger press	2	2	n/a	0	test trial
38.5380732999984	0	1	finger press	1	1	n/a	0	test trial
39.1865382999968	0	1	finger press	3	3	n/a	0	test trial
39.8493382999986	0	1	finger press	2	2	n/a	0	test trial
40.4875362999992	0	1	finger press	4	4	n/a	0	test trial
41.1152773999966	0	1	finger press	2	2	n/a	0	test trial
41.7357630999977	0	1	finger press	4	4	n/a	0	test trial
42.3596943999983	0	1	finger press	1	1	n/a	0	test trial
44.5	5	1	stimulus	n/a	n/a	white X	0	test trial
50.5800000000017	24.02	2	stimulus	n/a	n/a	white X	1	n/a
74.5987100999992	9.50384539999868	2	stimulus	n/a	n/a	red X	1	n/a
75.0436102999993	0	2	finger press	2	2	n/a	1	n/a
75.7214329999988	0	2	finger press	1	1	n/a	1	n/a
76.510707399997	0	2	finger press	2	2	n/a	1	n/a
77.1710624999978	0	2	finger press	3	3	n/a	1	n/a
77.8000725999991	0	2	finger press	2	2	n/a	1	n/a
78.4388158999973	0	2	finger press	1	1	n/a	1	n/a
79.1035443999972	0	2	finger press	3	3	n/a	1	n/a
79.7865246999972	0	2	finger press	2	2	n/a	1	n/a
80.4319583999968	0	2	finger press	4	4	n/a	1	n/a
81.0760699999992	0	2	finger press	2	2	n/a	1	n/a
81.7548014999993	0	2	finger press	4	4	n/a	1	n/a
82.393912399999	0	2	finger press	1	1	n/a	1	n/a
84.0999999999985	5	2	stimulus	n/a	n/a	white X	1	n/a
90.2599999999984	22	3	stimulus	n/a	n/a	white X	1	n/a
112.272735299997	9.50303300000087	3	stimulus	n/a	n/a	red X	1	n/a
112.848313699997	0	3	finger press	2	2	n/a	1	n/a
113.498611999999	0	3	finger press	1	1	n/a	1	n/a
114.192631799997	0	3	finger press	2	2	n/a	1	n/a
114.864835599998	0	3	finger press	3	3	n/a	1	n/a
