onset	duration	trial_number	event_type	executed_movement	correct_movement	shown_stimulus	included_trial	reason_for_exclusion
9.97999999998137	25.02	1	stimulus	n/a	n/a	white X	0	test trial
35	9.51155960001051	1	stimulus	n/a	n/a	red X	0	test trial
36.1400000001304	0	1	foot step	4	4	n/a	0	test trial
36.7900000000373	0	1	foot step	3	3	n/a	0	test trial
37.4799999999814	0	1	foot step	4	4	n/a	0	test trial
38.1299999998882	0	1	foot step	1	1	n/a	0	test trial
38.7900000000373	0	1	foot step	4	4	n/a	0	test trial
39.4300000001676	0	1	foot step	1	1	n/a	0	test trial
40.089999999851	0	1	foot step	2	2	n/a	0	test trial
40.7299999999814	0	1	foot step	4	4	n/a	0	test trial
41.3999999999069	0	1	foot step	3	3	n/a	0	test trial
42.1099999998696	0	1	foot step	2	2	n/a	0	test trial
42.7400000002235	0	1	foot step	1	1	n/a	0	test trial
43.3799999998882	0	1	foot step	2	2	n/a	0	test trial
44.5	5	1	stimulus	n/a	n/a	white X	0	test trial
55.6800000001676	24	2	stimulus	n/a	n/a	white X	1	n/a
79.686116699595	9.50898470031098	2	stimulus	n/a	n/a	red X	1	n/a
80.936116699595	0	2	foot step	4	4	n/a	1	n/a
81.5661166994832	0	2	foot step	3	3	n/a	1	n/a
82.1961166993715	0	2	foot step	4	4	n/a	1	n/a
82.846116699744	0	2	foot step	1	1	n/a	1	n/a
83.4461166993715	0	2	foot step	4	4	n/a	1	n/a
84.1061166995205	0	2	foot step	1	1	n/a	1	n/a
84.7161166993901	0	2	foot step	2	2	n/a	1	n/a
85.3761166995391	0	2	foot step	4	4	n/a	1	n/a
86.0461166994646	0	2	foot step	3	3	n/a	1	n/a
86.7361166994087	0	2	foot step	2	2	n/a	1	n/a
87.3661166997626	0	2	foot step	1	1	n/a	1	n/a
88.0361166996881	0	2	foot step	2	2	n/a	1	n/a
89.2000000001863	5	2	stimulus	n/a	n/a	white X	1	n/a
103.339999999851	22.02	3	stimulus	n/a	n/a	white X	1	n/a
125.35492209997	9.50864289980382	3	stimulus	n/a	n/a	red X	1	n/a
126.484922099859	0	3	foot step	4	4	n/a	1	n/a
127.124922099989	0	3	foot step	3	3	n/a	1	n/a
127.774922099896	0	3	foot step	4	4	n/a	1	n/a
128.384922099765	0	3	foot step	1	1	n/a	1	n/a
129.024922099896	0	3	foot step	4	4	n/a	1	n/a
129.664922100026	0	3	foot step	1	1	n/a	1	n/a
130.344922100194	0	3	foot step	2	2	n/a	1	n/a
131.014922100119	0	3	foot step	4	4	n/a	1	n/a
131.654922099784	0	3	foot step	3	3	n/a	1	n/a
132.324922100175	0	3	foot step	2	2	n/a	1	n/a
132.994922100101	0	3	foot step	1	1	n/a	1	n/a
133.684922100045	0	3	foot step	2	2	n/a	1	n/a
134.85999999987	5	3	stimulus	n/a	n/a	white X	1	n/a
146.259999999776	23.02	4	stimulus	n/a	n/a	white X	1	n/a
169.277117499616	9.50926670012996	4	stimulus	n/a	n/a	red X	1	n/a
170.447117499541	0	4	foot step	4	4	n/a	1	n/a
171.067117499653	0	4	foot step	3	3	n/a	1	n/a
171.727117499802	0	4	foot step	4	4	n/a	1	n/a
172.417117499746	0	4	foot step	1	1	n/a	1	n/a
173.027117499616	0	4	foot step	4	4	n/a	1	n/a
173.657117499504	0	4	foot step	1	1	n/a	1	n/a
174.347117499448	0	4	foot step	2	2	n/a	1	n/a
174.96711749956	0	4	foot step	4	4	n/a	1	n/a
175.57711749943	0	4	foot step	3	3	n/a	1	n/a
176.247117499821	0	4	foot step	2	2	n/a	1	n/a
176.877117499709	0	4	foot step	1	1	n/a	1	n/a
177.527117499616	0	4	foot step	2	2	n/a	1	n/a
178.779999999795	5	4	stimulus	n/a	n/a	white X	1	n/a
187.879999999888	21	5	stimulus	n/a	n/a	white X	1	n/a
208.886006199755	9.51045439997688	5	stimulus	n/a	n/a	red X	1	n/a
210.10600619996	0	5	foot step	4	4	n/a	1	n/a
210.756006199867	0	5	foot step	3	3	n/a	1	n/a
211.376006199978	0	5	foot step	4	4	n/a	1	n/a
212.036006199662	0	5	foot step	1	1	n/a	1	n/a
212.646006199531	0	5	foot step	4	4	n/a	1	n/a
213.286006199662	0	5	foot step	1	1	n/a	1	n/a
213.906006199773	0	5	foot step	2	2	n/a	1	n/a
214.546006199904	0	5	foot step	4	4	n/a	1	n/a
215.176006199792	0	5	foot step	3	3	n/a	1	n/a
215.866006199736	0	5	foot step	2	2	n/a	1	n/a
216.526006199885	0	5	foot step	1	1	n/a	1	n/a
217.146006199531	0	5	foot step	2	2	n/a	1	n/a
218.399999999907	5	5	stimulus	n/a	n/a	white X	1	n/a
231.839999999851	25	6	stimulus	n/a	n/a	white X	1	n/a
256.848245800007	9.51040699984878	6	stimulus	n/a	n/a	red X	1	n/a
258.178245800082	0	6	foot step	4	4	n/a	1	n/a
258.798245800193	0	6	foot step	3	3	n/a	1	n/a
259.428245800082	0	6	foot step	4	4	n/a	1	n/a
260.05824579997	0	6	foot step	1	1	n/a	1	n/a
260.708245799877	0	6	foot step	4	4	n/a	1	n/a
261.348245800007	0	6	foot step	1	1	n/a	1	n/a
261.988245800138	0	6	foot step	2	2	n/a	1	n/a
262.648245799821	0	6	foot step	4	4	n/a	1	n/a
263.318245800212	0	6	foot step	3	3	n/a	1	n/a
263.958245799877	0	6	foot step	2	2	n/a	1	n/a
264.598245800007	0	6	foot step	1	1	n/a	1	n/a
265.228245799895	0	6	foot step	2	2	n/a	1	n/a
266.35999999987	5	6	stimulus	n/a	n/a	white X	1	n/a
275.959999999963	25	7	stimulus	n/a	n/a	white X	1	n/a
300.960836399812	9.5076441001147	7	stimulus	n/a	n/a	red X	1	n/a
302.290836399887	0	7	foot step	4	4	n/a	1	n/a
302.930836400017	0	7	foot step	3	3	n/a	1	n/a
303.570836399682	0	7	foot step	4	4	n/a	1	n/a
304.25083639985	0	7	foot step	1	1	n/a	1	n/a
304.920836399775	0	7	foot step	4	4	n/a	1	n/a
305.560836399905	0	7	foot step	1	1	n/a	1	n/a
306.230836399831	0	7	foot step	2	2	n/a	1	n/a
306.880836399738	0	7	foot step	4	4	n/a	1	n/a
307.490836399607	0	7	foot step	3	3	n/a	1	n/a
308.160836399999	0	7	foot step	2	2	n/a	1	n/a
308.830836399924	0	7	foot step	1	1	n/a	1	n/a
309.470836399589	0	7	foot step	2	2	n/a	1	n/a
310.459999999963	5	7	stimulus	n/a	n/a	white X	1	n/a
319.319999999832	25.02	8	stimulus	n/a	n/a	white X	1	n/a
344.335364999715	9.50694180000573	8	stimulus	n/a	n/a	red X	1	n/a
345.705364999827	0	8	foot step	4	4	n/a	1	n/a
346.335364999715	0	8	foot step	3	3	n/a	1	n/a
346.985364999622	0	8	foot step	4	4	n/a	1	n/a
347.645364999771	0	8	foot step	1	1	n/a	1	n/a
348.30536499992	0	8	foot step	4	4	n/a	1	n/a
348.955364999827	0	8	foot step	1	1	n/a	1	n/a
349.585364999715	0	8	foot step	2	2	n/a	1	n/a
350.225364999846	0	8	foot step	4	4	n/a	1	n/a
350.845364999492	0	8	foot step	3	3	n/a	1	n/a
351.505364999641	0	8	foot step	2	2	n/a	1	n/a
352.175364999566	0	8	foot step	1	1	n/a	1	n/a
352.795364999678	0	8	foot step	2	2	n/a	1	n/a
353.839999999851	5	8	stimulus	n/a	n/a	white X	1	n/a
366.379999999888	22	9	stimulus	n/a	n/a	white X	1	n/a
388.385443300009	9.50770739978179	9	stimulus	n/a	n/a	red X	1	n/a
389.61544329999	0	9	foot step	4	4	n/a	1	n/a
390.255443300121	0	9	foot step	3	3	n/a	1	n/a
390.885443300009	0	9	foot step	4	4	n/a	1	n/a
391.555443299934	0	9	foot step	1	1	n/a	1	n/a
392.22544329986	0	9	foot step	4	4	n/a	1	n/a
392.86544329999	0	9	foot step	1	1	n/a	1	n/a
393.515443299897	0	9	foot step	2	2	n/a	1	n/a
394.185443299823	0	9	foot step	4	4	n/a	1	n/a
394.815443300176	0	9	foot step	3	3	n/a	1	n/a
395.465443300083	0	9	foot step	2	2	n/a	1	n/a
396.125443300232	0	9	foot step	1	1	n/a	1	n/a
396.775443300139	0	9	foot step	2	2	n/a	1	n/a
397.899999999907	5	9	stimulus	n/a	n/a	white X	1	n/a
406.919999999925	23.02	10	stimulus	n/a	n/a	white X	1	n/a
429.937760899775	9.50847350014374	10	stimulus	n/a	n/a	red X	1	n/a
431.257760899607	0	10	foot step	4	4	n/a	1	n/a
431.90776089998	0	10	foot step	3	3	n/a	1	n/a
432.547760899644	0	10	foot step	4	4	n/a	1	n/a
433.197760899551	0	10	foot step	1	1	n/a	1	n/a
433.837760899682	0	10	foot step	4	4	n/a	1	n/a
434.517760899849	0	10	foot step	1	1	n/a	1	n/a
435.167760899756	0	10	foot step	2	2	n/a	1	n/a
435.8577608997	0	10	foot step	4	4	n/a	1	n/a
436.477760899812	0	10	foot step	3	3	n/a	1	n/a
437.137760899961	0	10	foot step	2	2	n/a	1	n/a
437.797760899644	0	10	foot step	1	1	n/a	1	n/a
438.497760899831	0	10	foot step	2	2	n/a	1	n/a
439.439999999944	5	10	stimulus	n/a	n/a	white X	1	n/a
448.200000000186	21	11	stimulus	n/a	n/a	white X	1	n/a
469.206418599933	9.5086058001034	11	stimulus	n/a	n/a	red X	1	n/a
470.436418599915	0	11	foot step	4	4	n/a	1	n/a
471.086418599822	0	11	foot step	3	3	n/a	1	n/a
471.736418599728	0	11	foot step	4	4	n/a	1	n/a
472.35641859984	0	11	foot step	1	1	n/a	1	n/a
472.986418599728	0	11	foot step	4	4	n/a	1	n/a
473.636418600101	0	11	foot step	1	1	n/a	1	n/a
474.286418600008	0	11	foot step	2	2	n/a	1	n/a
474.976418599952	0	11	foot step	4	4	n/a	1	n/a
475.596418600064	0	11	foot step	3	3	n/a	1	n/a
476.256418599747	0	11	foot step	2	2	n/a	1	n/a
476.876418599859	0	11	foot step	1	1	n/a	1	n/a
477.46641859971	0	11	foot step	2	2	n/a	1	n/a
478.720000000205	5	11	stimulus	n/a	n/a	white X	1	n/a
