onset	duration	trial_number	event_type	executed_movement	correct_movement	shown_stimulus	included_trial	reason_for_exclusion
11.9799999999996	23.02	1	stimulus	n/a	n/a	white X	0	test trial
35	9.50207610000143	1	stimulus	n/a	n/a	red X	0	test trial
35.5052700000015	0	1	finger press	4	4	n/a	0	test trial
36.1768490000013	0	1	finger press	3	3	n/a	0	test trial
36.734657500001	0	1	finger press	4	4	n/a	0	test trial
37.3772862000005	0	1	finger press	1	1	n/a	0	test trial
37.9658067	0	1	finger press	4	4	n/a	0	test trial
38.5501118000011	0	1	finger press	1	1	n/a	0	test trial
39.5932436000003	0	1	finger press	2	2	n/a	0	test trial
40.1620860000003	0	1	finger press	4	4	n/a	0	test trial
40.7623405000013	0	1	finger press	3	3	n/a	0	test trial
42.1991428000001	0	1	finger press	2	2	n/a	0	test trial
42.896412600001	0	1	finger press	1	1	n/a	0	test trial
43.3313673000011	0	1	finger press	2	2	n/a	0	test trial
44.5200000000004	5	1	stimulus	n/a	n/a	white X	0	test trial
63.3999999999996	21.02	2	stimulus	n/a	n/a	white X	1	n/a
84.4026076000009	9.50243719999889	2	stimulus	n/a	n/a	red X	1	n/a
84.905111600001	0	2	finger press	4	4	n/a	1	n/a
85.5372477000001	0	2	finger press	3	3	n/a	1	n/a
86.0384085000005	0	2	finger press	4	4	n/a	1	n/a
86.6712220999998	0	2	finger press	1	1	n/a	1	n/a
87.3146956000001	0	2	finger press	4	4	n/a	1	n/a
87.9772393000003	0	2	finger press	1	1	n/a	1	n/a
88.6426170000013	0	2	finger press	2	2	n/a	1	n/a
89.2103674999998	0	2	finger press	4	4	n/a	1	n/a
89.8909175000008	0	2	finger press	3	3	n/a	1	n/a
90.6031738000001	0	2	finger press	2	2	n/a	1	n/a
91.2831057000003	0	2	finger press	1	1	n/a	1	n/a
91.8962012000011	0	2	finger press	2	2	n/a	1	n/a
93.9200000000001	5	2	stimulus	n/a	n/a	white X	1	n/a
103.360000000001	23.02	3	stimulus	n/a	n/a	white X	1	n/a
126.354347	9.50332600000002	3	stimulus	n/a	n/a	red X	1	n/a
126.7862465	0	3	finger press	4	4	n/a	1	n/a
127.401044600001	0	3	finger press	3	3	n/a	1	n/a
128.103178900001	0	3	finger press	4	4	n/a	1	n/a
128.689110000001	0	3	finger press	1	1	n/a	1	n/a
129.254996600001	0	3	finger press	4	4	n/a	1	n/a
129.9549011	0	3	finger press	1	1	n/a	1	n/a
130.560868300001	0	3	finger press	2	2	n/a	1	n/a
131.206847500001	0	3	finger press	4	4	n/a	1	n/a
131.793581200001	0	3	finger press	3	3	n/a	1	n/a
132.391162200001	0	3	finger press	2	2	n/a	1	n/a
133.030252600001	0	3	finger press	1	1	n/a	1	n/a
133.6308396	0	3	finger press	2	2	n/a	1	n/a
135.879999999999	5	3	stimulus	n/a	n/a	white X	1	n/a
143.52	22.02	4	stimulus	n/a	n/a	white X	1	n/a
165.526874700001	9.50269669999943	4	stimulus	n/a	n/a	red X	1	n/a
166.038060500001	0	4	finger press	4	4	n/a	1	n/a
166.664926500001	0	4	finger press	3	3	n/a	1	n/a
167.3294663	0	4	finger press	4	4	n/a	1	n/a
167.910154000001	0	4	finger press	1	1	n/a	1	n/a
168.584103500001	0	4	finger press	4	4	n/a	1	n/a
169.210099400001	0	4	finger press	1	1	n/a	1	n/a
169.824877900001	0	4	finger press	2	2	n/a	1	n/a
170.5029471	0	4	finger press	4	4	n/a	1	n/a
171.122850400001	0	4	finger press	3	3	n/a	1	n/a
171.7465101	0	4	finger press	2	2	n/a	1	n/a
172.395978	0	4	finger press	1	1	n/a	1	n/a
172.986662200001	0	4	finger press	2	2	n/a	1	n/a
175.040000000001	5	4	stimulus	n/a	n/a	white X	1	n/a
181.639999999999	22.02	5	stimulus	n/a	n/a	white X	0	erroneous trial
203.6381626	9.59754869999961	5	stimulus	n/a	n/a	red X	0	erroneous trial
205.3994838	0	5	finger press	4	4	n/a	0	erroneous trial
206.0227887	0	5	finger press	1	3	n/a	0	erroneous trial
207.6184264	0	5	finger press	3	4	n/a	0	erroneous trial
209.582370100001	0	5	finger press	1	1	n/a	0	erroneous trial
210.112386700001	0	5	finger press	4	4	n/a	0	erroneous trial
210.7030006	0	5	finger press	1	1	n/a	0	erroneous trial
211.2806167	0	5	finger press	2	2	n/a	0	erroneous trial
212.0826932	0	5	finger press	4	4	n/a	0	erroneous trial
212.639700200001	0	5	finger press	3	3	n/a	0	erroneous trial
213.2296367	0	5	finger press	2	2	n/a	0	erroneous trial
213.26	5	5	stimulus	n/a	n/a	white X	0	erroneous trial
222.860000000001	23.02	6	stimulus	n/a	n/a	white X	1	n/a
245.865332700001	9.50224779999917	6	stimulus	n/a	n/a	red X	1	n/a
246.7137045	0	6	finger press	4	4	n/a	1	n/a
247.3385739	0	6	finger press	3	3	n/a	1	n/a
247.9434514	0	6	finger press	4	4	n/a	1	n/a
248.6544342	0	6	finger press	1	1	n/a	1	n/a
249.2888296	0	6	finger press	4	4	n/a	1	n/a
249.917887600001	0	6	finger press	1	1	n/a	1	n/a
250.7061127	0	6	finger press	2	2	n/a	1	n/a
251.349991900001	0	6	finger press	4	4	n/a	1	n/a
251.949969700001	0	6	finger press	3	3	n/a	1	n/a
252.554441300001	0	6	finger press	2	2	n/a	1	n/a
253.185188000001	0	6	finger press	1	1	n/a	1	n/a
253.7984271	0	6	finger press	2	2	n/a	1	n/a
255.379999999999	5	6	stimulus	n/a	n/a	white X	1	n/a
262.379999999999	22.02	7	stimulus	n/a	n/a	white X	1	n/a
284.386069300001	9.5024472999994	7	stimulus	n/a	n/a	red X	1	n/a
284.902732	0	7	finger press	4	4	n/a	1	n/a
285.6012051	0	7	finger press	3	3	n/a	1	n/a
286.175104800001	0	7	finger press	4	4	n/a	1	n/a
286.819195600001	0	7	finger press	1	1	n/a	1	n/a
287.449796300001	0	7	finger press	4	4	n/a	1	n/a
288.0864201	0	7	finger press	1	1	n/a	1	n/a
288.7622527	0	7	finger press	2	2	n/a	1	n/a
289.4073161	0	7	finger press	4	4	n/a	1	n/a
290.082539200001	0	7	finger press	3	3	n/a	1	n/a
290.7523865	0	7	finger press	2	2	n/a	1	n/a
291.310159000001	0	7	finger press	1	1	n/a	1	n/a
291.944759800001	0	7	finger press	2	2	n/a	1	n/a
293.9	5	7	stimulus	n/a	n/a	white X	1	n/a
300.08	22.02	8	stimulus	n/a	n/a	white X	1	n/a
322.0843243	9.50218219999988	8	stimulus	n/a	n/a	red X	1	n/a
322.6778383	0	8	finger press	4	4	n/a	1	n/a
323.297775700001	0	8	finger press	3	3	n/a	1	n/a
323.8451742	0	8	finger press	4	4	n/a	1	n/a
324.525826500001	0	8	finger press	1	1	n/a	1	n/a
325.170650100001	0	8	finger press	4	4	n/a	1	n/a
325.8257462	0	8	finger press	1	1	n/a	1	n/a
326.4249984	0	8	finger press	2	2	n/a	1	n/a
327.112619900001	0	8	finger press	4	4	n/a	1	n/a
327.673900100001	0	8	finger press	3	3	n/a	1	n/a
328.3254517	0	8	finger press	2	2	n/a	1	n/a
328.9017277	0	8	finger press	1	1	n/a	1	n/a
329.383100700001	0	8	finger press	2	2	n/a	1	n/a
331.6	5	8	stimulus	n/a	n/a	white X	1	n/a
337.719999999999	24	9	stimulus	n/a	n/a	white X	1	n/a
361.713045600001	9.50219049999941	9	stimulus	n/a	n/a	red X	1	n/a
362.4546044	0	9	finger press	4	4	n/a	1	n/a
363.006744100001	0	9	finger press	3	3	n/a	1	n/a
363.600415700001	0	9	finger press	4	4	n/a	1	n/a
365.7337742	0	9	finger press	1	1	n/a	1	n/a
366.294096000001	0	9	finger press	4	4	n/a	1	n/a
366.809580900001	0	9	finger press	1	1	n/a	1	n/a
